ticker,name,who,target,entry,signal,horizon_weeks,n,rho,t_nw,top_minus_bottom_pct,top_n,bottom_n,rho_2006_2015,rho_2016_2026,consistent
SPY,S&P 500,Institutions,price,monday_after,chg1,1,1056,-0.053,-1.736,-0.541,196,200,-0.108,-0.003,
SPY,S&P 500,Institutions,price,monday_after,chg4,1,1053,-0.065,-2.097,-0.217,195,215,-0.090,-0.044,
SPY,S&P 500,Institutions,price,monday_after,crowd,1,953,-0.052,-1.611,-0.194,132,194,-0.078,-0.030,
SPY,S&P 500,Institutions,price,monday_after,turn,1,953,0.009,0.270,0.182,57,86,0.072,-0.038,
SPY,S&P 500,Institutions,price,monday_after,chg1,4,1053,-0.067,-2.222,-0.825,196,200,-0.058,-0.072,
SPY,S&P 500,Institutions,price,monday_after,chg4,4,1050,-0.087,-1.955,-0.713,195,215,-0.028,-0.138,
SPY,S&P 500,Institutions,price,monday_after,crowd,4,950,-0.065,-1.242,-0.811,132,194,-0.005,-0.110,
SPY,S&P 500,Institutions,price,monday_after,turn,4,950,0.014,0.306,0.053,57,86,0.017,0.016,
SPY,S&P 500,Institutions,price,monday_after,chg1,8,1049,-0.056,-1.934,-0.627,196,200,-0.035,-0.073,
SPY,S&P 500,Institutions,price,monday_after,chg4,8,1046,-0.092,-1.934,-1.490,195,215,-0.036,-0.141,
SPY,S&P 500,Institutions,price,monday_after,crowd,8,946,-0.062,-0.879,-0.658,132,194,0.006,-0.110,
SPY,S&P 500,Institutions,price,monday_after,turn,8,946,-0.023,-0.422,-2.170,57,86,-0.004,-0.035,
SPY,S&P 500,Institutions,price,monday_after,chg1,13,1044,-0.044,-1.534,-0.934,196,199,-0.061,-0.030,
SPY,S&P 500,Institutions,price,monday_after,chg4,13,1041,-0.076,-1.609,-1.309,195,214,-0.068,-0.093,
SPY,S&P 500,Institutions,price,monday_after,crowd,13,941,-0.041,-0.478,-0.817,132,194,0.033,-0.101,
SPY,S&P 500,Institutions,price,monday_after,turn,13,941,-0.027,-0.459,-1.533,57,85,-0.065,0.006,
SPY,S&P 500,Institutions,price,friday_release,chg1,1,1056,-0.020,-0.647,-0.092,196,200,-0.043,0.001,
SPY,S&P 500,Institutions,price,friday_release,chg4,1,1053,-0.057,-1.843,-0.281,195,215,-0.066,-0.048,
SPY,S&P 500,Institutions,price,friday_release,crowd,1,953,-0.032,-0.988,-0.108,132,194,-0.058,-0.009,
SPY,S&P 500,Institutions,price,friday_release,turn,1,953,0.017,0.520,-0.009,57,86,0.097,-0.044,
SPY,S&P 500,Institutions,price,friday_release,chg1,4,1053,-0.062,-2.057,-0.562,196,200,-0.060,-0.060,
SPY,S&P 500,Institutions,price,friday_release,chg4,4,1050,-0.100,-2.263,-0.767,195,215,-0.056,-0.139,
SPY,S&P 500,Institutions,price,friday_release,crowd,4,950,-0.056,-1.062,-0.652,132,194,-0.012,-0.091,
SPY,S&P 500,Institutions,price,friday_release,turn,4,950,0.009,0.212,-0.177,57,86,0.017,0.009,
SPY,S&P 500,Institutions,price,friday_release,chg1,8,1049,-0.058,-2.007,-0.643,196,200,-0.031,-0.081,
SPY,S&P 500,Institutions,price,friday_release,chg4,8,1046,-0.105,-2.207,-1.633,195,215,-0.051,-0.152,
SPY,S&P 500,Institutions,price,friday_release,crowd,8,946,-0.066,-0.950,-0.710,132,194,-0.002,-0.112,
SPY,S&P 500,Institutions,price,friday_release,turn,8,946,-0.035,-0.652,-2.432,57,86,-0.020,-0.043,
SPY,S&P 500,Institutions,price,friday_release,chg1,13,1044,-0.053,-1.830,-0.675,196,199,-0.064,-0.046,
SPY,S&P 500,Institutions,price,friday_release,chg4,13,1041,-0.094,-1.979,-1.372,195,214,-0.087,-0.114,
SPY,S&P 500,Institutions,price,friday_release,crowd,13,941,-0.046,-0.528,-0.856,132,194,0.028,-0.103,
SPY,S&P 500,Institutions,price,friday_release,turn,13,941,-0.030,-0.517,-1.740,57,85,-0.076,0.008,
SPY,S&P 500,Hedge funds,price,monday_after,chg1,1,1056,-0.007,-0.220,0.037,171,176,0.041,-0.048,
SPY,S&P 500,Hedge funds,price,monday_after,chg4,1,1053,-0.023,-0.725,-0.080,166,163,-0.054,0.012,
SPY,S&P 500,Hedge funds,price,monday_after,crowd,1,953,-0.010,-0.298,-0.080,180,205,-0.019,-0.009,
SPY,S&P 500,Hedge funds,price,monday_after,turn,1,953,-0.023,-0.669,-0.255,50,68,-0.054,0.004,
SPY,S&P 500,Hedge funds,price,monday_after,chg1,4,1053,-0.011,-0.382,-0.030,171,175,-0.016,-0.004,
SPY,S&P 500,Hedge funds,price,monday_after,chg4,4,1050,-0.003,-0.066,-0.352,166,163,-0.124,0.110,
SPY,S&P 500,Hedge funds,price,monday_after,crowd,4,950,0.013,0.260,0.400,180,205,0.003,0.016,
SPY,S&P 500,Hedge funds,price,monday_after,turn,4,950,-0.021,-0.393,-1.567,50,68,-0.102,0.037,
SPY,S&P 500,Hedge funds,price,monday_after,chg1,8,1049,-0.010,-0.356,0.589,170,175,-0.022,0.004,
SPY,S&P 500,Hedge funds,price,monday_after,chg4,8,1046,-0.001,-0.027,0.578,164,163,-0.108,0.097,
SPY,S&P 500,Hedge funds,price,monday_after,crowd,8,946,0.020,0.302,0.811,180,205,0.067,-0.023,
SPY,S&P 500,Hedge funds,price,monday_after,turn,8,946,0.016,0.312,-0.088,50,68,-0.108,0.108,
SPY,S&P 500,Hedge funds,price,monday_after,chg1,13,1044,-0.008,-0.304,0.145,168,175,-0.028,0.017,
SPY,S&P 500,Hedge funds,price,monday_after,chg4,13,1041,-0.016,-0.328,0.591,160,163,-0.112,0.084,
SPY,S&P 500,Hedge funds,price,monday_after,crowd,13,941,0.010,0.125,0.885,180,205,0.081,-0.044,
SPY,S&P 500,Hedge funds,price,monday_after,turn,13,941,0.004,0.076,-2.298,50,68,-0.111,0.090,
SPY,S&P 500,Hedge funds,price,friday_release,chg1,1,1056,-0.009,-0.263,0.178,171,176,-0.010,-0.005,
SPY,S&P 500,Hedge funds,price,friday_release,chg4,1,1053,-0.008,-0.274,0.028,166,163,-0.051,0.036,
SPY,S&P 500,Hedge funds,price,friday_release,crowd,1,953,0.003,0.091,-0.043,180,205,-0.034,0.025,
SPY,S&P 500,Hedge funds,price,friday_release,turn,1,953,-0.029,-0.834,-0.529,50,68,-0.037,-0.021,
SPY,S&P 500,Hedge funds,price,friday_release,chg1,4,1053,-0.004,-0.131,0.353,171,175,-0.031,0.025,
SPY,S&P 500,Hedge funds,price,friday_release,chg4,4,1050,0.007,0.172,0.109,166,163,-0.112,0.119,
