period,period_type,source,item,value_jpy_m,value_jpy_m_year_ago,yoy_pct,yoy_pct_published
2026-07,D10,press_release,BAL:Grand Total,-729235,,,117.90
2026-07,D10,press_release,E:Grand Total,3691546,,,22.30
2026-07,D10,press_release,I:Grand Total,4420781,,,31.80
2026-07,D20,press_release,BAL:Grand Total,37102,,,-71.90
2026-07,D20,press_release,E:Grand Total,7231361,,,20.40
2026-07,D20,press_release,I:Grand Total,7194259,,,22.50
2026-07,MONTH,press_release,BAL:AREA (ASEAN),-216619,,,63.70
2026-07,MONTH,press_release,BAL:AREA (EU),-87268,,,-68.80
2026-07,MONTH,press_release,BAL:AREA AFRICA,362,,,-96.90
2026-07,MONTH,press_release,BAL:AREA ASIA,235604,,,-50.10
2026-07,MONTH,press_release,BAL:AREA AUSTRAL,-450438,,,18
2026-07,MONTH,press_release,BAL:AREA BELGIUM,72795,,,189.40
2026-07,MONTH,press_release,BAL:AREA BRAZIL,-50007,,,1.60
2026-07,MONTH,press_release,BAL:AREA C&E EURO,63121,,,370.20
2026-07,MONTH,press_release,BAL:AREA CANADA,-26256,,,
2026-07,MONTH,press_release,BAL:AREA CHILE,-129295,,,45.20
2026-07,MONTH,press_release,BAL:AREA CHINA,-776133,,,27.30
2026-07,MONTH,press_release,BAL:AREA FRANCE,-56213,,,-53.50
2026-07,MONTH,press_release,BAL:AREA GERMANY,-22903,,,-48.50
2026-07,MONTH,press_release,BAL:AREA Grand Total,-638344,,,308.50
2026-07,MONTH,press_release,BAL:AREA HG KONG,504796,,,-8.20
2026-07,MONTH,press_release,BAL:AREA INDIA,158001,,,-10.30
2026-07,MONTH,press_release,BAL:AREA INDNSIA,-106875,,,27.30
2026-07,MONTH,press_release,BAL:AREA IRAN,-430,,,
2026-07,MONTH,press_release,BAL:AREA IRELAND,-52502,,,-39.40
2026-07,MONTH,press_release,BAL:AREA ITALY,-136022,,,8.20
2026-07,MONTH,press_release,BAL:AREA KUWAIT,-35043,,,-28.50
2026-07,MONTH,press_release,BAL:AREA MALYSIA,-77395,,,47
2026-07,MONTH,press_release,BAL:AREA MEXICO,83526,,,105.80
2026-07,MONTH,press_release,BAL:AREA MIDDLE EAST,-644013,,,16.80
2026-07,MONTH,press_release,BAL:AREA MIDDLE SOUTH AMERICA,-74440,,,108.20
2026-07,MONTH,press_release,BAL:AREA NETHLDS,127269,,,-1.40
2026-07,MONTH,press_release,BAL:AREA NEWZELD,-1055,,,-87.40
2026-07,MONTH,press_release,BAL:AREA NORTH AMERICA,252570,,,-55.70
2026-07,MONTH,press_release,BAL:AREA OCEANIA,-446085,,,11.70
2026-07,MONTH,press_release,BAL:AREA OMAN,-33558,,,
2026-07,MONTH,press_release,BAL:AREA PHILPIN,15728,,,
2026-07,MONTH,press_release,BAL:AREA QATAR,5695,,,
2026-07,MONTH,press_release,BAL:AREA R KOREA,236832,,,36.40
2026-07,MONTH,press_release,BAL:AREA RUSSIA,-4006,,,-88.20
2026-07,MONTH,press_release,BAL:AREA S AFRCA,-73584,,,79.70
2026-07,MONTH,press_release,BAL:AREA SNGAPOR,244860,,,43.40
2026-07,MONTH,press_release,BAL:AREA SPAIN,4885,,,
2026-07,MONTH,press_release,BAL:AREA SU ARAB,-364687,,,84.90
2026-07,MONTH,press_release,BAL:AREA SWEDEN,-32931,,,47.60
2026-07,MONTH,press_release,BAL:AREA SWITZLD,-5051,,,-85.90
2026-07,MONTH,press_release,BAL:AREA TAIWAN,246639,,,5.10
2026-07,MONTH,press_release,BAL:AREA THAILND,-13617,,,
2026-07,MONTH,press_release,BAL:AREA U ARB E,-242409,,,-4.30
2026-07,MONTH,press_release,BAL:AREA U KING,91114,,,12.30
2026-07,MONTH,press_release,BAL:AREA USA,279852,,,-50.80
2026-07,MONTH,press_release,BAL:AREA VIETNAM,-224116,,,50.70
2026-07,MONTH,press_release,BAL:AREA WESTERN EUROPE,-25396,,,-89.30
2026-07,MONTH,press_release,BAL:Grand Total,-638344,,,308.50
2026-07,MONTH,press_release,E:(BUS&TRUCK),167291,,,6.70
2026-07,MONTH,press_release,E:(CAR),1613365,,,20.80
2026-07,MONTH,press_release,E:(IC),659368,,,52
