period,period_type,item,value_usd_k,value_usd_k_year_ago,yoy_pct
2026-08,D10,exp:TOTAL (tradedata),21286000,,45.30
2026-08,D10,imp:TOTAL (tradedata),19488000,,23.10
2026-08,D20,exp:TOTAL (tradedata),55207000,,56
2026-08,D20,imp:TOTAL (tradedata),41231000,,19
2026-08,FULL,exp:TOTAL (tradedata),98255000,,68.70
2026-08,FULL,imp:TOTAL (tradedata),63507000,,22.50
2026-08,D10,exp:TOTAL,21285723,,
2026-08,D10,exp:가전제품,113048,,
2026-08,D10,exp:대만,1101444,,
2026-08,D10,exp:말레이시아,601816,,
2026-08,D10,exp:무선통신기기,470569,,
2026-08,D10,exp:미국,2044888,,
2026-08,D10,exp:반도체,9951784,,
2026-08,D10,exp:베트남,2389548,,
2026-08,D10,exp:석유제품,1997215,,
2026-08,D10,exp:선박,470680,,
2026-08,D10,exp:승용차,181589,,
2026-08,D10,exp:싱가포르,272181,,
2026-08,D10,exp:유럽연합,1500568,,
2026-08,D10,exp:인도,469340,,
2026-08,D10,exp:일본,649040,,
2026-08,D10,exp:자동차부품,223664,,
2026-08,D10,exp:정밀기기,207249,,
2026-08,D10,exp:중국,6745686,,
2026-08,D10,exp:철강제품,900708,,
2026-08,D10,exp:컴퓨터주변기기,587444,,
2026-08,D10,exp:홍콩,1578064,,
2026-08,D10,imp:TOTAL,19487538,,
2026-08,D10,imp:가스,793816,,
2026-08,D10,imp:기계류,802717,,
2026-08,D10,imp:대만,1456638,,
2026-08,D10,imp:러시아 연방,198518,,
2026-08,D10,imp:말레이시아,459788,,
2026-08,D10,imp:무선통신기기,309312,,
2026-08,D10,imp:미국,2342312,,
2026-08,D10,imp:반도체,3961950,,
2026-08,D10,imp:반도체제조용장비,831011,,
2026-08,D10,imp:베트남,1152985,,
2026-08,D10,imp:사우디아라비아,685160,,
2026-08,D10,imp:석유제품,447360,,
2026-08,D10,imp:석탄,375011,,
2026-08,D10,imp:승용차,337790,,
2026-08,D10,imp:원유,2328096,,
2026-08,D10,imp:유럽연합,1682665,,
2026-08,D10,imp:일본,1832165,,
2026-08,D10,imp:정밀기기,485244,,
2026-08,D10,imp:중국,4790789,,
2026-08,D10,imp:호주,671587,,
2026-08,D20,exp:TOTAL,55206635,,
2026-08,D20,exp:가전제품,306859,,
2026-08,D20,exp:대만,3296225,,
2026-08,D20,exp:말레이시아,1984120,,
2026-08,D20,exp:무선통신기기,1040226,,
2026-08,D20,exp:미국,7974925,,
2026-08,D20,exp:반도체,26031978,,
2026-08,D20,exp:베트남,5825691,,
2026-08,D20,exp:석유제품,4238557,,
2026-08,D20,exp:선박,913907,,
2026-08,D20,exp:승용차,1521414,,
2026-08,D20,exp:싱가포르,1116323,,
2026-08,D20,exp:유럽연합,3553030,,
2026-08,D20,exp:인도,1372346,,
2026-08,D20,exp:일본,1691206,,
2026-08,D20,exp:자동차부품,797357,,
2026-08,D20,exp:정밀기기,525237,,
2026-08,D20,exp:중국,15260087,,
2026-08,D20,exp:철강제품,2391937,,
2026-08,D20,exp:컴퓨터주변기기,2278121,,
2026-08,D20,exp:홍콩,3626026,,
2026-08,D20,imp:TOTAL,41231398,,
2026-08,D20,imp:가스,1719717,,
2026-08,D20,imp:기계류,1735360,,
2026-08,D20,imp:대만,3045413,,
2026-08,D20,imp:러시아 연방,587410,,
2026-08,D20,imp:말레이시아,896096,,
2026-08,D20,imp:무선통신기기,692465,,
2026-08,D20,imp:미국,4816803,,
2026-08,D20,imp:반도체,7470319,,
2026-08,D20,imp:반도체제조용장비,1872996,,
2026-08,D20,imp:베트남,2328397,,
2026-08,D20,imp:사우디아라비아,1376238,,
2026-08,D20,imp:석유제품,832526,,
2026-08,D20,imp:석탄,1162414,,
2026-08,D20,imp:승용차,744138,,
2026-08,D20,imp:원유,5438146,,
2026-08,D20,imp:유럽연합,3848497,,
2026-08,D20,imp:일본,3162283,,
2026-08,D20,imp:정밀기기,1030813,,
2026-08,D20,imp:중국,9825075,,
2026-08,D20,imp:호주,1778079,,
2026-08,FULL,exp:TOTAL,98254665,,
2026-08,FULL,exp:가전제품,510269,,
2026-08,FULL,exp:대만,6471060,,
2026-08,FULL,exp:말레이시아,3363379,,
2026-08,FULL,exp:무선통신기기,1649943,,
2026-08,FULL,exp:미국,16502448,,
2026-08,FULL,exp:반도체,46828404,,
2026-08,FULL,exp:베트남,8817795,,
2026-08,FULL,exp:석유제품,6874767,,
2026-08,FULL,exp:선박,1631184,,
2026-08,FULL,exp:승용차,3643702,,
2026-08,FULL,exp:싱가포르,2374060,,
2026-08,FULL,exp:유럽연합,6623780,,
2026-08,FULL,exp:인도,2344204,,
2026-08,FULL,exp:일본,2682518,,
2026-08,FULL,exp:자동차부품,1415829,,
2026-08,FULL,exp:정밀기기,860866,,
2026-08,FULL,exp:중국,24098821,,
2026-08,FULL,exp:철강제품,4032546,,
2026-08,FULL,exp:컴퓨터주변기기,6410085,,
2026-08,FULL,exp:홍콩,8902410,,
2026-08,FULL,imp:TOTAL,63507072,,
2026-08,FULL,imp:가스,2777777,,
2026-08,FULL,imp:기계류,2632081,,
2026-08,FULL,imp:대만,4719181,,
2026-08,FULL,imp:러시아 연방,840432,,
2026-08,FULL,imp:말레이시아,1480404,,
2026-08,FULL,imp:무선통신기기,1083731,,
2026-08,FULL,imp:미국,7605579,,
2026-08,FULL,imp:반도체,11367459,,
2026-08,FULL,imp:반도체제조용장비,3015343,,
2026-08,FULL,imp:베트남,3687492,,
2026-08,FULL,imp:사우디아라비아,1965505,,
2026-08,FULL,imp:석유제품,1370211,,
2026-08,FULL,imp:석탄,1616769,,
2026-08,FULL,imp:승용차,1262517,,
2026-08,FULL,imp:원유,8284800,,
2026-08,FULL,imp:유럽연합,5963461,,
2026-08,FULL,imp:일본,4757672,,
2026-08,FULL,imp:정밀기기,1598369,,
2026-08,FULL,imp:중국,15325220,,
2026-08,FULL,imp:호주,2930015,,
