report_month,group,n_members_reporting,rev_sum_twd_k,rev_sum_year_ago_twd_k,agg_yoy_pct,median_yoy_pct,breadth_pct
2026-07,ai_compute,5,530781818,372027864,42.67,97.59,100.0
2026-07,ai_server_odm,5,1828881678,1102881639,65.83,60.76,100.0
2026-07,power_cooling,5,93598131,62791829,49.06,47.75,80.0
2026-07,robotics_motion,3,6987746,4908701,42.35,33.94,100.0
2026-07,network_interconnect,3,52269981,31480655,66.04,59.59,100.0
2026-07,photonics_epi,2,923316,472121,95.57,110.83,100.0
2026-07,photonics_cpo,8,5385461,3923508,37.26,31.09,100.0
2026-07,all_listed,1967,5935152162,4185798690,41.79,16.14,73.8
2026-08,ai_compute,5,595231015,386179357,54.13,111.02,100.0
2026-08,ai_server_odm,5,2033381507,1089245697,86.68,51.98,100.0
2026-08,power_cooling,5,91098941,65630762,38.81,34.95,100.0
2026-08,robotics_motion,3,6676744,4701082,42.03,42.30,100.0
2026-08,network_interconnect,3,53044892,33888488,56.53,53.99,100.0
2026-08,photonics_epi,2,991373,460411,115.32,126.03,100.0
2026-08,photonics_cpo,8,5841965,3593042,62.59,43.63,100.0
2026-08,all_listed,1958,6084826077,3971527864,53.21,15.21,72.4
