period,imex,code,cty_code,cty_name,value_usd_k,value_usd_k_year_ago,yoy_pct,share_of_code_pct,qty1,unit1
2024-01,E,381800,1220,CANADA,762,,,0.5,0,-
2024-01,E,381800,2010,MEXICO,42,,,0.0,0,-
2024-01,E,381800,2050,GUATEMALA,4,,,0.0,0,-
2024-01,E,381800,2230,COSTA RICA,7,,,0.0,0,-
2024-01,E,381800,2470,DOMINICAN REPUBLIC,7,,,0.0,0,-
2024-01,E,381800,3010,COLOMBIA,3,,,0.0,0,-
2024-01,E,381800,3330,PERU,4,,,0.0,0,-
2024-01,E,381800,3510,BRAZIL,21,,,0.0,0,-
2024-01,E,381800,4010,SWEDEN,67,,,0.0,0,-
2024-01,E,381800,4050,FINLAND,59,,,0.0,0,-
2024-01,E,381800,4099,DENMARK,28,,,0.0,0,-
2024-01,E,381800,4120,UNITED KINGDOM,2095,,,1.3,0,-
2024-01,E,381800,4190,IRELAND,1404,,,0.9,0,-
2024-01,E,381800,4210,NETHERLANDS,1015,,,0.6,0,-
2024-01,E,381800,4231,BELGIUM,345,,,0.2,0,-
2024-01,E,381800,4279,FRANCE,1999,,,1.3,0,-
2024-01,E,381800,4280,GERMANY,2278,,,1.4,0,-
2024-01,E,381800,4330,AUSTRIA,5892,,,3.7,0,-
2024-01,E,381800,4351,CZECH REPUBLIC,11328,,,7.1,0,-
2024-01,E,381800,4359,SLOVAKIA,18,,,0.0,0,-
2024-01,E,381800,4419,SWITZERLAND,1029,,,0.6,0,-
2024-01,E,381800,4700,SPAIN,15,,,0.0,0,-
2024-01,E,381800,4759,ITALY,12746,,,8.0,0,-
2024-01,E,381800,4840,GREECE,18,,,0.0,0,-
2024-01,E,381800,4870,BULGARIA,25,,,0.0,0,-
2024-01,E,381800,5081,ISRAEL,6987,,,4.4,0,-
2024-01,E,381800,5170,SAUDI ARABIA,3,,,0.0,0,-
2024-01,E,381800,5200,UNITED ARAB EMIRATES,13,,,0.0,0,-
2024-01,E,381800,5330,INDIA,28,,,0.0,0,-
2024-01,E,381800,5490,THAILAND,98,,,0.1,0,-
2024-01,E,381800,5520,VIETNAM,132,,,0.1,0,-
2024-01,E,381800,5570,MALAYSIA,22434,,,14.1,0,-
2024-01,E,381800,5590,SINGAPORE,11632,,,7.3,0,-
2024-01,E,381800,5650,PHILIPPINES,7,,,0.0,0,-
2024-01,E,381800,5700,CHINA,28767,,,18.1,0,-
2024-01,E,381800,5800,"KOREA, SOUTH",15486,,,9.7,0,-
2024-01,E,381800,5820,HONG KONG,407,,,0.3,0,-
2024-01,E,381800,5830,TAIWAN,13403,,,8.4,0,-
2024-01,E,381800,5880,JAPAN,18238,,,11.5,0,-
2024-01,E,381800,6021,AUSTRALIA,7,,,0.0,0,-
2024-01,E,848620,1220,CANADA,378,,,0.0,0,-
2024-01,E,848620,2010,MEXICO,815,,,0.1,0,-
2024-01,E,848620,2050,GUATEMALA,22,,,0.0,0,-
2024-01,E,848620,2150,HONDURAS,9,,,0.0,0,-
2024-01,E,848620,2230,COSTA RICA,140,,,0.0,0,-
2024-01,E,848620,2440,CAYMAN ISLANDS,64,,,0.0,0,-
2024-01,E,848620,2740,TRINIDAD AND TOBAGO,6,,,0.0,0,-
2024-01,E,848620,3310,ECUADOR,70,,,0.0,0,-
2024-01,E,848620,3510,BRAZIL,19,,,0.0,0,-
2024-01,E,848620,3550,URUGUAY,24,,,0.0,0,-
2024-01,E,848620,4010,SWEDEN,3,,,0.0,0,-
2024-01,E,848620,4050,FINLAND,14,,,0.0,0,-
2024-01,E,848620,4099,DENMARK,15,,,0.0,0,-
2024-01,E,848620,4120,UNITED KINGDOM,4046,,,0.3,0,-
2024-01,E,848620,4190,IRELAND,24441,,,2.1,0,-
2024-01,E,848620,4210,NETHERLANDS,19718,,,1.7,0,-
2024-01,E,848620,4231,BELGIUM,4883,,,0.4,0,-
2024-01,E,848620,4239,LUXEMBOURG,17854,,,1.5,0,-
2024-01,E,848620,4279,FRANCE,20542,,,1.7,0,-
2024-01,E,848620,4280,GERMANY,38054,,,3.2,0,-
2024-01,E,848620,4330,AUSTRIA,1889,,,0.2,0,-
2024-01,E,848620,4351,CZECH REPUBLIC,8,,,0.0,0,-
2024-01,E,848620,4370,HUNGARY,26,,,0.0,0,-
2024-01,E,848620,4419,SWITZERLAND,60,,,0.0,0,-
2024-01,E,848620,4550,POLAND,45,,,0.0,0,-
2024-01,E,848620,4700,SPAIN,512,,,0.0,0,-
2024-01,E,848620,4759,ITALY,14190,,,1.2,0,-
2024-01,E,848620,5081,ISRAEL,5142,,,0.4,0,-
2024-01,E,848620,5170,SAUDI ARABIA,10,,,0.0,0,-
2024-01,E,848620,5200,UNITED ARAB EMIRATES,16,,,0.0,0,-
2024-01,E,848620,5330,INDIA,791,,,0.1,0,-
2024-01,E,848620,5490,THAILAND,169,,,0.0,0,-
2024-01,E,848620,5520,VIETNAM,5331,,,0.5,0,-
2024-01,E,848620,5570,MALAYSIA,42904,,,3.6,0,-
2024-01,E,848620,5590,SINGAPORE,41555,,,3.5,0,-
2024-01,E,848620,5650,PHILIPPINES,279,,,0.0,0,-
2024-01,E,848620,5700,CHINA,453869,,,38.6,0,-
2024-01,E,848620,5800,"KOREA, SOUTH",324083,,,27.6,0,-
2024-01,E,848620,5820,HONG KONG,368,,,0.0,0,-
2024-01,E,848620,5830,TAIWAN,101676,,,8.6,0,-
2024-01,E,848620,5880,JAPAN,51641,,,4.4,0,-
2024-01,E,848620,6021,AUSTRALIA,154,,,0.0,0,-
2024-01,E,851762,1220,CANADA,229732,,,12.3,0,-
2024-01,E,851762,2010,MEXICO,274937,,,14.8,0,-
2024-01,E,851762,2050,GUATEMALA,6716,,,0.4,0,-
2024-01,E,851762,2080,BELIZE,86,,,0.0,0,-
2024-01,E,851762,2110,EL SALVADOR,2595,,,0.1,0,-
2024-01,E,851762,2150,HONDURAS,1438,,,0.1,0,-
2024-01,E,851762,2190,NICARAGUA,919,,,0.0,0,-
2024-01,E,851762,2230,COSTA RICA,3841,,,0.2,0,-
2024-01,E,851762,2250,PANAMA,4029,,,0.2,0,-
2024-01,E,851762,2320,BERMUDA,437,,,0.0,0,-
2024-01,E,851762,2360,BAHAMAS,958,,,0.1,0,-
2024-01,E,851762,2410,JAMAICA,779,,,0.0,0,-
2024-01,E,851762,2430,TURKS AND CAICOS ISLANDS,21,,,0.0,0,-
2024-01,E,851762,2440,CAYMAN ISLANDS,1309,,,0.1,0,-
2024-01,E,851762,2450,HAITI,55,,,0.0,0,-
2024-01,E,851762,2470,DOMINICAN REPUBLIC,2438,,,0.1,0,-
2024-01,E,851762,2481,ANGUILLA,59,,,0.0,0,-
2024-01,E,851762,2482,BRITISH VIRGIN ISLANDS,112,,,0.0,0,-
2024-01,E,851762,2483,ST KITTS AND NEVIS,4,,,0.0,0,-
2024-01,E,851762,2484,ANTIGUA AND BARBUDA,39,,,0.0,0,-
2024-01,E,851762,2486,DOMINICA,5,,,0.0,0,-
2024-01,E,851762,2487,ST LUCIA,111,,,0.0,0,-
2024-01,E,851762,2488,ST VINCENT AND THE GRENADINES,74,,,0.0,0,-
2024-01,E,851762,2489,GRENADA,40,,,0.0,0,-
2024-01,E,851762,2720,BARBADOS,150,,,0.0,0,-
2024-01,E,851762,2740,TRINIDAD AND TOBAGO,1637,,,0.1,0,-
2024-01,E,851762,2774,SINT MAARTEN,57,,,0.0,0,-
2024-01,E,851762,2777,CURACAO,266,,,0.0,0,-
2024-01,E,851762,2779,ARUBA,144,,,0.0,0,-
2024-01,E,851762,2831,GUADELOUPE,12,,,0.0,0,-
2024-01,E,851762,2839,MARTINIQUE,28,,,0.0,0,-
2024-01,E,851762,3010,COLOMBIA,19563,,,1.1,0,-
2024-01,E,851762,3070,VENEZUELA,695,,,0.0,0,-
2024-01,E,851762,3120,GUYANA,761,,,0.0,0,-
2024-01,E,851762,3150,SURINAME,97,,,0.0,0,-
2024-01,E,851762,3170,FRENCH GUIANA,46,,,0.0,0,-
2024-01,E,851762,3310,ECUADOR,2539,,,0.1,0,-
2024-01,E,851762,3330,PERU,10000,,,0.5,0,-
2024-01,E,851762,3350,BOLIVIA,705,,,0.0,0,-
2024-01,E,851762,3370,CHILE,25057,,,1.3,0,-
2024-01,E,851762,3510,BRAZIL,49050,,,2.6,0,-
2024-01,E,851762,3530,PARAGUAY,4233,,,0.2,0,-
2024-01,E,851762,3550,URUGUAY,3764,,,0.2,0,-
2024-01,E,851762,3570,ARGENTINA,19402,,,1.0,0,-
2024-01,E,851762,4000,ICELAND,321,,,0.0,0,-
2024-01,E,851762,4010,SWEDEN,25053,,,1.3,0,-
2024-01,E,851762,4039,NORWAY,2599,,,0.1,0,-
2024-01,E,851762,4050,FINLAND,1832,,,0.1,0,-
2024-01,E,851762,4099,DENMARK,4691,,,0.3,0,-
2024-01,E,851762,4120,UNITED KINGDOM,58879,,,3.2,0,-
2024-01,E,851762,4190,IRELAND,20129,,,1.1,0,-
2024-01,E,851762,4210,NETHERLANDS,235493,,,12.6,0,-
2024-01,E,851762,4231,BELGIUM,10772,,,0.6,0,-
2024-01,E,851762,4239,LUXEMBOURG,1506,,,0.1,0,-
2024-01,E,851762,4272,MONACO,21,,,0.0,0,-
2024-01,E,851762,4279,FRANCE,18853,,,1.0,0,-
2024-01,E,851762,4280,GERMANY,56264,,,3.0,0,-
2024-01,E,851762,4330,AUSTRIA,1499,,,0.1,0,-
2024-01,E,851762,4351,CZECH REPUBLIC,14995,,,0.8,0,-
2024-01,E,851762,4359,SLOVAKIA,333,,,0.0,0,-
2024-01,E,851762,4370,HUNGARY,15385,,,0.8,0,-
2024-01,E,851762,4419,SWITZERLAND,5205,,,0.3,0,-
2024-01,E,851762,4470,ESTONIA,670,,,0.0,0,-
2024-01,E,851762,4490,LATVIA,138,,,0.0,0,-
2024-01,E,851762,4510,LITHUANIA,233,,,0.0,0,-
2024-01,E,851762,4550,POLAND,6050,,,0.3,0,-
2024-01,E,851762,4621,RUSSIA,16,,,0.0,0,-
2024-01,E,851762,4623,UKRAINE,2116,,,0.1,0,-
2024-01,E,851762,4631,ARMENIA,72,,,0.0,0,-
2024-01,E,851762,4632,AZERBAIJAN,150,,,0.0,0,-
2024-01,E,851762,4633,GEORGIA,29,,,0.0,0,-
2024-01,E,851762,4634,KAZAKHSTAN,1226,,,0.1,0,-
