ann_id,tidm,trade_date,shares,avg_price_gbp_pence,low_pence,high_pence,shares_in_issue,programme,first_seen_utc
9792146,IMB,24 September 2026,150000,2480.0775,2465.0000,2490.0000,760201043,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9789562,IMB,23 September 2026,400000,2460.5205,2446.0000,2476.0000,760351043,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9786825,IMB,22 September 2026,120000,2471.7156,2454.0000,2488.0000,760751043,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9784627,IMB,21 September 2026,343711,2481.5832,2465.0000,2494.0000,760871043,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9781932,IMB,18 September 2026,320000,2491.3448,2478.0000,2508.0000,761214754,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9780125,IMB,17 September 2026,196287,2506.7888,2494.0000,2520.0000,761534754,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9777308,IMB,16 September 2026,200000,2504.0995,2495.0000,2514.0000,761731041,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9775301,IMB,15 September 2026,344821,2522.7926,2509.0000,2546.0000,761931041,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9772806,IMB,14 September 2026,4986,2520.5385,2512.0000,2539.0000,762275862,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9770280,IMB,11 September 2026,100000,2496.5849,2480.0000,2512.0000,762280848,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9767965,IMB,10 September 2026,175000,2463.0163,2440.0000,2479.0000,762380848,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9765746,IMB,09 September 2026,230000,2456.1811,2439.0000,2483.0000,762555848,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9763357,IMB,08 September 2026,140000,2474.1680,2455.0000,2494.0000,762785848,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9760933,IMB,07 September 2026,210000,2487.1055,2459.0000,2506.0000,762925848,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
9759125,IMB,04 September 2026,370000,2496.3129,2484.0000,2510.0000,763135848,GBP 1.45 billion share repurchase programme,2026-09-26T17:58:26Z
