date,tonnes,ounces
2004-11-18,8.09,260000
2004-11-19,57.85,1859994.06
2004-11-22,87.09,2799952.98
2004-11-23,87.09,2799952.98
2004-11-24,96.42,3099933.30
2004-11-26,100.46,3229921.97
2004-11-29,103.57,3329909.96
2004-11-30,103.57,3329909.96
2004-12-01,103.57,3329909.96
2004-12-02,103.56,3329699.18
2004-12-03,103.56,3329699.18
2004-12-06,103.56,3329699.18
2004-12-07,88.02,2829802.88
2004-12-08,91.13,2929780.58
2004-12-09,91.13,2929780.58
2004-12-10,91.13,2929780.58
2004-12-13,91.13,2929780.58
2004-12-14,91.13,2929780.58
2004-12-15,91.13,2929780.58
2004-12-16,91.13,2929780.58
2004-12-17,88.64,2849806.22
2004-12-20,88.64,2849806.22
2004-12-21,88.64,2849806.22
2004-12-22,91.75,2949768.83
2004-12-23,91.75,2949768.83
2004-12-27,91.75,2949768.83
2004-12-28,91.75,2949768.83
2004-12-29,91.75,2949768.83
2004-12-30,94.86,3049722.19
2004-12-31,94.86,3049722.19
2005-01-03,109.16,3509488.41
2005-01-04,109.14,3508826.93
2005-01-05,109.14,3508826.93
2005-01-06,112.24,3608771.80
2005-01-07,123.12,3958574.65
2005-01-10,123.12,3958574.65
2005-01-11,139.60,4488252.67
2005-01-12,142.71,4588191.09
2005-01-13,142.71,4588191.09
2005-01-14,142.71,4588191.09
2005-01-18,142.71,4588191.09
2005-01-19,142.71,4588191.09
2005-01-20,142.71,4588191.09
2005-01-21,142.71,4588191.09
2005-01-24,148.92,4788041.91
2005-01-25,152.03,4887966
2005-01-26,152.03,4887966
2005-01-27,152.03,4887966
2005-01-28,152.03,4887966
2005-01-31,152.03,4887966
2005-02-01,151.98,4886269.77
2005-02-02,151.98,4886269.77
2005-02-03,151.98,4886269.77
2005-02-04,151.98,4886269.77
2005-02-07,151.98,4886269.77
2005-02-08,155.09,4986177.93
2005-02-09,155.09,4986177.93
2005-02-10,155.09,4986177.93
2005-02-11,155.09,4986177.93
2005-02-14,155.09,4986177.93
2005-02-15,155.09,4986177.93
2005-02-16,155.09,4986177.93
2005-02-17,155.09,4986177.93
2005-02-18,155.09,4986177.93
2005-02-22,159.75,5136018.84
2005-02-23,157.88,5076083.15
2005-02-24,157.88,5076083.15
2005-02-25,157.88,5076083.15
2005-02-28,157.88,5076083.15
