date,quote,rate_per_usd,source,retrieved_at
2015-01-02,JPY,120.58,ecb,2026-09-15
2015-01-02,KRW,1106.24,ecb,2026-09-15
2015-01-05,JPY,120.02,ecb,2026-09-15
2015-01-05,KRW,1110.98,ecb,2026-09-15
2015-01-06,JPY,118.93,ecb,2026-09-15
2015-01-06,KRW,1100.99,ecb,2026-09-15
2015-01-07,JPY,119.32,ecb,2026-09-15
2015-01-07,KRW,1102.43,ecb,2026-09-15
2015-01-08,JPY,119.82,ecb,2026-09-15
2015-01-08,KRW,1097.57,ecb,2026-09-15
2015-01-09,JPY,119.20,ecb,2026-09-15
2015-01-09,KRW,1092.26,ecb,2026-09-15
2015-01-12,JPY,119.08,ecb,2026-09-15
2015-01-12,KRW,1085.42,ecb,2026-09-15
2015-01-13,JPY,118.45,ecb,2026-09-15
2015-01-13,KRW,1082.80,ecb,2026-09-15
2015-01-14,JPY,116.76,ecb,2026-09-15
2015-01-14,KRW,1085.23,ecb,2026-09-15
2015-01-15,JPY,116.57,ecb,2026-09-15
2015-01-15,KRW,1078.71,ecb,2026-09-15
2015-01-16,JPY,116.55,ecb,2026-09-15
2015-01-16,KRW,1077.58,ecb,2026-09-15
2015-01-19,JPY,117.42,ecb,2026-09-15
2015-01-19,KRW,1078.01,ecb,2026-09-15
2015-01-20,JPY,118.64,ecb,2026-09-15
2015-01-20,KRW,1087.84,ecb,2026-09-15
2015-01-21,JPY,117.37,ecb,2026-09-15
2015-01-21,KRW,1082.88,ecb,2026-09-15
2015-01-22,JPY,117.66,ecb,2026-09-15
2015-01-22,KRW,1083.99,ecb,2026-09-15
2015-01-23,JPY,117.99,ecb,2026-09-15
2015-01-23,KRW,1079.57,ecb,2026-09-15
2015-01-26,JPY,118.31,ecb,2026-09-15
2015-01-26,KRW,1082.39,ecb,2026-09-15
2015-01-27,JPY,117.71,ecb,2026-09-15
2015-01-27,KRW,1078.83,ecb,2026-09-15
2015-01-28,JPY,117.86,ecb,2026-09-15
2015-01-28,KRW,1085.83,ecb,2026-09-15
2015-01-29,JPY,117.92,ecb,2026-09-15
2015-01-29,KRW,1096.13,ecb,2026-09-15
2015-01-30,JPY,117.72,ecb,2026-09-15
2015-01-30,KRW,1102.64,ecb,2026-09-15
2015-02-02,JPY,117.65,ecb,2026-09-15
2015-02-02,KRW,1101.79,ecb,2026-09-15
2015-02-03,JPY,117.33,ecb,2026-09-15
2015-02-03,KRW,1099.91,ecb,2026-09-15
2015-02-04,JPY,117.50,ecb,2026-09-15
2015-02-04,KRW,1086.18,ecb,2026-09-15
2015-02-05,JPY,117.42,ecb,2026-09-15
2015-02-05,KRW,1089.54,ecb,2026-09-15
2015-02-06,JPY,117.31,ecb,2026-09-15
2015-02-06,KRW,1087.50,ecb,2026-09-15
2015-02-09,JPY,118.60,ecb,2026-09-15
2015-02-09,KRW,1096.90,ecb,2026-09-15
2015-02-10,JPY,119.21,ecb,2026-09-15
2015-02-10,KRW,1095.15,ecb,2026-09-15
2015-02-11,JPY,119.76,ecb,2026-09-15
2015-02-11,KRW,1104.99,ecb,2026-09-15
2015-02-12,JPY,119.81,ecb,2026-09-15
2015-02-12,KRW,1108.49,ecb,2026-09-15
2015-02-13,JPY,119.02,ecb,2026-09-15
2015-02-13,KRW,1099.65,ecb,2026-09-15
2015-02-16,JPY,118.57,ecb,2026-09-15
2015-02-16,KRW,1102.06,ecb,2026-09-15
2015-02-17,JPY,118.80,ecb,2026-09-15
2015-02-17,KRW,1105.95,ecb,2026-09-15
2015-02-18,JPY,119.32,ecb,2026-09-15
2015-02-18,KRW,1114.16,ecb,2026-09-15
2015-02-19,JPY,119.01,ecb,2026-09-15
2015-02-19,KRW,1113.23,ecb,2026-09-15
2015-02-20,JPY,118.53,ecb,2026-09-15
2015-02-20,KRW,1110.73,ecb,2026-09-15
2015-02-23,JPY,119.05,ecb,2026-09-15
2015-02-23,KRW,1109.43,ecb,2026-09-15
2015-02-24,JPY,119.49,ecb,2026-09-15
2015-02-24,KRW,1113.74,ecb,2026-09-15
2015-02-25,JPY,118.91,ecb,2026-09-15
2015-02-25,KRW,1100.73,ecb,2026-09-15
2015-02-26,JPY,118.88,ecb,2026-09-15
2015-02-26,KRW,1096.23,ecb,2026-09-15
2015-02-27,JPY,119.26,ecb,2026-09-15
2015-02-27,KRW,1099.79,ecb,2026-09-15
2015-03-02,JPY,119.77,ecb,2026-09-15
2015-03-02,KRW,1100.61,ecb,2026-09-15
2015-03-03,JPY,119.75,ecb,2026-09-15
2015-03-03,KRW,1097.47,ecb,2026-09-15
2015-03-04,JPY,119.70,ecb,2026-09-15
2015-03-04,KRW,1098.88,ecb,2026-09-15
2015-03-05,JPY,120.25,ecb,2026-09-15
2015-03-05,KRW,1101.13,ecb,2026-09-15
2015-03-06,JPY,119.93,ecb,2026-09-15
2015-03-06,KRW,1098.08,ecb,2026-09-15
2015-03-09,JPY,120.91,ecb,2026-09-15
2015-03-09,KRW,1113.45,ecb,2026-09-15
2015-03-10,JPY,121.34,ecb,2026-09-15
2015-03-10,KRW,1123.73,ecb,2026-09-15
2015-03-11,JPY,121.32,ecb,2026-09-15
2015-03-11,KRW,1128.04,ecb,2026-09-15
2015-03-12,JPY,120.88,ecb,2026-09-15
2015-03-12,KRW,1120.12,ecb,2026-09-15
2015-03-13,JPY,121.46,ecb,2026-09-15
2015-03-13,KRW,1134.30,ecb,2026-09-15
2015-03-16,JPY,121.21,ecb,2026-09-15
2015-03-16,KRW,1132.25,ecb,2026-09-15
2015-03-17,JPY,121.20,ecb,2026-09-15
2015-03-17,KRW,1126.43,ecb,2026-09-15
2015-03-18,JPY,121.18,ecb,2026-09-15
2015-03-18,KRW,1129.43,ecb,2026-09-15
2015-03-19,JPY,120.93,ecb,2026-09-15
2015-03-19,KRW,1121.91,ecb,2026-09-15
2015-03-20,JPY,120.88,ecb,2026-09-15
2015-03-20,KRW,1120.97,ecb,2026-09-15
2015-03-23,JPY,119.87,ecb,2026-09-15
2015-03-23,KRW,1107.50,ecb,2026-09-15
2015-03-24,JPY,119.53,ecb,2026-09-15
2015-03-24,KRW,1104.49,ecb,2026-09-15
2015-03-25,JPY,119.37,ecb,2026-09-15
2015-03-25,KRW,1099.88,ecb,2026-09-15
2015-03-26,JPY,119.08,ecb,2026-09-15
2015-03-26,KRW,1104.66,ecb,2026-09-15
2015-03-27,JPY,119.19,ecb,2026-09-15
2015-03-27,KRW,1104.85,ecb,2026-09-15
2015-03-30,JPY,119.89,ecb,2026-09-15
2015-03-30,KRW,1107.46,ecb,2026-09-15
2015-03-31,JPY,119.85,ecb,2026-09-15
2015-03-31,KRW,1108.45,ecb,2026-09-15
2015-04-01,JPY,120.21,ecb,2026-09-15
