yyyymm,period_type,stage,lang,section,imex,area,name,level,value_jpy_m,value_year_ago_jpy_m,yoy_pct,quantity,unit,qty_yoy_pct,share_pct,contribution_pt,extra_json,retrieved_at
2026-07,D10,1,en,TOTAL,E,WORLD,Grand Total,,3691546,3019044,22.30,,,,,,"{""nobiritsu"": ""22.3"", ""sogakutonen"": ""3,691,546"", ""sogakuzennen"": ""3,019,044"", ""taishoymtonen"": ""July 2026"", ""title"": ""Value of Exports and Imports July 2026 (First 10 days Provisional)""}",2026-09-02
2026-07,D10,1,en,TOTAL,I,WORLD,Grand Total,,4420781,3353755,31.80,,,,,,"{""nobiritsu"": ""31.8"", ""sogakutonen"": ""4,420,781"", ""sogakuzennen"": ""3,353,755"", ""taishoymtonen"": ""July 2026"", ""title"": ""Value of Exports and Imports July 2026 (First 10 days Provisional)""}",2026-09-02
2026-07,D10,1,en,TOTAL,BAL,WORLD,Grand Total,,-729235,-334711,117.90,,,,,,"{""nobiritsu"": ""117.9"", ""sogakutonen"": ""△729,235"", ""sogakuzennen"": ""△334,711"", ""taishoymtonen"": ""July 2026"", ""title"": ""Value of Exports and Imports July 2026 (First 10 days Provisional)""}",2026-09-02
2026-07,D10,1,ja,TOTAL,E,WORLD,Grand Total,,3691546,3019044,22.30,,,,,,"{""nobiritsu"": ""22.3"", ""sogakutonen"": ""3,691,546"", ""sogakuzennen"": ""3,019,044"", ""taishoymtonen"": ""令和 8年 7月上旬"", ""title"": ""令和 8年 7月上旬分貿易統計（速報）""}",2026-09-02
2026-07,D10,1,ja,TOTAL,I,WORLD,Grand Total,,4420781,3353755,31.80,,,,,,"{""nobiritsu"": ""31.8"", ""sogakutonen"": ""4,420,781"", ""sogakuzennen"": ""3,353,755"", ""taishoymtonen"": ""令和 8年 7月上旬"", ""title"": ""令和 8年 7月上旬分貿易統計（速報）""}",2026-09-02
2026-07,D10,1,ja,TOTAL,BAL,WORLD,Grand Total,,-729235,-334711,117.90,,,,,,"{""nobiritsu"": ""117.9"", ""sogakutonen"": ""△729,235"", ""sogakuzennen"": ""△334,711"", ""taishoymtonen"": ""令和 8年 7月上旬"", ""title"": ""令和 8年 7月上旬分貿易統計（速報）""}",2026-09-02
2026-07,D20,2,en,TOTAL,E,WORLD,Grand Total,,7231361,6005949,20.40,,,,,,"{""nobiritsu"": ""20.4"", ""sogakutonen"": ""7,231,361"", ""sogakuzennen"": ""6,005,949"", ""taishoymtonen"": ""July 2026"", ""title"": ""Value of Exports and Imports July 2026 (First 20 days Provisional)""}",2026-09-02
2026-07,D20,2,en,TOTAL,I,WORLD,Grand Total,,7194259,5874067,22.50,,,,,,"{""nobiritsu"": ""22.5"", ""sogakutonen"": ""7,194,259"", ""sogakuzennen"": ""5,874,067"", ""taishoymtonen"": ""July 2026"", ""title"": ""Value of Exports and Imports July 2026 (First 20 days Provisional)""}",2026-09-02
2026-07,D20,2,en,TOTAL,BAL,WORLD,Grand Total,,37102,131882,-71.90,,,,,,"{""nobiritsu"": ""-71.9"", ""sogakutonen"": ""37,102"", ""sogakuzennen"": ""131,882"", ""taishoymtonen"": ""July 2026"", ""title"": ""Value of Exports and Imports July 2026 (First 20 days Provisional)""}",2026-09-02
2026-07,D20,2,ja,TOTAL,E,WORLD,Grand Total,,7231361,6005949,20.40,,,,,,"{""nobiritsu"": ""20.4"", ""sogakutonen"": ""7,231,361"", ""sogakuzennen"": ""6,005,949"", ""taishoymtonen"": ""令和 8年 7月上中旬"", ""title"": ""令和 8年 7月上中旬分貿易統計（速報）""}",2026-09-02
