Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
1,2026,'000000110',NO,GT,2,110805,7800189,0,0,0,1,10549,2490547,1,100256,5309642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'000000190',  ,KG,0,1473549332,7134309507,0,496258251,997763400,0,129116994,878967115,0,112487679,1017302366,0,131266408,1065137175,0,115492014,987526689,0,170749841,1109113788,0,318178145,1078498974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'010121000',  ,NO,0,6,1486464,0,1,3126,0,1,62428,0,2,7660,0,0,0,0,0,0,0,0,0,0,2,1413250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'010129000',  ,NO,0,14,124061,0,0,0,0,1,19440,0,9,63208,0,1,1500,0,3,39913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'010239000',  ,NO,0,2,307,0,0,0,0,2,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'010611000',  ,NO,0,4,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'010612000',  ,NO,0,70,661400,0,24,216863,0,0,0,0,10,101726,0,0,0,0,12,94665,0,14,133178,0,10,114968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'010614000',  ,NO,0,34,3561,0,0,0,0,6,895,0,0,0,0,0,0,0,10,1172,0,0,0,0,18,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'010619000',  ,NO,0,60469,1590141,0,8260,222820,0,6092,130182,0,11268,312829,0,10747,295437,0,6670,189055,0,8622,188042,0,8810,251776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'010620000',  ,NO,0,57,252,0,57,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
