Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2026,'000000011',  ,KG,0,1479913,701465,0,194711,88091,0,175523,82638,0,237039,108512,0,256906,107675,0,162659,92595,0,217874,115970,0,235201,105984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'000000019',  ,KG,0,1053744,1752796,0,136248,210579,0,153291,266038,0,172756,279926,0,160021,275615,0,146571,221775,0,135724,237685,0,149133,261178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'000000091',NO,GT,9,539205,8867963,2,219925,1862503,0,0,0,1,92737,2376771,0,0,0,2,62062,929150,1,44447,1148118,3,120034,2551421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'000000099',  ,KG,0,412987894,1461620727,0,74899408,184566623,0,67416013,186020830,0,82949408,250650151,0,18882228,179762429,0,20727420,183969995,0,41774297,256564138,0,106339120,220086561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010121210',  ,NO,0,42,4115133,0,15,1236521,0,7,249365,0,2,328363,0,9,1211462,0,6,968434,0,3,120988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010121290',  ,NO,0,15,578944,0,12,508549,0,3,70395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010129100',  ,NO,0,1675,3695503,0,110,372054,0,309,658260,0,407,883623,0,207,464248,0,219,438417,0,317,630197,0,106,248704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010129210',  ,NO,0,1,3749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010129290',  ,NO,0,105,3505072,0,4,90259,0,0,0,0,9,493807,0,27,1201481,0,56,1537918,0,3,20873,0,6,160734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010310000',  ,NO,0,41,22202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,22202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010391000',  ,NO,0,66,28343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,28343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010392020',  ,NO,0,264,192162,0,0,0,0,80,55215,0,0,0,0,58,43097,0,53,51640,0,0,0,0,73,42210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010410000',  ,NO,0,10,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010511000',  ,NO,0,195897,1054010,0,0,0,0,46508,210757,0,27266,39094,0,35617,333729,0,0,0,0,45973,215668,0,40533,254762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010611000',NO,KG,1184,2674,2630248,0,0,0,0,0,0,150,376,381377,0,0,0,266,621,688300,768,1677,1560571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010612090',NO,KG,5,125,8595,4,85,6491,0,0,0,1,40,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010614000',NO,KG,1457,881,14027,215,115,1435,385,300,3700,483,256,4353,0,0,0,80,16,438,145,109,1705,149,85,2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010619010',NO,KG,3230,11571,494173,401,1403,52302,458,1757,43363,431,1478,40729,434,2234,209980,392,1388,35729,538,1550,55776,576,1761,56294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010619090',NO,KG,113705,12472,575514,21119,830,62070,15745,776,62395,17068,7628,94185,12988,820,67446,17296,875,118027,18686,948,85399,10803,595,85992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010620010',NO,KG,49447,15771,175645,5538,4061,25088,7592,4690,26529,2506,657,14660,3552,3589,18621,3179,764,25632,4620,917,18985,22460,1093,46130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010620031',NO,KG,116897,4833,450551,13415,498,48094,8525,504,41143,16480,741,81663,21410,601,49709,22366,880,72999,20994,777,71760,13707,832,85183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010620039',NO,KG,12073,1916,190469,1392,326,29615,1384,155,17493,2168,409,48028,927,187,17502,1513,148,17739,2114,310,22376,2575,381,37716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010620090',NO,KG,69,9,2591,0,0,0,0,0,0,0,0,0,19,8,2307,50,1,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010631000',NO,KG,65,64,9186,0,0,0,0,0,0,0,0,0,5,4,399,0,0,0,44,44,6268,16,16,2519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010632000',NO,KG,504,253,80021,47,41,9671,49,5,1257,208,106,27287,34,13,5837,0,0,0,46,36,6440,120,52,29529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010639000',NO,KG,1953,177,70547,97,44,43169,118,59,6652,0,0,0,290,4,1024,172,35,13570,1276,35,6132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010641000',NO,KG,1392310,7229,341461,282240,1544,69541,242100,1303,59013,279430,1526,67896,230220,1086,55467,114420,557,28250,146070,771,36706,97830,442,24588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010649000',NO,KG,185229725,13429,151898,3662047,345,10452,3826793,514,16845,35864885,2291,19034,37431504,3476,41022,35383753,2100,12312,32803154,2229,23868,36257589,2474,28365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010690011',NO,KG,15963,464,37661,1691,32,8622,2714,105,5465,1537,44,6130,2251,84,4214,2329,44,4125,2448,38,4549,2993,117,4556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010690012',NO,KG,2208,110,10661,398,21,2303,280,11,1406,7,0,340,606,24,1825,335,25,1627,382,16,2313,200,13,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'010690090',NO,KG,1182426813,20428,406682,280841125,2574,97606,377645936,1508,91824,192280116,4196,66170,99570040,4257,44894,97712422,2396,43845,71816554,3792,37873,62560620,1705,24470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020120000',  ,KG,0,451209,1667495,0,29196,118108,0,54484,199219,0,96566,335661,0,81031,314784,0,65294,243382,0,55290,213288,0,69348,243053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020130010',  ,KG,0,10167939,25991649,0,1247079,3234832,0,834071,2204998,0,1527336,3828665,0,1702838,4331182,0,1431131,3608553,0,1680114,4294789,0,1745370,4488630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020130020',  ,KG,0,45446939,69613071,0,6276970,9076453,0,3926251,5889823,0,6305018,9183193,0,7491049,11411888,0,6099215,9588952,0,7513729,11868852,0,7834707,12593910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020130030',  ,KG,0,42509161,46202604,0,5914451,6032812,0,4944511,4997689,0,5666944,5888145,0,6497855,7071155,0,6123855,6722193,0,6509635,7226970,0,6851910,8263640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020130090',  ,KG,0,1670875,2179604,0,252118,298164,0,129330,155274,0,256280,317023,0,230294,299563,0,231834,322054,0,283212,392001,0,287807,395525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020220000',  ,KG,0,319436,509916,0,50948,71364,0,10607,11853,0,2314,3880,0,12439,23066,0,85600,136484,0,42322,70616,0,115206,192653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020230010',  ,KG,0,4106488,6191532,0,505880,747249,0,448569,568275,0,526052,815193,0,781393,1085717,0,679811,987196,0,595754,989338,0,569029,998564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020230020',  ,KG,0,16696515,21480801,0,2411110,2999677,0,1764721,2169001,0,1782813,2138707,0,3250119,4216645,0,2592218,3419039,0,2113816,2772260,0,2781718,3765472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020230030',  ,KG,0,78518964,62825577,0,8887517,6743903,0,9589989,7099377,0,9225300,6934805,0,16418938,12757530,0,13066860,10502857,0,11312836,9635858,0,10017524,9151247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020230090',  ,KG,0,91014665,81164560,0,14185157,11668718,0,9009910,7703850,0,9125685,7940702,0,18890923,16695226,0,13406075,11826427,0,13228608,12760151,0,13168307,12569486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020311040',  ,KG,0,655,1749,0,0,0,0,78,201,0,220,585,0,262,698,0,0,0,0,95,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020312022',  ,KG,0,644440,534131,0,77430,62759,0,58868,47390,0,87909,72808,0,89349,74955,0,114478,95357,0,93127,77236,0,123279,103626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020312025',  ,KG,0,3151,1637,0,0,0,0,0,0,0,3151,1637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020319022',  ,KG,0,258688501,176886069,0,36076517,24206254,0,33081711,22353517,0,41027080,27672614,0,36302540,24937139,0,38290619,26466726,0,35765314,24892519,0,38144720,26357300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020319025',  ,KG,0,119800,62058,0,0,0,0,0,0,0,10223,5311,0,63470,32892,0,4101,2012,0,22932,11900,0,19074,9943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020321040',  ,KG,0,2038,4887,0,0,0,0,0,0,0,0,0,0,1760,3905,0,278,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020322022',  ,KG,0,1545201,1054291,0,218388,145719,0,239768,154963,0,179598,123358,0,279795,185714,0,220291,147369,0,133801,97100,0,273560,200068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020322024',  ,KG,0,56485,15936,0,0,0,0,24315,7795,0,3950,545,0,3950,545,0,0,0,0,24270,7051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020322025',  ,KG,0,17840,8796,0,3000,1470,0,14840,7326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020329022',  ,KG,0,327114764,214131121,0,43373150,27662318,0,29109223,18172459,0,33356882,21038190,0,63958073,42562410,0,53666187,35777872,0,50153542,33004313,0,53497707,35913559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020329024',  ,KG,0,826746,257176,0,102501,31606,0,211426,57833,0,23993,9132,0,158692,51534,0,113642,34604,0,143926,51751,0,72566,20716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020329025',  ,KG,0,13308989,6954276,0,3309329,1733253,0,2797558,1461769,0,2180780,1141571,0,2510712,1312154,0,1255549,648167,0,545288,285587,0,709773,371775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020410000',  ,KG,0,717,2966,0,66,264,0,55,216,0,67,266,0,460,1798,0,0,0,0,0,0,0,69,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020422000',  ,KG,0,716528,2367564,0,77815,234830,0,84209,289528,0,160480,555711,0,129404,449511,0,71982,222722,0,96672,304613,0,95966,310649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020423000',  ,KG,0,4365713,9075066,0,582196,1194882,0,484285,992023,0,598054,1210240,0,712446,1462897,0,544544,1145305,0,702641,1490855,0,741547,1578864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020430000',  ,KG,0,243053,385425,0,0,0,0,37603,55706,0,37816,57485,0,17695,21968,0,1818,2604,0,114203,197476,0,33918,50186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020441000',  ,KG,0,824997,664136,0,70804,54787,0,126517,98511,0,163248,130761,0,194412,156375,0,95581,77268,0,111062,94872,0,63373,51562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020442000',  ,KG,0,3308288,3580959,0,466847,493196,0,376455,373502,0,239526,267242,0,583640,625620,0,607769,666588,0,569460,641932,0,464591,512879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020443000',  ,KG,0,6424720,10461577,0,1064731,1727850,0,620945,996445,0,959519,1538662,0,895345,1434880,0,1232396,1921165,0,915226,1569734,0,736558,1272841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020450000',  ,KG,0,495761,483832,0,22003,21055,0,110613,107787,0,131561,125956,0,105484,102633,0,40743,41716,0,43347,42651,0,42010,42034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020500000',  ,KG,0,2498394,3253314,0,310633,421319,0,223981,286045,0,461543,613101,0,390958,506185,0,346239,435282,0,436140,564988,0,328900,426394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020610011',  ,KG,0,11640185,41389910,0,1536389,5072860,0,1418158,4727995,0,1736203,5945334,0,1780943,6401359,0,1682026,6108958,0,1588962,5808367,0,1897504,7325037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020610019',  ,KG,0,15168668,36066101,0,2008859,4395445,0,1818355,4046516,0,2321506,5199684,0,2396776,5575302,0,2070053,5138434,0,2168111,5384412,0,2385008,6326308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020610020',  ,KG,0,8024,13799,0,971,1811,0,738,1438,0,943,1761,0,748,1404,0,2222,3444,0,1920,3017,0,482,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020610090',  ,KG,0,4307,10131,0,0,0,0,0,0,0,4121,9884,0,186,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020621000',  ,KG,0,15591890,29057481,0,2520767,4424686,0,1431592,2623381,0,1537836,2693692,0,2798985,5248519,0,2238341,4251161,0,2553036,4758484,0,2511333,5057558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020622000',  ,KG,0,657837,265108,0,147379,52479,0,4392,1564,0,64126,27326,0,180212,69147,0,36968,19748,0,84797,36666,0,139963,58178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020629010',  ,KG,0,6819477,8929570,0,917777,1068753,0,775348,988636,0,872608,1111345,0,1086243,1407459,0,844375,1049216,0,1258473,1722359,0,1064653,1581802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020629020',  ,KG,0,262707,292532,0,34135,36315,0,21675,23094,0,25579,27768,0,67805,70064,0,39815,47953,0,28846,36877,0,44852,50461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020629090',  ,KG,0,144492,137059,0,15323,23873,0,13076,12618,0,16204,7979,0,25626,42967,0,16567,7427,0,31850,23333,0,25846,18862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020630091',  ,KG,0,99054,75042,0,13964,10292,0,12048,8890,0,13680,10116,0,16040,12049,0,13484,10215,0,14124,10998,0,15714,12482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020641090',  ,KG,0,70876,21398,0,24369,8049,0,46507,13349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020649091',  ,KG,0,19798696,8272912,0,2309987,971872,0,2294168,945711,0,2466049,1028651,0,3570024,1482470,0,2949185,1234040,0,3138077,1265381,0,3071206,1344787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020649099',  ,KG,0,60765,36560,0,2502,1892,0,5412,4036,0,1002,1303,0,31896,16933,0,6423,3933,0,9289,5889,0,4241,2574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020680000',  ,KG,0,404,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020690000',  ,KG,0,551870,453412,0,98513,75638,0,72806,41404,0,81224,67919,0,74015,70238,0,59412,59174,0,94876,85248,0,71024,53791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020711000',  ,KG,0,290,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020712000',  ,KG,0,9527627,3057456,0,1055479,319775,0,817436,256673,0,898367,286561,0,1584458,512336,0,1773301,563156,0,1756128,571474,0,1642458,547481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020713200',  ,KG,0,307,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020714100',  ,KG,0,20498,17432,0,0,0,0,1449,1232,0,0,0,0,2766,977,0,1944,340,0,11489,12139,0,2850,2744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020714210',  ,KG,0,5413633,2103999,0,752114,293940,0,456302,161054,0,665763,270095,0,981246,384577,0,722522,275107,0,406036,146908,0,1429650,572318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020714220',  ,KG,0,343386364,154029549,0,45014811,18098290,0,44957090,18128980,0,46523624,19528807,0,49368729,21994419,0,48414963,22285303,0,53701612,25945757,0,55405535,28047993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020727200',  ,KG,0,151543,105844,0,24493,15640,0,24493,15797,0,0,0,0,24493,15897,0,28063,23540,0,25508,18063,0,24493,16907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020742000',  ,KG,0,1623031,774765,0,181560,87829,0,198809,93205,0,274262,129137,0,284075,137060,0,191103,90581,0,180112,84733,0,313110,152220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020743000',  ,KG,0,199,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020744000',  ,KG,0,343,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020745010',  ,KG,0,190052,990345,0,39832,208585,0,40505,219351,0,7460,40449,0,14879,78189,0,37375,191778,0,11025,56426,0,38976,195567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020745090',  ,KG,0,2209717,2207729,0,296069,335739,0,295828,294013,0,287918,251341,0,302882,266595,0,236861,243806,0,296049,270840,0,494110,545395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020755100',  ,KG,0,14850,91513,0,3200,19599,0,2410,14361,0,0,0,0,3490,21381,0,2650,15986,0,200,1672,0,2900,18514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020755200',  ,KG,0,4200,6822,0,1400,2322,0,1400,2314,0,0,0,0,500,828,0,400,603,0,0,0,0,500,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020810000',  ,KG,0,42009,44026,0,0,0,0,13054,10192,0,94,228,0,8027,13164,0,3922,4333,0,13010,10251,0,3902,5858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'020840011',  ,KG,0,296979,310697,0,0,0,0,0,0,0,0,0,0,146525,121451,0,76803,111901,0,73651,77345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
