Åsê¢äEÅt  Åyåéï ÅzÅ@ÅiíPà ÅFêÁâ~Åj ,,
WORLD  Monthly Data  (a thousand yen) ,,
Years/Months,Exp-Total,Imp-Total
,,
1979/01,1192541404 ,1476341312 
1979/02,1547063623 ,1474768659 
1979/03,1924706473 ,1729013255 
1979/04,1674210856 ,1754000207 
1979/05,1795127553 ,1971518433 
1979/06,1906294090 ,1853721295 
1979/07,1935032403 ,1986026408 
1979/08,1796769263 ,2158098399 
1979/09,2054736017 ,2219514437 
1979/10,2005656869 ,2321751345 
1979/11,2049252162 ,2575911451 
1979/12,2650148146 ,2724685796 
1980/01,1656296623 ,2481133182 
1980/02,2303865000 ,2640281329 
1980/03,2654692011 ,2923286343 
1980/04,2534739838 ,3043068166 
1980/05,2493538171 ,2947129058 
1980/06,2434691410 ,2664607864 
1980/07,2494998910 ,2708450217 
1980/08,2336083457 ,2518178397 
1980/09,2552830654 ,2361417575 
1980/10,2500763213 ,2566351507 
1980/11,2348824280 ,2398691353 
1980/12,3071148371 ,2742730211 
1981/01,1924829698 ,2436757507 
1981/02,2463851338 ,2402823451 
1981/03,2902529112 ,2686901614 
1981/04,2724555854 ,2630290769 
1981/05,2748372242 ,2747244157 
1981/06,2856838988 ,2528896461 
1981/07,3083290251 ,2740427146 
1981/08,2784280334 ,2610328188 
1981/09,3028395082 ,2496569032 
1981/10,3093467662 ,2607635841 
1981/11,2692445296 ,2730890764 
1981/12,3166128645 ,2845380811 
1982/01,2283708502 ,2691722394 
1982/02,2704303626 ,2622626491 
1982/03,3195742140 ,2992563146 
1982/04,3032135254 ,2910765044 
1982/05,2750030458 ,2642918484 
1982/06,2862327713 ,2453845870 
1982/07,3060166486 ,2734093071 
1982/08,2684480947 ,2689212129 
1982/09,3009790237 ,2597464133 
1982/10,2974059071 ,2715398623 
1982/11,2740979399 ,2857013201 
1982/12,3134777114 ,2748679988 
1983/01,2134195274 ,2543989927 
1983/02,2616327639 ,2282630898 
1983/03,3068920520 ,2586177655 
1983/04,2912037421 ,2427965036 
1983/05,2738407179 ,2315782170 
1983/06,2935410242 ,2469544895 
1983/07,3029505276 ,2345169751 
1983/08,2823995709 ,2416612821 
1983/09,3129731941 ,2544967322 
1983/10,3032322397 ,2551913119 
1983/11,2907639368 ,2627864029 
1983/12,3580775633 ,2902166433 
1984/01,2384138917 ,2580731324 
1984/02,3098050444 ,2588307479 
1984/03,3556941250 ,2830472023 
1984/04,3251541878 ,2552002164 
1984/05,3256291685 ,2830817820 
1984/06,3417768073 ,2488283864 
1984/07,3535860561 ,2775653157 
1984/08,3244304955 ,2974007963 
1984/09,3559646133 ,2466773743 
1984/10,3679814216 ,2793024279 
1984/11,3410119351 ,2655503704 
1984/12,3930816238 ,2785549120 
1985/01,2794824956 ,2670558409 
1985/02,3320609123 ,2716385467 
1985/03,3782761250 ,2952695224 
1985/04,3782513662 ,2955293888 
1985/05,3628603287 ,2779373225 
1985/06,3613987776 ,2358461000 
1985/07,3758852479 ,2632696947 
1985/08,3297916779 ,2467121341 
1985/09,3534090591 ,2434282481 
1985/10,3560071330 ,2585856829 
1985/11,3242038345 ,2240486096 
1985/12,3639389893 ,2291724300 
1986/01,2583556595 ,2203498166 
1986/02,2913062394 ,2154567575 
1986/03,3177078112 ,1976378417 
1986/04,3173289742 ,1948294612 
1986/05,2987945773 ,1734934010 
1986/06,2957283036 ,1715408102 
1986/07,3075530691 ,1744959513 
1986/08,2609168170 ,1450209369 
1986/09,2947637644 ,1562874173 
1986/10,2952599460 ,1754054801 
1986/11,2711950593 ,1524772776 
1986/12,3200611677 ,1780765556 
1987/01,2362312083 ,1685555813 
1987/02,2634787086 ,1544317465 
1987/03,2963278213 ,1728582530 
1987/04,2863059167 ,1758296866 
1987/05,2605678477 ,1706526592 
1987/06,2684611970 ,1742155936 
1987/07,2942171833 ,1915145230 
1987/08,2655157654 ,1878906619 
1987/09,2909789669 ,1849573301 
1987/10,2985539820 ,2004705252 
1987/11,2618788807 ,1965227338 
1987/12,3090016604 ,1957919731 
1988/01,2187613965 ,1796164853 
1988/02,2602963105 ,1927670914 
1988/03,2922510217 ,1963965033 
1988/04,2825634638 ,1971996284 
1988/05,2575860023 ,1928914302 
1988/06,2761695856 ,2016621821 
1988/07,3039379123 ,2097989785 
1988/08,2775566970 ,2113415332 
1988/09,3109455598 ,2068934053 
1988/10,3094537899 ,2088890851 
1988/11,2841871801 ,2020461335 
1988/12,3202093963 ,2011295296 
1989/01,2436919848 ,2024444396 
1989/02,2875723988 ,1946462225 
1989/03,3392125121 ,2544696946 
1989/04,3067505097 ,2104684284 
1989/05,2907578772 ,2400801378 
1989/06,3246795217 ,2491568117 
1989/07,3319946103 ,2472457831 
1989/08,3061339138 ,2589486276 
1989/09,3529216651 ,2485380823 
1989/10,3286437743 ,2618926165 
1989/11,3150898465 ,2646520820 
1989/12,3548048483 ,2653143320 
1990/01,2698920009 ,2648894855 
1990/02,3189896457 ,2468818441 
1990/03,3876411321 ,2823489159 
1990/04,3444506468 ,2887652595 
1990/05,3380060080 ,2899544419 
1990/06,3624006217 ,2604347613 
1990/07,3625666385 ,2822566286 
1990/08,3339566914 ,2830271046 
1990/09,3685930278 ,2711024287 
1990/10,3572949481 ,3142903612 
1990/11,3302264729 ,3015229249 
1990/12,3716761335 ,3000466076 
1991/01,2951341099 ,2827441144 
1991/02,3270447564 ,2608426257 
1991/03,3961490693 ,2821264514 
1991/04,3315886709 ,2449686339 
1991/05,3370218632 ,2794954173 
1991/06,3538799084 ,2529928197 
1991/07,3692837249 ,2778148908 
1991/08,3397923866 ,2616963288 
1991/09,3762273475 ,2450567764 
1991/10,3748619780 ,2799973754 
1991/11,3533219736 ,2697824120 
1991/12,3816835087 ,2524975064 
1992/01,3021436725 ,2546349846 
1992/02,3529202937 ,2248489560 
1992/03,3969328400 ,2532558620 
1992/04,3627117687 ,2679644816 
1992/05,3368799562 ,2347768380 
1992/06,3599633739 ,2456025147 
1992/07,3706451371 ,2548003326 
1992/08,3318396801 ,2429167268 
1992/09,3929782656 ,2431192336 
1992/10,3760352345 ,2447708909 
1992/11,3351736387 ,2419442120 
1992/12,3830042834 ,2441069032 
1993/01,3012474007 ,2357365563 
1993/02,3461521719 ,2157311473 
1993/03,4086569506 ,2510348134 
1993/04,3528825964 ,2349806884 
1993/05,2986793554 ,2124148119 
1993/06,3288531601 ,2224456750 
1993/07,3487536565 ,2207051486 
1993/08,2930742070 ,2147567439 
1993/09,3481724569 ,2173181801 
1993/10,3319377470 ,2161844659 
1993/11,3063491754 ,2265071063 
1993/12,3554859946 ,2148203868 
1994/01,2906853119 ,2228338869 
1994/02,3224979018 ,2041913309 
1994/03,3839527713 ,2378333198 
1994/04,3438461872 ,2280632270 
1994/05,2900692807 ,2226359910 
1994/06,3516450964 ,2334820673 
1994/07,3431702395 ,2213499422 
1994/08,3117149441 ,2512787936 
1994/09,3587752468 ,2401458244 
1994/10,3427748093 ,2512406524 
1994/11,3354563966 ,2521965933 
1994/12,3751670841 ,2451811055 
1995/01,2718873316 ,2443974354 
1995/02,3494689171 ,2373411995 
1995/03,4010591913 ,2715686031 
1995/04,3467655124 ,2538872628 
1995/05,2981503555 ,2394514680 
1995/06,3413587882 ,2424017789 
1995/07,3257376723 ,2448986996 
1995/08,3194975552 ,2659839489 
1995/09,3817619284 ,2699229046 
1995/10,3560529834 ,3020078500 
1995/11,3604797728 ,2931170209 
1995/12,4008695039 ,2898972164 
1996/01,3027419286 ,2964494500 
1996/02,3624731544 ,2979873662 
1996/03,4110540460 ,2992906469 
1996/04,3644667863 ,3329344233 
1996/05,3405943420 ,3176845485 
1996/06,3662995373 ,2931366058 
1996/07,3826022690 ,3325555642 
1996/08,3454298031 ,3106848451 
1996/09,3874539603 ,3097268158 
1996/10,3962383286 ,3500241833 
