series,imex,area,code,name,yyyymm,value_jpy_k,quantity,unit,retrieved_at
world_total,E,世界,,Exp-Total,1979-01,1192541404,,,2026-09-02
world_total,I,世界,,Imp-Total,1979-01,1476341312,,,2026-09-02
world_total,E,世界,,Exp-Total,1979-02,1547063623,,,2026-09-02
world_total,I,世界,,Imp-Total,1979-02,1474768659,,,2026-09-02
world_total,E,世界,,Exp-Total,1979-03,1924706473,,,2026-09-02
world_total,I,世界,,Imp-Total,1979-03,1729013255,,,2026-09-02
world_total,E,世界,,Exp-Total,1979-04,1674210856,,,2026-09-02
world_total,I,世界,,Imp-Total,1979-04,1754000207,,,2026-09-02
world_total,E,世界,,Exp-Total,1979-05,1795127553,,,2026-09-02
world_total,I,世界,,Imp-Total,1979-05,1971518433,,,2026-09-02
world_total,E,世界,,Exp-Total,1979-06,1906294090,,,2026-09-02
world_total,I,世界,,Imp-Total,1979-06,1853721295,,,2026-09-02
world_total,E,世界,,Exp-Total,1979-07,1935032403,,,2026-09-02
world_total,I,世界,,Imp-Total,1979-07,1986026408,,,2026-09-02
world_total,E,世界,,Exp-Total,1979-08,1796769263,,,2026-09-02
world_total,I,世界,,Imp-Total,1979-08,2158098399,,,2026-09-02
world_total,E,世界,,Exp-Total,1979-09,2054736017,,,2026-09-02
world_total,I,世界,,Imp-Total,1979-09,2219514437,,,2026-09-02
world_total,E,世界,,Exp-Total,1979-10,2005656869,,,2026-09-02
world_total,I,世界,,Imp-Total,1979-10,2321751345,,,2026-09-02
world_total,E,世界,,Exp-Total,1979-11,2049252162,,,2026-09-02
world_total,I,世界,,Imp-Total,1979-11,2575911451,,,2026-09-02
world_total,E,世界,,Exp-Total,1979-12,2650148146,,,2026-09-02
world_total,I,世界,,Imp-Total,1979-12,2724685796,,,2026-09-02
world_total,E,世界,,Exp-Total,1980-01,1656296623,,,2026-09-02
world_total,I,世界,,Imp-Total,1980-01,2481133182,,,2026-09-02
world_total,E,世界,,Exp-Total,1980-02,2303865000,,,2026-09-02
world_total,I,世界,,Imp-Total,1980-02,2640281329,,,2026-09-02
world_total,E,世界,,Exp-Total,1980-03,2654692011,,,2026-09-02
world_total,I,世界,,Imp-Total,1980-03,2923286343,,,2026-09-02
world_total,E,世界,,Exp-Total,1980-04,2534739838,,,2026-09-02
world_total,I,世界,,Imp-Total,1980-04,3043068166,,,2026-09-02
world_total,E,世界,,Exp-Total,1980-05,2493538171,,,2026-09-02
world_total,I,世界,,Imp-Total,1980-05,2947129058,,,2026-09-02
world_total,E,世界,,Exp-Total,1980-06,2434691410,,,2026-09-02
world_total,I,世界,,Imp-Total,1980-06,2664607864,,,2026-09-02
world_total,E,世界,,Exp-Total,1980-07,2494998910,,,2026-09-02
world_total,I,世界,,Imp-Total,1980-07,2708450217,,,2026-09-02
world_total,E,世界,,Exp-Total,1980-08,2336083457,,,2026-09-02
world_total,I,世界,,Imp-Total,1980-08,2518178397,,,2026-09-02
world_total,E,世界,,Exp-Total,1980-09,2552830654,,,2026-09-02
world_total,I,世界,,Imp-Total,1980-09,2361417575,,,2026-09-02
world_total,E,世界,,Exp-Total,1980-10,2500763213,,,2026-09-02
world_total,I,世界,,Imp-Total,1980-10,2566351507,,,2026-09-02
world_total,E,世界,,Exp-Total,1980-11,2348824280,,,2026-09-02
world_total,I,世界,,Imp-Total,1980-11,2398691353,,,2026-09-02
world_total,E,世界,,Exp-Total,1980-12,3071148371,,,2026-09-02
world_total,I,世界,,Imp-Total,1980-12,2742730211,,,2026-09-02
world_total,E,世界,,Exp-Total,1981-01,1924829698,,,2026-09-02
world_total,I,世界,,Imp-Total,1981-01,2436757507,,,2026-09-02
world_total,E,世界,,Exp-Total,1981-02,2463851338,,,2026-09-02
world_total,I,世界,,Imp-Total,1981-02,2402823451,,,2026-09-02
world_total,E,世界,,Exp-Total,1981-03,2902529112,,,2026-09-02
world_total,I,世界,,Imp-Total,1981-03,2686901614,,,2026-09-02
world_total,E,世界,,Exp-Total,1981-04,2724555854,,,2026-09-02
world_total,I,世界,,Imp-Total,1981-04,2630290769,,,2026-09-02
world_total,E,世界,,Exp-Total,1981-05,2748372242,,,2026-09-02
world_total,I,世界,,Imp-Total,1981-05,2747244157,,,2026-09-02
world_total,E,世界,,Exp-Total,1981-06,2856838988,,,2026-09-02
world_total,I,世界,,Imp-Total,1981-06,2528896461,,,2026-09-02
world_total,E,世界,,Exp-Total,1981-07,3083290251,,,2026-09-02
world_total,I,世界,,Imp-Total,1981-07,2740427146,,,2026-09-02
world_total,E,世界,,Exp-Total,1981-08,2784280334,,,2026-09-02
world_total,I,世界,,Imp-Total,1981-08,2610328188,,,2026-09-02
world_total,E,世界,,Exp-Total,1981-09,3028395082,,,2026-09-02
world_total,I,世界,,Imp-Total,1981-09,2496569032,,,2026-09-02
world_total,E,世界,,Exp-Total,1981-10,3093467662,,,2026-09-02
world_total,I,世界,,Imp-Total,1981-10,2607635841,,,2026-09-02
world_total,E,世界,,Exp-Total,1981-11,2692445296,,,2026-09-02
world_total,I,世界,,Imp-Total,1981-11,2730890764,,,2026-09-02
world_total,E,世界,,Exp-Total,1981-12,3166128645,,,2026-09-02
world_total,I,世界,,Imp-Total,1981-12,2845380811,,,2026-09-02
world_total,E,世界,,Exp-Total,1982-01,2283708502,,,2026-09-02
world_total,I,世界,,Imp-Total,1982-01,2691722394,,,2026-09-02
world_total,E,世界,,Exp-Total,1982-02,2704303626,,,2026-09-02
world_total,I,世界,,Imp-Total,1982-02,2622626491,,,2026-09-02
world_total,E,世界,,Exp-Total,1982-03,3195742140,,,2026-09-02
world_total,I,世界,,Imp-Total,1982-03,2992563146,,,2026-09-02
world_total,E,世界,,Exp-Total,1982-04,3032135254,,,2026-09-02
world_total,I,世界,,Imp-Total,1982-04,2910765044,,,2026-09-02
world_total,E,世界,,Exp-Total,1982-05,2750030458,,,2026-09-02
world_total,I,世界,,Imp-Total,1982-05,2642918484,,,2026-09-02
world_total,E,世界,,Exp-Total,1982-06,2862327713,,,2026-09-02
world_total,I,世界,,Imp-Total,1982-06,2453845870,,,2026-09-02
world_total,E,世界,,Exp-Total,1982-07,3060166486,,,2026-09-02
world_total,I,世界,,Imp-Total,1982-07,2734093071,,,2026-09-02
world_total,E,世界,,Exp-Total,1982-08,2684480947,,,2026-09-02
world_total,I,世界,,Imp-Total,1982-08,2689212129,,,2026-09-02
world_total,E,世界,,Exp-Total,1982-09,3009790237,,,2026-09-02
world_total,I,世界,,Imp-Total,1982-09,2597464133,,,2026-09-02
world_total,E,世界,,Exp-Total,1982-10,2974059071,,,2026-09-02
world_total,I,世界,,Imp-Total,1982-10,2715398623,,,2026-09-02
world_total,E,世界,,Exp-Total,1982-11,2740979399,,,2026-09-02
world_total,I,世界,,Imp-Total,1982-11,2857013201,,,2026-09-02
world_total,E,世界,,Exp-Total,1982-12,3134777114,,,2026-09-02
world_total,I,世界,,Imp-Total,1982-12,2748679988,,,2026-09-02
world_total,E,世界,,Exp-Total,1983-01,2134195274,,,2026-09-02
world_total,I,世界,,Imp-Total,1983-01,2543989927,,,2026-09-02
world_total,E,世界,,Exp-Total,1983-02,2616327639,,,2026-09-02
world_total,I,世界,,Imp-Total,1983-02,2282630898,,,2026-09-02
world_total,E,世界,,Exp-Total,1983-03,3068920520,,,2026-09-02
world_total,I,世界,,Imp-Total,1983-03,2586177655,,,2026-09-02
world_total,E,世界,,Exp-Total,1983-04,2912037421,,,2026-09-02
world_total,I,世界,,Imp-Total,1983-04,2427965036,,,2026-09-02
world_total,E,世界,,Exp-Total,1983-05,2738407179,,,2026-09-02
world_total,I,世界,,Imp-Total,1983-05,2315782170,,,2026-09-02
world_total,E,世界,,Exp-Total,1983-06,2935410242,,,2026-09-02
world_total,I,世界,,Imp-Total,1983-06,2469544895,,,2026-09-02
world_total,E,世界,,Exp-Total,1983-07,3029505276,,,2026-09-02
world_total,I,世界,,Imp-Total,1983-07,2345169751,,,2026-09-02
world_total,E,世界,,Exp-Total,1983-08,2823995709,,,2026-09-02
world_total,I,世界,,Imp-Total,1983-08,2416612821,,,2026-09-02
world_total,E,世界,,Exp-Total,1983-09,3129731941,,,2026-09-02
world_total,I,世界,,Imp-Total,1983-09,2544967322,,,2026-09-02
world_total,E,世界,,Exp-Total,1983-10,3032322397,,,2026-09-02
world_total,I,世界,,Imp-Total,1983-10,2551913119,,,2026-09-02
world_total,E,世界,,Exp-Total,1983-11,2907639368,,,2026-09-02
world_total,I,世界,,Imp-Total,1983-11,2627864029,,,2026-09-02
world_total,E,世界,,Exp-Total,1983-12,3580775633,,,2026-09-02
world_total,I,世界,,Imp-Total,1983-12,2902166433,,,2026-09-02
world_total,E,世界,,Exp-Total,1984-01,2384138917,,,2026-09-02
world_total,I,世界,,Imp-Total,1984-01,2580731324,,,2026-09-02
world_total,E,世界,,Exp-Total,1984-02,3098050444,,,2026-09-02
world_total,I,世界,,Imp-Total,1984-02,2588307479,,,2026-09-02
world_total,E,世界,,Exp-Total,1984-03,3556941250,,,2026-09-02
world_total,I,世界,,Imp-Total,1984-03,2830472023,,,2026-09-02
world_total,E,世界,,Exp-Total,1984-04,3251541878,,,2026-09-02
world_total,I,世界,,Imp-Total,1984-04,2552002164,,,2026-09-02
world_total,E,世界,,Exp-Total,1984-05,3256291685,,,2026-09-02
world_total,I,世界,,Imp-Total,1984-05,2830817820,,,2026-09-02
world_total,E,世界,,Exp-Total,1984-06,3417768073,,,2026-09-02
world_total,I,世界,,Imp-Total,1984-06,2488283864,,,2026-09-02
world_total,E,世界,,Exp-Total,1984-07,3535860561,,,2026-09-02
world_total,I,世界,,Imp-Total,1984-07,2775653157,,,2026-09-02
world_total,E,世界,,Exp-Total,1984-08,3244304955,,,2026-09-02
world_total,I,世界,,Imp-Total,1984-08,2974007963,,,2026-09-02
world_total,E,世界,,Exp-Total,1984-09,3559646133,,,2026-09-02
world_total,I,世界,,Imp-Total,1984-09,2466773743,,,2026-09-02
world_total,E,世界,,Exp-Total,1984-10,3679814216,,,2026-09-02
world_total,I,世界,,Imp-Total,1984-10,2793024279,,,2026-09-02
world_total,E,世界,,Exp-Total,1984-11,3410119351,,,2026-09-02
world_total,I,世界,,Imp-Total,1984-11,2655503704,,,2026-09-02
world_total,E,世界,,Exp-Total,1984-12,3930816238,,,2026-09-02
world_total,I,世界,,Imp-Total,1984-12,2785549120,,,2026-09-02
world_total,E,世界,,Exp-Total,1985-01,2794824956,,,2026-09-02
world_total,I,世界,,Imp-Total,1985-01,2670558409,,,2026-09-02
world_total,E,世界,,Exp-Total,1985-02,3320609123,,,2026-09-02
world_total,I,世界,,Imp-Total,1985-02,2716385467,,,2026-09-02
world_total,E,世界,,Exp-Total,1985-03,3782761250,,,2026-09-02
world_total,I,世界,,Imp-Total,1985-03,2952695224,,,2026-09-02
world_total,E,世界,,Exp-Total,1985-04,3782513662,,,2026-09-02
world_total,I,世界,,Imp-Total,1985-04,2955293888,,,2026-09-02
world_total,E,世界,,Exp-Total,1985-05,3628603287,,,2026-09-02
world_total,I,世界,,Imp-Total,1985-05,2779373225,,,2026-09-02
world_total,E,世界,,Exp-Total,1985-06,3613987776,,,2026-09-02
world_total,I,世界,,Imp-Total,1985-06,2358461000,,,2026-09-02
world_total,E,世界,,Exp-Total,1985-07,3758852479,,,2026-09-02
world_total,I,世界,,Imp-Total,1985-07,2632696947,,,2026-09-02
world_total,E,世界,,Exp-Total,1985-08,3297916779,,,2026-09-02
world_total,I,世界,,Imp-Total,1985-08,2467121341,,,2026-09-02
world_total,E,世界,,Exp-Total,1985-09,3534090591,,,2026-09-02
world_total,I,世界,,Imp-Total,1985-09,2434282481,,,2026-09-02
world_total,E,世界,,Exp-Total,1985-10,3560071330,,,2026-09-02
world_total,I,世界,,Imp-Total,1985-10,2585856829,,,2026-09-02
world_total,E,世界,,Exp-Total,1985-11,3242038345,,,2026-09-02
world_total,I,世界,,Imp-Total,1985-11,2240486096,,,2026-09-02
world_total,E,世界,,Exp-Total,1985-12,3639389893,,,2026-09-02
world_total,I,世界,,Imp-Total,1985-12,2291724300,,,2026-09-02
world_total,E,世界,,Exp-Total,1986-01,2583556595,,,2026-09-02
world_total,I,世界,,Imp-Total,1986-01,2203498166,,,2026-09-02
world_total,E,世界,,Exp-Total,1986-02,2913062394,,,2026-09-02
world_total,I,世界,,Imp-Total,1986-02,2154567575,,,2026-09-02
world_total,E,世界,,Exp-Total,1986-03,3177078112,,,2026-09-02
world_total,I,世界,,Imp-Total,1986-03,1976378417,,,2026-09-02
world_total,E,世界,,Exp-Total,1986-04,3173289742,,,2026-09-02
world_total,I,世界,,Imp-Total,1986-04,1948294612,,,2026-09-02
world_total,E,世界,,Exp-Total,1986-05,2987945773,,,2026-09-02
world_total,I,世界,,Imp-Total,1986-05,1734934010,,,2026-09-02
world_total,E,世界,,Exp-Total,1986-06,2957283036,,,2026-09-02
world_total,I,世界,,Imp-Total,1986-06,1715408102,,,2026-09-02
world_total,E,世界,,Exp-Total,1986-07,3075530691,,,2026-09-02
world_total,I,世界,,Imp-Total,1986-07,1744959513,,,2026-09-02
world_total,E,世界,,Exp-Total,1986-08,2609168170,,,2026-09-02
world_total,I,世界,,Imp-Total,1986-08,1450209369,,,2026-09-02
world_total,E,世界,,Exp-Total,1986-09,2947637644,,,2026-09-02
world_total,I,世界,,Imp-Total,1986-09,1562874173,,,2026-09-02
world_total,E,世界,,Exp-Total,1986-10,2952599460,,,2026-09-02
world_total,I,世界,,Imp-Total,1986-10,1754054801,,,2026-09-02
world_total,E,世界,,Exp-Total,1986-11,2711950593,,,2026-09-02
world_total,I,世界,,Imp-Total,1986-11,1524772776,,,2026-09-02
world_total,E,世界,,Exp-Total,1986-12,3200611677,,,2026-09-02
world_total,I,世界,,Imp-Total,1986-12,1780765556,,,2026-09-02
world_total,E,世界,,Exp-Total,1987-01,2362312083,,,2026-09-02
world_total,I,世界,,Imp-Total,1987-01,1685555813,,,2026-09-02
world_total,E,世界,,Exp-Total,1987-02,2634787086,,,2026-09-02
world_total,I,世界,,Imp-Total,1987-02,1544317465,,,2026-09-02
