yyyymm,imex,hs_code,stage,value_jpy_k,quantity1,unit1,quantity2,unit2,source_file,retrieved_at
2026-01,E,280461000,DETAILED,3115984,0,,278075,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,280461000,DETAILED,3639485,0,,389855,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,280461000,DETAILED,4670234,0,,465830,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,280461000,DETAILED,2907148,0,,158342,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,280461000,DETAILED,3607377,0,,455438,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,280461000,DETAILED,3437661,0,,332033,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,280461000,DETAILED,3460651,0,,320593,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,381800100,DETAILED,51601777,0,,603917,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,381800100,DETAILED,44821564,0,,564210,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,381800100,DETAILED,59835574,0,,696994,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,381800100,DETAILED,57265719,0,,633937,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,381800100,DETAILED,59702296,0,,660060,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,381800100,DETAILED,58052953,0,,677648,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,381800100,DETAILED,57479663,0,,674075,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,381800900,DETAILED,3625505,0,,9877,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,381800900,DETAILED,4150323,0,,11864,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,381800900,DETAILED,5033110,0,,14704,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,381800900,DETAILED,4883437,0,,14647,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,381800900,DETAILED,4866464,0,,15355,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,381800900,DETAILED,5458588,0,,22491,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,381800900,DETAILED,5566260,0,,19397,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,848610000,DETAILED,17808283,76,NO,768886,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,848610000,DETAILED,10915392,57,NO,482252,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,848610000,DETAILED,15299342,96,NO,712696,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,848610000,DETAILED,17550279,108,NO,772303,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,848610000,DETAILED,16757383,63,NO,621475,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,848610000,DETAILED,23340941,111,NO,983056,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,848610000,DETAILED,22859629,97,NO,865977,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,848620000,DETAILED,174685389,765,NO,4188168,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,848620000,DETAILED,188804987,855,NO,4806684,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,848620000,DETAILED,359742709,1439,NO,8567126,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,848620000,DETAILED,236165750,1137,NO,5939182,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,848620000,DETAILED,218195603,1027,NO,5806443,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,848620000,DETAILED,297509131,1225,NO,7411107,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,848620000,DETAILED,327351851,1414,NO,7823707,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,848630000,DETAILED,16933576,59,NO,1202634,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,848630000,DETAILED,19537668,43,NO,1449023,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,848630000,DETAILED,14299187,80,NO,1408557,KG,estat_E_2026-07_000040494506.csv,2026-09-02
