yyyymm,period_type,imex,dimension,name,value_usd_k,retrieved_at
2026-08,D10,E,total,TOTAL,21285723,2026-09-01
2026-08,D20,E,total,TOTAL,55206635,2026-09-01
2026-08,FULL,E,total,TOTAL,98254665,2026-09-01
2026-08,D10,E,item,반도체,9951784,2026-09-01
2026-08,D20,E,item,반도체,26031978,2026-09-01
2026-08,FULL,E,item,반도체,46828404,2026-09-01
2026-08,D10,E,item,석유제품,1997215,2026-09-01
2026-08,D20,E,item,석유제품,4238557,2026-09-01
2026-08,FULL,E,item,석유제품,6874767,2026-09-01
2026-08,D10,E,item,철강제품,900708,2026-09-01
2026-08,D20,E,item,철강제품,2391937,2026-09-01
2026-08,FULL,E,item,철강제품,4032546,2026-09-01
2026-08,D10,E,item,컴퓨터주변기기,587444,2026-09-01
2026-08,D20,E,item,컴퓨터주변기기,2278121,2026-09-01
2026-08,FULL,E,item,컴퓨터주변기기,6410085,2026-09-01
2026-08,D10,E,item,선박,470680,2026-09-01
2026-08,D20,E,item,선박,913907,2026-09-01
2026-08,FULL,E,item,선박,1631184,2026-09-01
2026-08,D10,E,item,무선통신기기,470569,2026-09-01
2026-08,D20,E,item,무선통신기기,1040226,2026-09-01
2026-08,FULL,E,item,무선통신기기,1649943,2026-09-01
2026-08,D10,E,item,자동차부품,223664,2026-09-01
2026-08,D20,E,item,자동차부품,797357,2026-09-01
2026-08,FULL,E,item,자동차부품,1415829,2026-09-01
2026-08,D10,E,item,정밀기기,207249,2026-09-01
2026-08,D20,E,item,정밀기기,525237,2026-09-01
2026-08,FULL,E,item,정밀기기,860866,2026-09-01
2026-08,D10,E,item,승용차,181589,2026-09-01
2026-08,D20,E,item,승용차,1521414,2026-09-01
2026-08,FULL,E,item,승용차,3643702,2026-09-01
2026-08,D10,E,item,가전제품,113048,2026-09-01
2026-08,D20,E,item,가전제품,306859,2026-09-01
2026-08,FULL,E,item,가전제품,510269,2026-09-01
2026-08,D10,I,total,TOTAL,19487538,2026-09-01
2026-08,D20,I,total,TOTAL,41231398,2026-09-01
2026-08,FULL,I,total,TOTAL,63507072,2026-09-01
2026-08,D10,I,item,반도체,3961950,2026-09-01
2026-08,D20,I,item,반도체,7470319,2026-09-01
2026-08,FULL,I,item,반도체,11367459,2026-09-01
2026-08,D10,I,item,원유,2328096,2026-09-01
2026-08,D20,I,item,원유,5438146,2026-09-01
2026-08,FULL,I,item,원유,8284800,2026-09-01
2026-08,D10,I,item,반도체제조용장비,831011,2026-09-01
2026-08,D20,I,item,반도체제조용장비,1872996,2026-09-01
2026-08,FULL,I,item,반도체제조용장비,3015343,2026-09-01
2026-08,D10,I,item,기계류,802717,2026-09-01
2026-08,D20,I,item,기계류,1735360,2026-09-01
2026-08,FULL,I,item,기계류,2632081,2026-09-01
2026-08,D10,I,item,가스,793816,2026-09-01
2026-08,D20,I,item,가스,1719717,2026-09-01
2026-08,FULL,I,item,가스,2777777,2026-09-01
2026-08,D10,I,item,정밀기기,485244,2026-09-01
2026-08,D20,I,item,정밀기기,1030813,2026-09-01
2026-08,FULL,I,item,정밀기기,1598369,2026-09-01
