date,ticker,close,adj_close,source
2006-01-03,GLD,53.12,53.12,yahoo
2006-01-04,GLD,53.30,53.30,yahoo
2006-01-05,GLD,52.34,52.34,yahoo
2006-01-06,GLD,53.72,53.72,yahoo
2006-01-09,GLD,54.60,54.60,yahoo
2006-01-10,GLD,54.06,54.06,yahoo
2006-01-11,GLD,54.53,54.53,yahoo
2006-01-12,GLD,54.43,54.43,yahoo
2006-01-13,GLD,55.44,55.44,yahoo
2006-01-17,GLD,55.26,55.26,yahoo
2006-01-18,GLD,54.07,54.07,yahoo
2006-01-19,GLD,55.59,55.59,yahoo
2006-01-20,GLD,55.20,55.20,yahoo
2006-01-23,GLD,55.77,55.77,yahoo
2006-01-24,GLD,55.73,55.73,yahoo
2006-01-25,GLD,56.14,56.14,yahoo
2006-01-26,GLD,55.88,55.88,yahoo
2006-01-27,GLD,55.63,55.63,yahoo
2006-01-30,GLD,56.68,56.68,yahoo
2006-01-31,GLD,56.70,56.70,yahoo
2006-02-01,GLD,56.70,56.70,yahoo
2006-02-02,GLD,56.98,56.98,yahoo
2006-02-03,GLD,56.50,56.50,yahoo
2006-02-06,GLD,56.72,56.72,yahoo
2006-02-07,GLD,54.60,54.60,yahoo
2006-02-08,GLD,54.83,54.83,yahoo
2006-02-09,GLD,56.18,56.18,yahoo
2006-02-10,GLD,54.79,54.79,yahoo
2006-02-13,GLD,53.72,53.72,yahoo
2006-02-14,GLD,54.49,54.49,yahoo
2006-02-15,GLD,53.76,53.76,yahoo
2006-02-16,GLD,54.52,54.52,yahoo
2006-02-17,GLD,54.96,54.96,yahoo
2006-02-21,GLD,55.12,55.12,yahoo
2006-02-22,GLD,55.34,55.34,yahoo
2006-02-23,GLD,54.64,54.64,yahoo
2006-02-24,GLD,55.64,55.64,yahoo
2006-02-27,GLD,55.22,55.22,yahoo
2006-02-28,GLD,56.07,56.07,yahoo
2006-03-01,GLD,56.10,56.10,yahoo
2006-03-02,GLD,56.74,56.74,yahoo
2006-03-03,GLD,56.28,56.28,yahoo
2006-03-06,GLD,55.23,55.23,yahoo
2006-03-07,GLD,54.95,54.95,yahoo
2006-03-08,GLD,53.97,53.97,yahoo
2006-03-09,GLD,54.24,54.24,yahoo
2006-03-10,GLD,53.83,53.83,yahoo
2006-03-13,GLD,54.31,54.31,yahoo
2006-03-14,GLD,54.87,54.87,yahoo
2006-03-15,GLD,55.12,55.12,yahoo
2006-03-16,GLD,55.34,55.34,yahoo
2006-03-17,GLD,55.12,55.12,yahoo
2006-03-20,GLD,55.17,55.17,yahoo
2006-03-21,GLD,54.83,54.83,yahoo
2006-03-22,GLD,54.75,54.75,yahoo
2006-03-23,GLD,54.70,54.70,yahoo
2006-03-24,GLD,55.71,55.71,yahoo
2006-03-27,GLD,56.39,56.39,yahoo
2006-03-28,GLD,56.06,56.06,yahoo
2006-03-29,GLD,57.07,57.07,yahoo
2006-03-30,GLD,58.60,58.60,yahoo
2006-03-31,GLD,58.10,58.10,yahoo
2006-04-03,GLD,58.47,58.47,yahoo
2006-04-04,GLD,58.33,58.33,yahoo
2006-04-05,GLD,58.66,58.66,yahoo
2006-04-06,GLD,59.28,59.28,yahoo
2006-04-07,GLD,58.59,58.59,yahoo
2006-04-10,GLD,59.60,59.60,yahoo
2006-04-11,GLD,59.01,59.01,yahoo
2006-04-12,GLD,59.43,59.43,yahoo
2006-04-13,GLD,59.50,59.50,yahoo
2006-04-17,GLD,61.09,61.09,yahoo
