report_month,market,company_id,company_name,industry,rev_month_twd_k,rev_prev_month_twd_k,rev_year_ago_month_twd_k,mom_pct,yoy_pct,rev_cum_twd_k,rev_cum_prev_year_twd_k,cum_yoy_pct,note
2026-07,otc,1240,茂生農經,農業科技,242511,270176,214130,-10.24,13.25,1683183,1564493,7.59,-
2026-07,otc,1259,安心,觀光餐旅,550828,533260,511150,3.29,7.76,3642023,3509538,3.77,-
2026-07,otc,1264,德麥,食品工業,593252,544506,545535,8.95,8.75,4058839,3798184,6.86,-
2026-07,otc,1268,漢來美食,觀光餐旅,551405,574472,459723,-4.02,19.94,4227046,3610256,17.08,-
2026-07,otc,1294,漢田生技,食品工業,69919,82336,57191,-15.08,22.26,525245,426333,23.20,-
2026-07,otc,1295,生合,食品工業,78660,111446,63971,-29.42,22.96,589376,606808,-2.87,-
2026-07,otc,1336,台翰,電子零組件業,324336,273030,194127,18.79,67.07,1571942,1462430,7.49,1.越南新增電腦周邊及遊戲類產品營收同比增加。2.越南多功能事務機主要客戶出貨遞延。3.菲律賓新增家電類產品的組裝。
2026-07,otc,1565,精華,生技醫療業,303353,301680,337779,0.55,-10.19,2083713,2506279,-16.86,-
2026-07,otc,1569,濱川,電腦及週邊設備業,207224,248282,241532,-16.54,-14.20,1832219,1930493,-5.09,-
2026-07,otc,1570,力肯,電機機械,37664,55651,54899,-32.32,-31.39,325820,336068,-3.05,-
2026-07,otc,1580,新麥,電機機械,440522,393900,426841,11.84,3.21,2705330,2765521,-2.18,-
2026-07,otc,1584,精剛,其他,195477,194678,205623,0.41,-4.93,1279933,1545592,-17.19,-
2026-07,otc,1586,和勤,電機機械,219209,216845,189151,1.09,15.89,1388654,1289969,7.65,-
2026-07,otc,1591,駿吉-KY,電機機械,42489,36786,25777,15.50,64.83,295663,74725,295.67,本期銷售數量增加所致
2026-07,otc,1593,祺驊,運動休閒,122407,115466,107867,6.01,13.48,769009,691432,11.22,-
2026-07,otc,1595,川寶,半導體業,111520,97936,19634,13.87,467.99,523477,413645,26.55,主係本月設備出貨增加所致
2026-07,otc,1599,宏佳騰,電機機械,249147,132127,117829,88.57,111.45,1322296,1121494,17.90,市場需求提升客戶增加拉貨所致
2026-07,otc,1742,台蠟,化學工業,3653,6549,8568,-44.22,-57.36,44977,78472,-42.68,本月營收較去年同期減少，係因蠟品較去年同期減少
2026-07,otc,1777,生泰,生技醫療業,102068,125864,113377,-18.91,-9.97,714044,753968,-5.30,-
2026-07,otc,1780,立弘,食品工業,82537,62730,72549,31.58,13.77,580936,497965,16.66,-
2026-07,otc,1781,合世,生技醫療業,21098,34111,44205,-38.15,-52.27,214388,235454,-8.95,本月營收較去年同期減少主要係因出貨量減少所致。
2026-07,otc,1784,訊聯,生技醫療業,121005,111064,112252,8.95,7.80,774057,707453,9.41,-
2026-07,otc,1785,光洋科,其他電子業,5261124,4607657,3592864,14.18,46.43,36031113,21360263,68.68,主係業績增長所致
2026-07,otc,1788,杏昌,生技醫療業,362860,392788,353015,-7.62,2.79,2615656,2473570,5.74,-
2026-07,otc,1796,金穎生技,食品工業,64643,70607,46239,-8.45,39.80,386767,380526,1.64,-
2026-07,otc,1799,易威,生技醫療業,67691,81254,38701,-16.69,74.91,531020,299498,77.30,因新藥/學名藥產品出貨較去年同期多，故營收成長。
2026-07,otc,1813,寶利徠,生技醫療業,22779,21873,23283,4.14,-2.16,170525,187655,-9.13,-
2026-07,otc,1815,富喬,電子零組件業,854379,688976,508238,24.01,68.11,4867010,3313245,46.90,主要受惠於AI伺服器與高速傳輸需求帶動高階產品出貨比重提高，電子級玻纖布產品市場價格走高。
2026-07,otc,2035,唐榮公司,鋼鐵工業,880207,705520,743150,24.76,18.44,6171941,5879117,4.98,-
2026-07,otc,2061,風青,電器電纜,126081,121620,89234,3.67,41.29,798666,689284,15.87,-
2026-07,otc,2063,世鎧精密,鋼鐵工業,88303,71827,107546,22.94,-17.89,548032,592483,-7.50,-
2026-07,otc,2064,晉椿,鋼鐵工業,143500,133386,121155,7.58,18.44,1038336,866504,19.83,-
2026-07,otc,2065,世豐,鋼鐵工業,240139,179113,167592,34.07,43.29,1332605,1230403,8.31,-
2026-07,otc,2066,世德,電機機械,211148,256676,192114,-17.74,9.91,1683051,1554454,8.27,-
2026-07,otc,2067,嘉鋼,電機機械,75520,80127,77333,-5.75,-2.34,540400,601417,-10.15,-
2026-07,otc,2070,精湛,電機機械,106258,67296,60452,57.90,75.77,451756,357210,26.47,本月外銷高階機台訂單出貨
2026-07,otc,2073,雄順,鋼鐵工業,147018,102918,42265,42.85,247.85,526605,333189,58.05,主因今年第二季起開始增加購料含料自製生產銷售，使得營業收入增加。
2026-07,otc,2221,大甲,其他,139767,149053,100893,-6.23,38.53,946927,777877,21.73,-
2026-07,otc,2230,泰茂,居家生活,133854,101206,112038,32.26,19.47,1279560,871787,46.77,-
2026-07,otc,2235,謚源,電機機械,29036,39950,50704,-27.32,-42.73,319447,328698,-2.81,-
2026-07,otc,2596,綠意,建材營造,146580,192060,23069,-23.68,535.40,896687,854307,4.96,本公司「綠意領航1號」建案完工、陸續交屋中，故本年單月營業收入淨額較去年同期增加。
2026-07,otc,2640,大車隊,數位雲端,292401,293100,252700,-0.24,15.71,1957241,1793569,9.13,-
2026-07,otc,2641,正德,航運業,196763,183949,183340,6.97,7.32,1374031,1238995,10.90,-
2026-07,otc,2643,捷迅,航運業,704464,696781,717206,1.10,-1.78,4115751,4694717,-12.33,-
2026-07,otc,2718,全心投控,建材營造,19419,15199,487005,27.76,-96.01,249773,2292600,-89.11,配合銷售個案交屋認列收入
2026-07,otc,2719,燦星旅,觀光餐旅,120445,103774,176312,16.06,-31.69,970043,1263182,-23.21,-
2026-07,otc,2724,藝舍-KY,其他,34185,21673,12451,57.73,174.56,140403,97079,44.63,營收增加係因代銷個案銷售及裝潢收入成長所致。
2026-07,otc,2726,雅茗-KY,觀光餐旅,47084,50104,54148,-6.03,-13.05,321120,351775,-8.71,-
2026-07,otc,2729,瓦城,觀光餐旅,506325,531457,510978,-4.73,-0.91,3796041,3562860,6.54,-
2026-07,otc,2732,六角,觀光餐旅,446855,445894,382107,0.22,16.94,3100300,2347355,32.08,-
2026-07,otc,2734,易飛網,觀光餐旅,216192,165917,152704,30.30,41.58,1236621,954297,29.58,-
2026-07,otc,2736,富野,觀光餐旅,44716,38038,34199,17.56,30.75,340828,300009,13.61,-
2026-07,otc,2740,華軒,觀光餐旅,3436,3484,8800,-1.38,-60.95,33680,86435,-61.03,差異原因為門店數及商品銷售金額均較去年同期減少
2026-07,otc,2743,山富,觀光餐旅,561704,533007,595729,5.38,-5.71,4012537,3979972,0.82,-
2026-07,otc,2745,五福,觀光餐旅,937667,782323,750585,19.86,24.92,5987193,5151678,16.22,-
2026-07,otc,2751,王座,觀光餐旅,179589,177705,166630,1.06,7.78,1192053,930690,28.08,-
2026-07,otc,2752,豆府,觀光餐旅,363362,363090,349029,0.07,4.11,2553541,2308123,10.63,-
2026-07,otc,2754,亞洲藏壽司,觀光餐旅,507276,551321,522826,-7.99,-2.97,3496678,3291330,6.24,-
2026-07,otc,2755,揚秦,觀光餐旅,311206,297122,258798,4.74,20.25,2018138,1692309,19.25,-
