report_month,market,company_id,company_name,industry,rev_month_twd_k,rev_prev_month_twd_k,rev_year_ago_month_twd_k,mom_pct,yoy_pct,rev_cum_twd_k,rev_cum_prev_year_twd_k,cum_yoy_pct,note
2026-07,sii,1101,台泥,水泥工業,13744103,13382706,13535929,2.70,1.54,85211435,83916845,1.54,-
2026-07,sii,1102,亞泥,水泥工業,5398231,5885972,5836590,-8.29,-7.51,38104679,41097034,-7.28,-
2026-07,sii,1103,嘉泥,水泥工業,242322,229237,251867,5.71,-3.79,1598035,1772889,-9.86,-
2026-07,sii,1104,環泥,水泥工業,663235,508460,575078,30.44,15.33,4222517,4472556,-5.59,-
2026-07,sii,1108,幸福,水泥工業,309786,265297,357412,16.77,-13.33,2213755,2730708,-18.93,-
2026-07,sii,1109,信大,水泥工業,292047,314135,367999,-7.03,-20.64,2149893,2590075,-16.99,-
2026-07,sii,1110,東泥,水泥工業,261007,213484,190570,22.26,36.96,1528333,1679561,-9.00,-
2026-07,sii,1201,味全,食品工業,1991488,1825679,1850418,9.08,7.62,12437106,12582396,-1.15,-
2026-07,sii,1203,味王,食品工業,431017,427563,439000,0.81,-1.82,3041807,3383445,-10.10,-
2026-07,sii,1210,大成,食品工業,9639463,8952188,7933720,7.68,21.50,63320793,58408239,8.41,-
2026-07,sii,1213,大飲,食品工業,32555,25270,23287,28.83,39.80,183142,158479,15.56,-
2026-07,sii,1215,卜蜂,食品工業,2562688,2419781,2371761,5.91,8.05,16964331,16129752,5.17,-
2026-07,sii,1216,統一,食品工業,62168637,58301112,57114520,6.63,8.85,412146627,395952807,4.09,-
2026-07,sii,1217,愛之味,食品工業,505906,414313,486959,22.11,3.89,2859455,2914699,-1.90,-
2026-07,sii,1218,泰山,食品工業,563843,713728,893928,-21.00,-36.93,5596108,5829793,-4.01,-
2026-07,sii,1219,福壽,食品工業,882904,1104022,1105072,-20.03,-20.10,7959168,8244561,-3.46,-
2026-07,sii,1220,台榮,食品工業,279357,273600,275553,2.10,1.38,1783472,1830187,-2.55,-
