yyyymm,imex,code,comm_lvl,cty_code,cty_name,summary_lvl,value_usd,value_cons_usd,qty1,unit1,air_value_usd,vessel_value_usd,description,extra_json,retrieved_at
2026-04,I,8517620090,HS10,5200,UNITED ARAB EMIRATES,DET,187871,187871,2759,NO,187871,0,MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI,"{""AIR_VAL_MO"": ""187871"", ""COMM_LVL"": ""HS10"", ""CON_QY1_MO"": ""2759"", ""CON_VAL_MO"": ""187871"", ""CTY_CODE"": ""5200"", ""CTY_NAME"": ""UNITED ARAB EMIRATES"", ""GEN_QY1_MO"": ""2759"", ""GEN_VAL_MO"": ""187871"", ""I_COMMODITY"": ""8517620090"", ""I_COMMODITY_SDESC"": ""MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI"", ""MONTH"": ""04"", ""SUMMARY_LVL"": ""DET"", ""UNIT_QY1"": ""NO"", ""VES_VAL_MO"": ""0"", ""YEAR"": ""2026""}",2026-09-11
2026-04,I,8517620090,HS10,5310,AFGHANISTAN,DET,0,0,0,NO,0,0,MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI,"{""AIR_VAL_MO"": ""0"", ""COMM_LVL"": ""HS10"", ""CON_QY1_MO"": ""0"", ""CON_VAL_MO"": ""0"", ""CTY_CODE"": ""5310"", ""CTY_NAME"": ""AFGHANISTAN"", ""GEN_QY1_MO"": ""0"", ""GEN_VAL_MO"": ""0"", ""I_COMMODITY"": ""8517620090"", ""I_COMMODITY_SDESC"": ""MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI"", ""MONTH"": ""04"", ""SUMMARY_LVL"": ""DET"", ""UNIT_QY1"": ""NO"", ""VES_VAL_MO"": ""0"", ""YEAR"": ""2026""}",2026-09-11
2026-04,I,8517620090,HS10,5330,INDIA,DET,184852068,178054098,331696,NO,177838482,6436331,MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI,"{""AIR_VAL_MO"": ""177838482"", ""COMM_LVL"": ""HS10"", ""CON_QY1_MO"": ""299755"", ""CON_VAL_MO"": ""178054098"", ""CTY_CODE"": ""5330"", ""CTY_NAME"": ""INDIA"", ""GEN_QY1_MO"": ""331696"", ""GEN_VAL_MO"": ""184852068"", ""I_COMMODITY"": ""8517620090"", ""I_COMMODITY_SDESC"": ""MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI"", ""MONTH"": ""04"", ""SUMMARY_LVL"": ""DET"", ""UNIT_QY1"": ""NO"", ""VES_VAL_MO"": ""6436331"", ""YEAR"": ""2026""}",2026-09-11
2026-04,I,8517620090,HS10,5350,PAKISTAN,DET,0,0,0,NO,0,0,MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI,"{""AIR_VAL_MO"": ""0"", ""COMM_LVL"": ""HS10"", ""CON_QY1_MO"": ""0"", ""CON_VAL_MO"": ""0"", ""CTY_CODE"": ""5350"", ""CTY_NAME"": ""PAKISTAN"", ""GEN_QY1_MO"": ""0"", ""GEN_VAL_MO"": ""0"", ""I_COMMODITY"": ""8517620090"", ""I_COMMODITY_SDESC"": ""MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI"", ""MONTH"": ""04"", ""SUMMARY_LVL"": ""DET"", ""UNIT_QY1"": ""NO"", ""VES_VAL_MO"": ""0"", ""YEAR"": ""2026""}",2026-09-11
2026-04,I,8517620090,HS10,5420,SRI LANKA,DET,2141,2141,30,NO,2141,0,MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI,"{""AIR_VAL_MO"": ""2141"", ""COMM_LVL"": ""HS10"", ""CON_QY1_MO"": ""30"", ""CON_VAL_MO"": ""2141"", ""CTY_CODE"": ""5420"", ""CTY_NAME"": ""SRI LANKA"", ""GEN_QY1_MO"": ""30"", ""GEN_VAL_MO"": ""2141"", ""I_COMMODITY"": ""8517620090"", ""I_COMMODITY_SDESC"": ""MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI"", ""MONTH"": ""04"", ""SUMMARY_LVL"": ""DET"", ""UNIT_QY1"": ""NO"", ""VES_VAL_MO"": ""0"", ""YEAR"": ""2026""}",2026-09-11
2026-04,I,8517620090,HS10,5460,BURMA,DET,24144,24144,22,NO,24144,0,MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI,"{""AIR_VAL_MO"": ""24144"", ""COMM_LVL"": ""HS10"", ""CON_QY1_MO"": ""22"", ""CON_VAL_MO"": ""24144"", ""CTY_CODE"": ""5460"", ""CTY_NAME"": ""BURMA"", ""GEN_QY1_MO"": ""22"", ""GEN_VAL_MO"": ""24144"", ""I_COMMODITY"": ""8517620090"", ""I_COMMODITY_SDESC"": ""MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI"", ""MONTH"": ""04"", ""SUMMARY_LVL"": ""DET"", ""UNIT_QY1"": ""NO"", ""VES_VAL_MO"": ""0"", ""YEAR"": ""2026""}",2026-09-11
2026-04,I,8517620090,HS10,5490,THAILAND,DET,2390947151,2418957968,5216351,NO,2351440878,14869138,MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI,"{""AIR_VAL_MO"": ""2351440878"", ""COMM_LVL"": ""HS10"", ""CON_QY1_MO"": ""5211625"", ""CON_VAL_MO"": ""2418957968"", ""CTY_CODE"": ""5490"", ""CTY_NAME"": ""THAILAND"", ""GEN_QY1_MO"": ""5216351"", ""GEN_VAL_MO"": ""2390947151"", ""I_COMMODITY"": ""8517620090"", ""I_COMMODITY_SDESC"": ""MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI"", ""MONTH"": ""04"", ""SUMMARY_LVL"": ""DET"", ""UNIT_QY1"": ""NO"", ""VES_VAL_MO"": ""14869138"", ""YEAR"": ""2026""}",2026-09-11
2026-04,I,8517620090,HS10,5520,VIETNAM,DET,1359845206,1451437023,7914699,NO,950088475,340294960,MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI,"{""AIR_VAL_MO"": ""950088475"", ""COMM_LVL"": ""HS10"", ""CON_QY1_MO"": ""8888210"", ""CON_VAL_MO"": ""1451437023"", ""CTY_CODE"": ""5520"", ""CTY_NAME"": ""VIETNAM"", ""GEN_QY1_MO"": ""7914699"", ""GEN_VAL_MO"": ""1359845206"", ""I_COMMODITY"": ""8517620090"", ""I_COMMODITY_SDESC"": ""MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI"", ""MONTH"": ""04"", ""SUMMARY_LVL"": ""DET"", ""UNIT_QY1"": ""NO"", ""VES_VAL_MO"": ""340294960"", ""YEAR"": ""2026""}",2026-09-11
2026-04,I,8517620090,HS10,5530,LAOS,DET,1985248,1985248,2168,NO,237386,1747862,MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI,"{""AIR_VAL_MO"": ""237386"", ""COMM_LVL"": ""HS10"", ""CON_QY1_MO"": ""2168"", ""CON_VAL_MO"": ""1985248"", ""CTY_CODE"": ""5530"", ""CTY_NAME"": ""LAOS"", ""GEN_QY1_MO"": ""2168"", ""GEN_VAL_MO"": ""1985248"", ""I_COMMODITY"": ""8517620090"", ""I_COMMODITY_SDESC"": ""MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI"", ""MONTH"": ""04"", ""SUMMARY_LVL"": ""DET"", ""UNIT_QY1"": ""NO"", ""VES_VAL_MO"": ""1747862"", ""YEAR"": ""2026""}",2026-09-11
2026-04,I,8517620090,HS10,5550,CAMBODIA,DET,880720,880720,159045,NO,869956,0,MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI,"{""AIR_VAL_MO"": ""869956"", ""COMM_LVL"": ""HS10"", ""CON_QY1_MO"": ""159045"", ""CON_VAL_MO"": ""880720"", ""CTY_CODE"": ""5550"", ""CTY_NAME"": ""CAMBODIA"", ""GEN_QY1_MO"": ""159045"", ""GEN_VAL_MO"": ""880720"", ""I_COMMODITY"": ""8517620090"", ""I_COMMODITY_SDESC"": ""MACH FOR RECP/CONVER ETC OF VOICE/IMAGE/DATA NESOI"", ""MONTH"": ""04"", ""SUMMARY_LVL"": ""DET"", ""UNIT_QY1"": ""NO"", ""VES_VAL_MO"": ""0"", ""YEAR"": ""2026""}",2026-09-11
