type,date,announce_date,payment_date,value,currency
"CashDividends","20260521","20260512","20260630","0.4168","GBP"
"CashDividends","20260219","20251118","20260331","0.4008","GBP"
"CashDividends","20251127","20251118","20251231","0.4008","GBP"
"CashDividends","20250821","20241008","20250930","0.4008","GBP"
"CashDividends","20250522","20241008","20250630","0.4008","GBP"
"CashDividends","20250220","20241008","20250331","0.5426","GBP"
"CashDividends","20241128","20241008","20241231","0.5426","GBP"
"CashDividends","20240822","20240515","20240930","0.2245","GBP"
"CashDividends","20240523","20240515","20240628","0.2245","GBP"
"CashDividends","20240215","20230516","20240328","0.5182","GBP"
"CashDividends","20231123","20230516","20231229","0.5182","GBP"
"CashDividends","20230817","20230516","20230929","0.2159","GBP"
"CashDividends","20230525","20230516","20230630","0.2159","GBP"
"CashDividends","20230216","20221115","20230331","0.4932","GBP"
"CashDividends","20221124","20221115","20221230","0.4931","GBP"
"CashDividends","20220818","20220517","20220930","0.2127","GBP"
"CashDividends","20220526","20220517","20220630","0.2127","GBP"
"CashDividends","20220217","20211116","20220331","0.4848","GBP"
"CashDividends","20211125","20211116","20211231","0.4848","GBP"
"CashDividends","20210819","20210518","20210930","0.2106","GBP"
