type,date,announce_date,payment_date,value,currency
"CashDividends","20260518","20260202","20260520","0.19","EUR"
"CashDividends","20251124","20251031","20251126","0.186","EUR"
"CashDividends","20250519","20250204","20250521","0.171","EUR"
"CashDividends","20241118","20241031","20241120","0.17","EUR"
"CashDividends","20240520","20240206","20240522","0.152","EUR"
"CashDividends","20231120","20221221","20231122","0.144","EUR"
"CashDividends","20230522","20221221","20230524","0.0901","EUR"
"CashDividends","20221121","20221104","20221123","0.0738","EUR"
"CashDividends","20220523","20220207","20220525","0.0789","EUR"
"CashDividends","20211122","20211004","20211124","0.0721","EUR"
"CashDividends","20211018","20211004","20211020","0.0996","EUR"
