type,date,announce_date,payment_date,value,currency
"CashDividends","20260811","20260716","20260827","1.1","USD"
"StockDividends","20260811","20260716","20260827","1.012",""
"CashDividends","20260513","20260423","20260529","1.0","USD"
"StockDividends","20260513","20260423","20260529","1.01",""
"CashDividends","20260210","20260122","20260227","1.0","USD"
"StockDividends","20260210","20260122","20260227","1.0085",""
"CashDividends","20251112","20251023","20251128","0.9","USD"
"StockDividends","20251112","20251023","20251128","1.0085",""
"CashDividends","20250815","20250724","20250904","0.8","USD"
"StockDividends","20250815","20250724","20250904","1.0101",""
"CashDividends","20250502","20250410","20250519","0.7","USD"
"StockDividends","20250502","20250410","20250519","1.0099",""
"CashDividends","20250211","20250123","20250227","0.7","USD"
"StockDividends","20250211","20250123","20250227","1.0073",""
"CashDividends","20241106","20241017","20241121","0.7","USD"
"StockDividends","20241106","20241017","20241121","1.0062",""
"CashDividends","20240809","20240718","20240826","0.6","USD"
"StockDividends","20240809","20240718","20240826","1.0056",""
"StockDividends","20240507","20240422","20240523","1.0104",""
"CashDividends","20240212","20240125","20240229","0.8","USD"
"CashDividends","20231107","20231019","20231122","1.0","USD"
"CashDividends","20230808","20230720","20230823","1.0","USD"
"CashDividends","20230508","20230420","20230523","1.0","USD"
"CashDividends","20230213","20230127","20230301","1.0","USD"
"CashDividends","20221108","20221021","20221123","0.5","USD"
"CashDividends","20220810","20220721","20220825","0.75","USD"
"CashDividends","20220516","20220428","20220531","1.25","USD"
"CashDividends","20220214","20220127","20220302","1.0","USD"
"CashDividends","20211109","20211021","20211123","1.0","USD"
