date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
2015-01-16,2015-01-05,2015-01-20,2015-01-27,Annual,11.961,11.961,CAD
2016-01-18,2016-01-05,2016-01-20,2016-01-27,Annual,14.541,14.541,CAD
2017-01-17,2017-01-04,2017-01-26,2017-01-26,Annual,13.175,13.175,CAD
2018-01-17,2018-01-03,2018-01-25,2018-01-25,Annual,12.435,12.435,CAD
2019-01-17,2019-01-03,2019-01-28,2019-01-28,Annual,13.255,13.255,CAD
2020-01-16,2020-01-16,2020-01-28,2020-01-28,Annual,13.042,13.042,CAD
2021-01-20,2021-01-05,2021-01-21,2021-01-28,Annual,12.73,12.73,CAD
2022-01-19,2022-01-06,2022-01-20,2022-01-27,Annual,12.507,12.507,CAD
2023-01-18,2023-01-04,2023-01-19,2023-01-26,Annual,13.388,13.388,CAD
2024-01-17,2024-01-03,2024-01-18,2024-01-25,Annual,20.237,20.237,CAD
2025-01-16,2025-01-03,2025-01-16,2025-01-23,Annual,21.504,21.504,CAD
2026-01-15,2026-01-05,2026-01-15,2026-01-22,Annual,20.817,20.817,CAD
