date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
2015-05-18,,,,,0.07,0.07,EUR
2016-05-23,,,,,0.14,0.14,EUR
2017-05-22,,,,,0.178,0.178,EUR
2018-05-21,,,,,0.08,0.08,EUR
2018-05-22,,,,,0.203,0.203,EUR
2019-05-20,,,,,0.197,0.197,EUR
2020-05-18,,,,,0.192,0.192,EUR
2021-05-24,,,,,0.0274,0.0274,EUR
2021-05-25,,,,,0.0357,0.0357,EUR
2021-10-18,,,,,0.0996,0.0996,EUR
2021-11-22,,,,,0.0721,0.0721,EUR
2022-05-23,,,,,0.0789,0.0789,EUR
2022-11-21,,,,,0.0738,0.0738,EUR
2023-05-22,,,,,0.0901,0.0901,EUR
2023-11-20,,,,,0.144,0.144,EUR
2024-05-20,,,,,0.152,0.152,EUR
2024-11-18,,,,,0.17,0.17,EUR
2025-05-19,,,,,0.171,0.171,EUR
2025-11-24,,,,,0.186,0.186,EUR
2026-05-18,,,,,0.19,0.19,EUR
