date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
2015-01-15,2014-11-04,2015-01-15,2015-02-17,Final,0.893,0.893,GBP
2015-05-28,2015-05-06,2015-05-28,2015-06-30,Quarterly,0.214,0.214,GBP
2015-08-27,2015-05-06,2015-08-27,2015-09-30,Quarterly,0.214,0.214,GBP
2015-11-19,2015-11-03,2015-11-19,2015-12-31,Quarterly,0.491,0.491,GBP
2016-02-04,2015-11-03,2016-02-04,2016-03-31,Quarterly,0.491,0.491,GBP
2016-05-19,2016-05-04,2016-05-19,2016-06-30,Quarterly,0.235,0.235,GBP
2016-08-18,2016-05-04,2016-08-18,2016-09-30,Quarterly,0.235,0.235,GBP
2016-11-17,2016-11-08,2016-11-17,2016-12-30,Quarterly,0.541,0.541,GBP
2017-02-16,2016-11-08,2017-02-16,2017-03-31,Quarterly,0.541,0.541,GBP
2017-05-18,2017-05-03,2017-05-18,2017-06-30,Quarterly,0.2585,0.2585,GBP
2017-08-17,2017-05-03,2017-08-17,2017-09-29,Quarterly,0.2585,0.2585,GBP
2017-11-16,2017-05-03,2017-11-16,2017-12-29,Quarterly,0.5951,0.5951,GBP
2018-02-22,2017-11-07,2018-02-22,2018-03-29,Quarterly,0.5951,0.5951,GBP
2018-05-24,2018-02-09,2018-05-24,2018-06-29,Quarterly,0.28435,0.28435,GBP
2018-08-23,2018-05-09,2018-08-23,2018-09-28,Quarterly,0.28435,0.28435,GBP
2018-11-22,2018-02-09,2018-11-22,2018-12-31,Quarterly,0.6546,0.6546,GBP
2019-02-21,2018-11-06,2019-02-21,2019-03-29,Quarterly,0.6546,0.6546,GBP
2019-05-23,2019-05-08,2019-05-23,2019-06-28,Quarterly,0.3128,0.3128,GBP
2019-08-22,2019-05-08,2019-08-22,2019-09-30,Quarterly,0.3128,0.3128,GBP
2019-11-21,2019-11-05,2019-11-21,2019-12-31,Quarterly,0.72,0.72,GBP
2020-05-28,2020-05-19,2020-05-28,2020-06-30,Quarterly,0.2085,0.2085,GBP
2020-08-20,2020-05-19,2020-08-20,2020-09-30,Quarterly,0.2085,0.2085,GBP
2020-11-26,2020-11-17,2020-11-26,2020-12-31,Quarterly,0.48,0.48,GBP
2021-02-18,2020-11-17,,2021-03-31,Quarterly,0.4801,0.4801,GBP
2021-05-27,2021-05-18,2021-05-27,2021-06-30,Quarterly,0.2106,0.2106,GBP
2021-08-19,2021-05-18,2021-08-19,2021-09-30,Quarterly,0.2106,0.2106,GBP
2021-11-25,2021-11-16,2021-11-25,2021-12-31,Quarterly,0.4848,0.4848,GBP
2022-02-17,2021-11-16,2022-02-17,2022-03-31,Quarterly,0.4848,0.4848,GBP
2022-05-26,2022-05-17,2022-05-26,2022-06-30,Quarterly,0.2127,0.2127,GBP
2022-08-18,2022-05-17,2022-08-18,2022-09-30,Quarterly,0.2127,0.2127,GBP
2022-11-24,2022-11-15,,2022-12-30,Quarterly,0.4931,0.4931,GBP
2023-02-16,2022-11-15,2023-02-16,2023-03-31,Quarterly,0.4932,0.4932,GBP
2023-05-25,2023-05-16,,2023-06-30,Quarterly,0.2159,0.2159,GBP
2023-08-17,2023-05-16,2023-08-17,2023-09-29,Quarterly,0.2159,0.2159,GBP
2023-11-23,2023-11-14,,2023-12-29,Quarterly,0.5182,0.5182,GBP
2024-02-15,2023-11-14,2024-02-15,2024-03-28,Quarterly,0.5182,0.5182,GBP
2024-05-23,2024-05-15,,2024-06-28,Quarterly,0.2245,0.2245,GBP
2024-08-22,2024-05-15,2024-08-22,2024-09-30,Quarterly,0.2245,0.2245,GBP
2024-11-28,2024-05-15,,2024-12-31,Quarterly,0.5426,0.5426,GBP
2025-02-20,2024-05-15,2025-02-20,2025-03-31,Quarterly,0.5426,0.5426,GBP
2025-05-22,2024-10-08,,2025-06-30,Quarterly,0.4008,0.4008,GBP
2025-08-21,2024-10-08,,2025-09-30,Quarterly,0.4008,0.4008,GBP
2025-11-27,2025-05-14,,2025-12-31,Quarterly,0.4008,0.4008,GBP
2026-02-19,2025-05-14,,2026-03-31,Quarterly,0.4008,0.4008,GBP
2026-05-21,2026-05-12,,2026-06-30,Quarterly,0.4168,0.4168,GBP
2026-05-28,,,2026-06-30,Quarterly,0.419,0.419,GBP
2026-08-20,2026-05-12,,2026-09-30,Quarterly,0.419,0.419,GBP
