date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
2015-04-23,,,2015-07-03,Final,0.04839,0.14101,GBP
2015-10-22,,,2016-01-06,Interim,0.03181,0.0927,GBP
2016-04-28,,,2016-07-04,Final,0.02437,0.07101,GBP
2016-10-20,2016-08-01,,2017-01-06,Interim,0.01579,0.04601,GBP
2017-04-27,2017-02-14,,2017-07-05,Final,0.071,0.2069,GBP
2017-10-26,2017-08-01,,2018-01-05,Interim,0.01579,0.04601,GBP
2018-04-26,2018-03-07,,2018-07-05,Final,0.02437,0.07101,GBP
2018-10-25,2018-08-02,,2019-01-07,Interim,0.01579,0.04601,GBP
2019-04-25,,,2019-07-04,Final,0.02437,0.07101,GBP
2019-10-24,2019-08-08,,2020-01-06,Interim,0.01579,0.04601,GBP
2025-04-17,2025-02-27,,2025-06-16,Final,0.06,0.06,GBP
2025-08-07,2025-07-31,,2025-09-18,Interim,0.045,0.045,GBP
2026-04-23,2026-02-26,,2026-06-03,Final,0.05,0.05,GBP
2026-08-06,2026-07-30,,2026-09-18,Interim,0.06,0.06,GBP
