date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
2015-02-12,2015-01-29,2015-02-17,2015-03-03,Quarterly,0.09252,0.09252,USD
2015-05-11,2015-04-23,2015-05-13,2015-05-27,Quarterly,0.09252,0.09252,USD
2015-08-11,2015-07-23,2015-08-13,2015-08-27,Quarterly,0.09252,0.09252,USD
2015-11-06,2015-10-22,2015-11-10,2015-11-24,Quarterly,0.03701,0.03701,USD
2016-02-11,2016-01-28,2016-02-16,2016-03-01,Quarterly,0.02776,0.02776,USD
2016-05-06,2016-04-21,2016-05-10,2016-05-24,Quarterly,0.04626,0.04626,USD
2016-08-09,2016-07-21,2016-08-11,2016-08-25,Quarterly,0.04626,0.04626,USD
2016-11-07,2016-10-20,2016-11-09,2016-11-29,Quarterly,0.04626,0.04626,USD
2017-02-10,2017-01-26,2017-02-14,2017-02-28,Quarterly,0.07402,0.07402,USD
2017-05-15,2017-05-10,2017-05-17,2017-05-31,Quarterly,0.11102,0.11102,USD
2017-08-07,2017-07-20,2017-08-09,2017-08-23,Quarterly,0.12953,0.12953,USD
2017-11-07,2017-10-19,2017-11-08,2017-11-22,Quarterly,0.2313,0.2313,USD
2018-02-12,2018-01-25,2018-02-13,2018-02-27,Quarterly,0.27756,0.27756,USD
2018-05-08,2018-04-19,2018-05-09,2018-05-23,Quarterly,0.27756,0.27756,USD
2018-08-07,2018-07-19,2018-08-08,2018-08-21,Quarterly,0.37008,0.37008,USD
2018-11-06,2018-10-18,2018-11-07,2018-11-21,Quarterly,0.37008,0.37008,USD
2019-02-08,2019-02-06,2019-02-11,2019-02-21,Other,0.41105,0.41105,USD
2019-02-11,2019-01-24,2019-02-12,2019-02-26,Quarterly,0.37008,0.37008,USD
2019-05-02,2019-04-11,2019-05-03,2019-05-17,Quarterly,0.37008,0.37008,USD
2019-08-07,2019-07-18,2019-08-08,2019-08-22,Quarterly,0.37008,0.37008,USD
2019-11-06,2019-10-17,2019-11-07,2019-11-21,Quarterly,0.37008,0.37008,USD
2020-03-09,2020-02-20,2020-03-10,2020-03-24,Quarterly,0.37008,0.37008,USD
2020-05-12,2020-04-23,2020-05-13,2020-05-26,Quarterly,0.18504,0.18504,USD
2020-08-11,2020-07-23,2020-08-12,2020-08-25,Quarterly,0.37008,0.37008,USD
2020-11-09,2020-10-22,2020-11-11,2020-11-24,Quarterly,0.4626,0.4626,USD
2021-02-09,2021-01-21,2021-02-10,2021-02-24,Quarterly,0.55512,0.55512,USD
2021-05-10,2021-04-22,2021-05-11,2021-05-25,Quarterly,0.64764,0.64764,USD
2021-08-11,2021-07-23,2021-08-12,2021-08-26,Quarterly,0.83268,0.83268,USD
2021-11-09,2021-10-21,2021-11-10,2021-11-23,Quarterly,0.9252,0.9252,USD
2022-02-14,2022-01-27,2022-02-15,2022-03-02,Quarterly,0.9252,0.9252,USD
2022-05-16,2022-04-28,2022-05-17,2022-05-31,Quarterly,1.1565,1.1565,USD
2022-08-10,2022-07-21,2022-08-11,2022-08-25,Quarterly,0.6939,0.6939,USD
2022-11-08,2022-10-20,2022-11-09,2022-11-23,Quarterly,0.4626,0.4626,USD
2023-02-13,2023-01-26,2023-02-14,2023-03-01,Quarterly,0.9252,0.9252,USD
2023-05-08,2023-04-20,2023-05-09,2023-05-23,Quarterly,0.9252,0.9252,USD
2023-08-08,2023-07-20,2023-08-09,2023-08-23,Quarterly,0.9252,0.9252,USD
2023-11-07,2023-10-19,2023-11-08,2023-11-22,Quarterly,0.9252,0.9252,USD
2024-02-12,2024-01-25,2024-02-13,2024-02-29,Quarterly,0.74016,0.74016,USD
2024-08-09,2024-07-18,2024-08-09,2024-08-26,Quarterly,0.55823,0.55823,USD
2024-11-06,2024-10-17,2024-11-06,2024-11-21,Quarterly,0.6553,0.6553,USD
2025-02-11,2025-01-23,2025-02-11,2025-02-27,Quarterly,0.66009,0.66009,USD
2025-05-02,2025-04-11,2025-05-02,2025-05-19,Quarterly,0.66662,0.66662,USD
2025-08-15,2025-07-24,2025-08-15,2025-09-04,Quarterly,0.76955,0.76955,USD
2025-11-12,2025-10-24,2025-11-12,2025-11-28,Quarterly,0.8731,0.8731,USD
2026-02-10,2026-01-22,2026-02-10,2026-02-27,Quarterly,0.97836,0.97836,USD
2026-05-13,2026-04-23,2026-05-13,2026-05-29,Quarterly,0.98814,0.98814,USD
2026-08-11,2026-07-16,2026-08-11,2026-08-27,Quarterly,1.1,1.1,USD
