date,value,currency,sources,note
2015-01-15,0.893,GBP,EODHD,
2015-05-28,0.214,GBP,EODHD,
2015-08-27,0.214,GBP,EODHD,
2015-11-19,0.491,GBP,EODHD,
2016-02-04,0.491,GBP,EODHD,
2016-05-19,0.235,GBP,EODHD,
2016-08-18,0.235,GBP,EODHD,
2016-11-17,0.541,GBP,EODHD,
2017-02-16,0.541,GBP,EODHD,
2017-05-18,0.2585,GBP,EODHD,
2017-08-17,0.2585,GBP,EODHD,
2017-11-16,0.5951,GBP,EODHD,
2018-02-22,0.5951,GBP,EODHD,
2018-05-24,0.28435,GBP,EODHD,
2018-08-23,0.28435,GBP,EODHD,
2018-11-22,0.6546,GBP,EODHD,
2019-02-21,0.6546,GBP,EODHD,
2019-05-23,0.3128,GBP,EODHD,
2019-08-22,0.3128,GBP,EODHD,
2019-11-21,0.72,GBP,EODHD,
2020-05-28,0.2085,GBP,EODHD,
2020-08-20,0.2085,GBP,EODHD,
2020-11-26,0.48,GBP,EODHD,
2021-02-18,0.4801,GBP,EODHD,
2021-05-27,0.2106,GBP,EODHD,
2021-08-19,0.2106,GBP,EODHD+IBKR,
2021-11-25,0.4848,GBP,EODHD+IBKR,
2022-02-17,0.4848,GBP,EODHD+IBKR,
2022-05-26,0.2127,GBP,EODHD+IBKR,
2022-08-18,0.2127,GBP,EODHD+IBKR,
2022-11-24,0.4931,GBP,EODHD+IBKR,
2023-02-16,0.4932,GBP,EODHD+IBKR,
2023-05-25,0.2159,GBP,EODHD+IBKR,
2023-08-17,0.2159,GBP,EODHD+IBKR,
2023-11-23,0.5182,GBP,EODHD+IBKR,
2024-02-15,0.5182,GBP,EODHD+IBKR,
2024-05-23,0.2245,GBP,EODHD+IBKR,
2024-08-22,0.2245,GBP,EODHD+IBKR,
2024-11-28,0.5426,GBP,EODHD+IBKR,
2025-02-20,0.5426,GBP,EODHD+IBKR,
2025-05-22,0.4008,GBP,EODHD+IBKR,
2025-08-21,0.4008,GBP,EODHD+IBKR,
2025-11-27,0.4008,GBP,EODHD+IBKR,
2026-02-19,0.4008,GBP,EODHD+IBKR,
2026-05-21,0.4168,GBP,EODHD+IBKR,
2026-08-20,0.4168,GBP,declared-RNS(2026-05-12),second 41.68p instalment; EODHD said 0.419
