date,value,currency,sources,note
2015-05-18,0.07,EUR,EODHD,
2016-05-23,0.14,EUR,EODHD,
2017-05-22,0.178,EUR,EODHD,
2018-05-21,0.08,EUR,EODHD,
2018-05-22,0.203,EUR,EODHD,
2019-05-20,0.197,EUR,EODHD,
2020-05-18,0.192,EUR,EODHD,
2021-05-24,0.0274,EUR,EODHD,
2021-05-25,0.0357,EUR,EODHD,
2021-10-18,0.0996,EUR,EODHD+IBKR,
2021-11-22,0.0721,EUR,EODHD+IBKR,
2022-05-23,0.0789,EUR,EODHD+IBKR,
2022-11-21,0.0738,EUR,EODHD+IBKR,
2023-05-22,0.0901,EUR,EODHD+IBKR,
2023-11-20,0.144,EUR,EODHD+IBKR,
2024-05-20,0.152,EUR,EODHD+IBKR,
2024-11-18,0.17,EUR,EODHD+IBKR,
2025-05-19,0.171,EUR,EODHD+IBKR,
2025-11-24,0.186,EUR,EODHD+IBKR,
2026-05-18,0.19,EUR,EODHD+IBKR,
