date,value,currency,sources,note
2015-02-12,0.1,USD,EODHD x stock-factor-K,EODHD 0.09252 x K=1.08085
2015-05-11,0.1,USD,EODHD x stock-factor-K,EODHD 0.09252 x K=1.08085
2015-08-11,0.1,USD,EODHD x stock-factor-K,EODHD 0.09252 x K=1.08085
2015-11-06,0.04,USD,EODHD x stock-factor-K,EODHD 0.03701 x K=1.08085
2016-02-11,0.03,USD,EODHD x stock-factor-K,EODHD 0.02776 x K=1.08085
2016-05-06,0.05,USD,EODHD x stock-factor-K,EODHD 0.04626 x K=1.08085
2016-08-09,0.05,USD,EODHD x stock-factor-K,EODHD 0.04626 x K=1.08085
2016-11-07,0.05,USD,EODHD x stock-factor-K,EODHD 0.04626 x K=1.08085
2017-02-10,0.08,USD,EODHD x stock-factor-K,EODHD 0.07402 x K=1.08085
2017-05-15,0.12,USD,EODHD x stock-factor-K,EODHD 0.11102 x K=1.08085
2017-08-07,0.14,USD,EODHD x stock-factor-K,EODHD 0.12953 x K=1.08085
2017-11-07,0.25,USD,EODHD x stock-factor-K,EODHD 0.2313 x K=1.08085
2018-02-12,0.3,USD,EODHD x stock-factor-K,EODHD 0.27756 x K=1.08085
2018-05-08,0.3,USD,EODHD x stock-factor-K,EODHD 0.27756 x K=1.08085
2018-08-07,0.4,USD,EODHD x stock-factor-K,EODHD 0.37008 x K=1.08085
2018-11-06,0.4,USD,EODHD x stock-factor-K,EODHD 0.37008 x K=1.08085
2019-02-08,0.44428,USD,EODHD x stock-factor-K,EODHD 0.41105 x K=1.08085
2019-02-11,0.4,USD,EODHD x stock-factor-K,EODHD 0.37008 x K=1.08085
2019-05-02,0.4,USD,EODHD x stock-factor-K,EODHD 0.37008 x K=1.08085
2019-08-07,0.4,USD,EODHD x stock-factor-K,EODHD 0.37008 x K=1.08085
2019-11-06,0.4,USD,EODHD x stock-factor-K,EODHD 0.37008 x K=1.08085
2020-03-09,0.4,USD,EODHD x stock-factor-K,EODHD 0.37008 x K=1.08085
2020-05-12,0.2,USD,EODHD x stock-factor-K,EODHD 0.18504 x K=1.08085
2020-08-11,0.4,USD,EODHD x stock-factor-K,EODHD 0.37008 x K=1.08085
2020-11-09,0.5,USD,EODHD x stock-factor-K,EODHD 0.4626 x K=1.08085
2021-02-09,0.6,USD,EODHD x stock-factor-K,EODHD 0.55512 x K=1.08085
2021-05-10,0.7,USD,EODHD x stock-factor-K,EODHD 0.64764 x K=1.08085
2021-08-11,0.9,USD,EODHD x stock-factor-K,EODHD 0.83268 x K=1.08085
2021-11-09,1.0,USD,IBKR-declared,EODHD restated value 0.9252
2022-02-14,1.0,USD,IBKR-declared,EODHD restated value 0.9252
2022-05-16,1.25,USD,IBKR-declared,EODHD restated value 1.1565
2022-08-10,0.75,USD,IBKR-declared,EODHD restated value 0.6939
2022-11-08,0.5,USD,IBKR-declared,EODHD restated value 0.4626
2023-02-13,1.0,USD,IBKR-declared,EODHD restated value 0.9252
2023-05-08,1.0,USD,IBKR-declared,EODHD restated value 0.9252
2023-08-08,1.0,USD,IBKR-declared,EODHD restated value 0.9252
2023-11-07,1.0,USD,IBKR-declared,EODHD restated value 0.9252
2024-02-12,0.8,USD,IBKR-declared,EODHD restated value 0.74016
2024-08-09,0.6,USD,IBKR-declared,EODHD restated value 0.55823
2024-11-06,0.7,USD,IBKR-declared,EODHD restated value 0.6553
2025-02-11,0.7,USD,IBKR-declared,EODHD restated value 0.66009
2025-05-02,0.7,USD,IBKR-declared,EODHD restated value 0.66662
2025-08-15,0.8,USD,IBKR-declared,EODHD restated value 0.76955
2025-11-12,0.9,USD,IBKR-declared,EODHD restated value 0.8731
2026-02-10,1.0,USD,IBKR-declared,EODHD restated value 0.97836
2026-05-13,1.0,USD,IBKR-declared,EODHD restated value 0.98814
2026-08-11,1.1,USD,IBKR-declared,EODHD restated value 1.1
