name,date,new,old,note
SCCO.US,2024-05-07,1.0104,1.0,"IBKR StockDividends ratio, pay 20240523"
SCCO.US,2024-08-09,1.0056,1.0,"IBKR StockDividends ratio, pay 20240826"
SCCO.US,2024-11-06,1.0062,1.0,"IBKR StockDividends ratio, pay 20241121"
SCCO.US,2025-02-11,1.0073,1.0,"IBKR StockDividends ratio, pay 20250227"
SCCO.US,2025-05-02,1.0099,1.0,"IBKR StockDividends ratio, pay 20250519"
SCCO.US,2025-08-15,1.0101,1.0,"IBKR StockDividends ratio, pay 20250904"
SCCO.US,2025-11-12,1.0085,1.0,"IBKR StockDividends ratio, pay 20251128"
SCCO.US,2026-02-10,1.0085,1.0,"IBKR StockDividends ratio, pay 20260227"
SCCO.US,2026-05-13,1.01,1.0,"IBKR StockDividends ratio, pay 20260529"
SCCO.US,2026-08-11,1.012,1.0,"IBKR StockDividends ratio, pay 20260827"
