Date,Open,High,Low,Close,Adjusted_close,Volume
2015-01-01,0.8603,0.8612,0.8601,0.8609,0.8609,0
2015-01-02,0.861,0.8621,0.8483,0.8486,0.8486,0
2015-01-05,0.8488,0.8516,0.8458,0.8501,0.8501,0
2015-01-06,0.8501,0.8524,0.8444,0.8449,0.8449,0
2015-01-07,0.8447,0.8465,0.842,0.8464,0.8464,0
2015-01-08,0.8462,0.8477,0.8441,0.8453,0.8453,0
2015-01-09,0.8452,0.847,0.8408,0.8426,0.8426,0
2015-01-12,0.8428,0.8448,0.8349,0.8352,0.8352,0
2015-01-13,0.8349,0.8385,0.8335,0.8364,0.8364,0
2015-01-14,0.8361,0.8383,0.8319,0.8368,0.8368,0
2015-01-15,0.8366,0.8472,0.8333,0.8362,0.8362,0
2015-01-16,0.8359,0.8368,0.8299,0.8344,0.8344,0
2015-01-19,0.8348,0.8379,0.8341,0.8376,0.8376,0
2015-01-20,0.837,0.8378,0.8252,0.8255,0.8255,0
2015-01-21,0.8255,0.8289,0.8066,0.8103,0.8103,0
2015-01-22,0.8102,0.812,0.805,0.8077,0.8077,0
2015-01-23,0.8077,0.8091,0.8026,0.8052,0.8052,0
2015-01-26,0.8034,0.8062,0.8004,0.8016,0.8016,0
2015-01-27,0.8014,0.8078,0.7998,0.8066,0.8066,0
2015-01-28,0.8064,0.8073,0.7974,0.7976,0.7976,0
2015-01-29,0.7976,0.7993,0.7886,0.7926,0.7926,0
2015-01-30,0.7926,0.7933,0.7811,0.7855,0.7855,0
2015-02-02,0.7852,0.7964,0.7827,0.796,0.796,0
2015-02-03,0.7957,0.8095,0.7906,0.8054,0.8054,0
2015-02-04,0.8054,0.8071,0.794,0.7953,0.7953,0
2015-02-05,0.7952,0.8068,0.7943,0.8042,0.8042,0
2015-02-06,0.8041,0.8053,0.7968,0.7984,0.7984,0
2015-02-09,0.7972,0.8046,0.7969,0.8022,0.8022,0
2015-02-10,0.802,0.8031,0.792,0.7944,0.7944,0
2015-02-11,0.7944,0.7954,0.7874,0.7916,0.7916,0
2015-02-12,0.7915,0.8039,0.7906,0.7996,0.7996,0
2015-02-13,0.7994,0.805,0.7974,0.8033,0.8033,0
2015-02-16,0.8031,0.805,0.8004,0.8022,0.8022,0
2015-02-17,0.8021,0.8089,0.8012,0.807,0.807,0
2015-02-18,0.8068,0.8078,0.8019,0.8029,0.8029,0
2015-02-19,0.8028,0.8042,0.7969,0.8002,0.8002,0
2015-02-20,0.8001,0.805,0.7957,0.7982,0.7982,0
2015-02-23,0.798,0.7985,0.792,0.7956,0.7956,0
2015-02-24,0.7952,0.8013,0.7895,0.8011,0.8011,0
2015-02-25,0.8008,0.8063,0.7999,0.8041,0.8041,0
2015-02-26,0.8041,0.8073,0.7976,0.7991,0.7991,0
2015-02-27,0.7989,0.8032,0.7979,0.7995,0.7995,0
2015-03-02,0.8009,0.8015,0.7957,0.7978,0.7978,0
2015-03-03,0.7976,0.8042,0.797,0.8003,0.8003,0
2015-03-04,0.8002,0.8059,0.7973,0.8046,0.8046,0
2015-03-05,0.8046,0.8059,0.7986,0.8009,0.8009,0
2015-03-06,0.8008,0.8028,0.7918,0.7923,0.7923,0
2015-03-09,0.7921,0.7953,0.7918,0.7935,0.7935,0
2015-03-10,0.7933,0.7937,0.7879,0.7881,0.7881,0
2015-03-11,0.788,0.7896,0.7812,0.7842,0.7842,0
2015-03-12,0.7842,0.7924,0.783,0.7883,0.7883,0
2015-03-13,0.7881,0.7884,0.7796,0.7823,0.7823,0
2015-03-16,0.7816,0.7852,0.78,0.7829,0.7829,0
2015-03-17,0.7828,0.7843,0.7812,0.782,0.782,0
2015-03-18,0.7816,0.8015,0.7791,0.7958,0.7958,0
2015-03-19,0.7959,0.7994,0.7836,0.7862,0.7862,0
2015-03-20,0.7862,0.7969,0.7858,0.7967,0.7967,0
2015-03-23,0.7962,0.8002,0.7925,0.7985,0.7985,0
2015-03-24,0.7985,0.8046,0.7968,0.8004,0.8004,0
2015-03-25,0.8002,0.8016,0.7973,0.799,0.799,0
2015-03-26,0.7987,0.8058,0.7977,0.8011,0.8011,0
2015-03-27,0.8012,0.8021,0.792,0.7931,0.7931,0
2015-03-30,0.7928,0.7938,0.7868,0.789,0.789,0
2015-03-31,0.7888,0.7904,0.782,0.7882,0.7882,0
2015-04-01,0.7883,0.7952,0.7865,0.7924,0.7924,0
2015-04-02,0.7924,0.7964,0.79,0.7964,0.7964,0
2015-04-03,0.7962,0.8045,0.795,0.8011,0.8011,0
2015-04-06,0.8028,0.8041,0.7994,0.8014,0.8014,0
2015-04-07,0.801,0.8029,0.7984,0.7997,0.7997,0
2015-04-08,0.7996,0.8072,0.7961,0.7973,0.7973,0
2015-04-09,0.7971,0.7995,0.7926,0.7949,0.7949,0
2015-04-10,0.7949,0.7957,0.7893,0.7956,0.7956,0
2015-04-13,0.795,0.7962,0.7905,0.794,0.794,0
2015-04-14,0.7936,0.8035,0.7932,0.8009,0.8009,0
2015-04-15,0.8008,0.8142,0.7954,0.8138,0.8138,0
2015-04-16,0.8134,0.8235,0.811,0.8206,0.8206,0
2015-04-17,0.8205,0.8273,0.8147,0.8163,0.8163,0
2015-04-20,0.8179,0.821,0.8155,0.818,0.818,0
2015-04-21,0.818,0.8187,0.8124,0.8143,0.8143,0
2015-04-22,0.8141,0.8189,0.8136,0.8172,0.8172,0
2015-04-23,0.8171,0.8251,0.8149,0.8235,0.8235,0
2015-04-24,0.8235,0.8262,0.8203,0.8211,0.8211,0
2015-04-27,0.8206,0.8277,0.8197,0.8274,0.8274,0
2015-04-28,0.8271,0.8323,0.825,0.8309,0.8309,0
2015-04-29,0.8308,0.8371,0.828,0.832,0.832,0
2015-04-30,0.8318,0.8335,0.8241,0.8281,0.8281,0
2015-05-01,0.8279,0.829,0.8191,0.8224,0.8224,0
2015-05-04,0.8224,0.8273,0.8207,0.8268,0.8268,0
2015-05-05,0.8267,0.8331,0.824,0.8288,0.8288,0
2015-05-06,0.8286,0.8374,0.8271,0.8301,0.8301,0
2015-05-07,0.8299,0.8311,0.822,0.8245,0.8245,0
2015-05-08,0.8242,0.8302,0.823,0.8284,0.8284,0
2015-05-11,0.8277,0.8288,0.8232,0.8263,0.8263,0
2015-05-12,0.8262,0.8349,0.8257,0.8323,0.8323,0
2015-05-13,0.832,0.8382,0.831,0.8364,0.8364,0
2015-05-14,0.8361,0.8389,0.8326,0.8345,0.8345,0
2015-05-15,0.8344,0.8347,0.8284,0.8325,0.8325,0
2015-05-18,0.8323,0.8328,0.8214,0.8224,0.8224,0
2015-05-19,0.8222,0.8243,0.8161,0.8175,0.8175,0
2015-05-20,0.8173,0.8218,0.8156,0.8192,0.8192,0
2015-05-21,0.8189,0.8216,0.8166,0.8198,0.8198,0
2015-05-22,0.8199,0.8216,0.8114,0.8144,0.8144,0
2015-05-25,0.8139,0.8145,0.8116,0.8123,0.8123,0
2015-05-26,0.8116,0.8127,0.8031,0.8043,0.8043,0
2015-05-27,0.8041,0.8068,0.8003,0.8031,0.8031,0
2015-05-28,0.8031,0.8051,0.7973,0.8042,0.8042,0
2015-05-29,0.8041,0.8058,0.798,0.8034,0.8034,0
2015-06-01,0.8037,0.8039,0.7957,0.7986,0.7986,0
2015-06-02,0.7986,0.8086,0.7975,0.8064,0.8064,0
2015-06-03,0.8063,0.8075,0.7992,0.8031,0.8031,0
2015-06-04,0.8028,0.8042,0.7996,0.7998,0.7998,0
2015-06-05,0.7998,0.8046,0.7959,0.8039,0.8039,0
2015-06-08,0.8036,0.8076,0.8015,0.8058,0.8058,0
2015-06-09,0.8057,0.8125,0.8035,0.8105,0.8105,0
2015-06-10,0.8103,0.8195,0.8094,0.816,0.816,0
2015-06-11,0.816,0.8161,0.8093,0.8136,0.8136,0
2015-06-12,0.8136,0.8145,0.8096,0.8115,0.8115,0
2015-06-15,0.8116,0.8132,0.8088,0.8113,0.8113,0
2015-06-16,0.811,0.8141,0.8097,0.8134,0.8134,0
2015-06-17,0.8134,0.8183,0.8106,0.8179,0.8179,0
2015-06-18,0.8175,0.8245,0.8161,0.8182,0.8182,0
2015-06-19,0.8181,0.8187,0.8131,0.8153,0.8153,0
2015-06-22,0.8149,0.8184,0.8108,0.8124,0.8124,0
2015-06-23,0.8124,0.8125,0.8074,0.8113,0.8113,0
2015-06-24,0.811,0.8145,0.8048,0.8078,0.8078,0
2015-06-25,0.8074,0.8122,0.8063,0.8111,0.8111,0
2015-06-26,0.811,0.8121,0.8064,0.8119,0.8119,0
2015-06-29,0.8102,0.8126,0.8054,0.8064,0.8064,0
2015-06-30,0.8062,0.8089,0.7997,0.8005,0.8005,0
2015-07-01,0.8003,0.8015,0.7936,0.7944,0.7944,0
2015-07-02,0.7941,0.7976,0.7913,0.7976,0.7976,0
2015-07-03,0.7974,0.7976,0.7933,0.7953,0.7953,0
2015-07-06,0.7953,0.7959,0.7895,0.7904,0.7904,0
2015-07-07,0.7904,0.7908,0.7823,0.7872,0.7872,0
2015-07-08,0.7869,0.7881,0.783,0.7847,0.7847,0
2015-07-09,0.7843,0.7895,0.7841,0.7872,0.7872,0
2015-07-10,0.7868,0.7901,0.7838,0.79,0.79,0
2015-07-13,0.7889,0.7891,0.7816,0.7849,0.7849,0
2015-07-14,0.7848,0.7862,0.7806,0.7859,0.7859,0
2015-07-15,0.7855,0.786,0.7715,0.7743,0.7743,0
2015-07-16,0.7744,0.7749,0.7708,0.772,0.772,0
2015-07-17,0.7718,0.7723,0.7686,0.7709,0.7709,0
2015-07-20,0.7707,0.772,0.7676,0.7695,0.7695,0
2015-07-21,0.7695,0.7741,0.7682,0.7724,0.7724,0
2015-07-22,0.7723,0.773,0.7659,0.7673,0.7673,0
2015-07-23,0.767,0.7721,0.7662,0.7672,0.7672,0
2015-07-24,0.767,0.7682,0.763,0.7664,0.7664,0
2015-07-27,0.7669,0.7704,0.7661,0.7671,0.7671,0
2015-07-28,0.7668,0.7745,0.7665,0.774,0.774,0
2015-07-29,0.7739,0.7774,0.7709,0.7725,0.7725,0
2015-07-30,0.7723,0.7726,0.7665,0.7695,0.7695,0
2015-07-31,0.7693,0.7726,0.7636,0.7641,0.7641,0
2015-08-03,0.7634,0.7644,0.7587,0.7603,0.7603,0
2015-08-04,0.7601,0.763,0.7573,0.758,0.758,0
2015-08-05,0.7579,0.7627,0.7566,0.7587,0.7587,0
2015-08-06,0.7588,0.7637,0.7575,0.7629,0.7629,0
2015-08-07,0.7627,0.7662,0.7583,0.7617,0.7617,0
2015-08-10,0.7614,0.7696,0.7584,0.7692,0.7692,0
2015-08-11,0.7691,0.7695,0.7603,0.7627,0.7627,0
2015-08-12,0.7624,0.7721,0.7598,0.7706,0.7706,0
2015-08-13,0.7707,0.7717,0.7637,0.7659,0.7659,0
2015-08-14,0.7656,0.7683,0.7633,0.764,0.764,0
2015-08-17,0.7637,0.7657,0.7601,0.7646,0.7646,0
2015-08-18,0.7645,0.7668,0.7616,0.7658,0.7658,0
2015-08-19,0.7657,0.7678,0.7587,0.7617,0.7617,0
2015-08-20,0.7617,0.7657,0.7587,0.764,0.764,0
2015-08-21,0.7639,0.7656,0.758,0.7584,0.7584,0
2015-08-24,0.7583,0.7598,0.7523,0.7526,0.7526,0
2015-08-25,0.7526,0.7605,0.7487,0.7498,0.7498,0
