Date,Open,High,Low,Close,Adjusted_close,Volume
2026-08-03,45.49,46.098,45.49,46.07,46.07,172300
2026-08-04,46.45,47,46.45,46.95,46.95,274500
2026-08-05,47.23,47.77,47.06,47.06,47.06,146300
2026-08-06,46.86,47.36,46.68,46.83,46.83,180800
2026-08-07,47.01,47.44,46.92,46.97,46.97,162600
2026-08-10,46.92,47.587,46.92,47.37,47.37,152600
2026-08-11,47.51,47.62,47.07,47.13,47.13,84100
2026-08-12,47.55,47.98,47.52,47.75,47.75,111600
2026-08-13,47.59,47.907,47.19,47.23,47.23,242900
2026-08-14,47.86,48.15,47.61,47.89,47.89,116700
