Date,Open,High,Low,Close,Adjusted_close,Volume
2015-01-02,610,610,595.93,595.93,477.5428,26149
2015-01-05,594.9,604.91,591.5,604.91,484.7389,42025
2015-01-06,602.89,606.1,595.3,604.09,484.0818,27711
2015-01-07,606.99,606.99,602,603,483.2083,16687
2015-01-08,604,606.32,594.03,597.95,479.1615,27489
2015-01-09,599,603.01,599,603.01,483.2163,16381
2015-01-12,604.49,604.5,592.01,598.5,479.6023,33363
2015-01-13,598.12,603.84,597.08,602.98,483.1923,22335
2015-01-14,600,617.85,600,617.85,495.1082,29965
2015-01-15,621.96,621.97,609.99,618.53,495.6531,56468
2015-01-16,608.24,608.96,600.01,605.7,494.943,88723
2015-01-19,605,610,605,607.7,496.5773,5723
2015-01-20,610,613,600.02,607.73,496.6018,40292
2015-01-21,606,622,604.005,622,508.2625,26493
2015-01-22,622,644.97,618.22,643.15,525.545,39984
2015-01-23,639.24,657,634.44,656.96,536.8297,31240
2015-01-26,655,655,645,651.53,532.3927,19253
2015-01-27,646.78,669,646.25,664.09,542.656,33868
2015-01-28,672.32,687,668.68,671.2,548.4659,36804
2015-01-29,665,676.505,658,668.41,546.186,27382
2015-01-30,668.41,678.65,668.41,675,551.571,32663
2015-02-02,675,676,657.4,659.98,539.2975,41594
2015-02-03,660.9,662,645.53,656,536.0453,40282
2015-02-04,654,658.765,644,645.25,527.261,39910
2015-02-05,649.6,667,649.6,666.54,544.658,36033
2015-02-06,666,667.87,646.89,650.01,531.1506,23972
2015-02-09,653,661,644.63,644.63,526.7544,23692
2015-02-10,648.78,652.385,645.735,647.9,529.4264,14262
2015-02-11,646.2,655,646,653.86,534.2966,7413
2015-02-12,656.57,656.57,635,635,518.8853,28516
2015-02-13,639.66,645,639.66,642,524.6053,26925
2015-02-17,648.51,693.16,648.51,691.88,565.3644,45905
2015-02-18,691.65,697.56,678,690.25,564.0324,30161
2015-02-19,694.99,697.04,683.75,690,563.8281,18897
2015-02-20,653.02,663,650.625,659.1,538.5784,85458
2015-02-23,657,662,657,662,540.9481,62844
2015-02-24,660.08,663.5,650.5,650.5,531.551,40138
2015-02-25,653,659.35,650,652,532.7767,31150
2015-02-26,654,655,647.97,647.97,529.4836,30475
2015-02-27,650.12,657.58,649,656,536.0453,42306
2015-03-02,656.5,657,649.88,652,532.7767,42586
2015-03-03,652,664,651.61,661.07,540.1882,61424
2015-03-04,661.3,663.4,657.1,662.5,541.3567,41856
2015-03-05,662.5,664,659,661,540.131,14638
2015-03-06,657.02,665.2,657,665.2,543.563,25500
2015-03-09,669.95,670,663.26,669.91,547.4117,34179
2015-03-10,670,695.48,670,693.72,566.8679,54525
2015-03-11,690.12,708.49,690.01,707.76,578.3406,40230
2015-03-12,705,709,684.73,684.73,559.5218,43777
2015-03-13,682.04,690.02,672,686.47,560.9436,41381
2015-03-16,694.93,708,685.32,698.27,570.5859,45512
2015-03-17,698.51,717,698.51,714.86,584.1423,33984
2015-03-18,710.62,719.32,706.99,715,584.2567,48528
2015-03-19,713.5,720.39,704,708.53,578.9698,38421
2015-03-20,690,709.17,690,702.92,574.3856,85677
2015-03-23,706,718.87,706,711.78,581.6255,23292
2015-03-24,712,718.98,712,718.9,587.4435,16313
2015-03-25,718.81,729.84,716.92,723,590.7938,31600
2015-03-26,723.07,737,714.35,733.91,599.7088,38092
2015-03-27,732.98,739,720,727,594.0624,23440
2015-03-30,729.98,729.98,721.66,721.66,589.6988,30906
2015-03-31,723,723,707.2,710,580.171,41839
2015-04-01,710.11,720.5,705.75,709,579.3538,24051
2015-04-02,710.98,710.98,697.02,704.63,575.7829,21960
2015-04-06,703.98,717.5,696,698.5,570.7738,40294
2015-04-07,698.61,712,698,701.98,573.6175,32613
2015-04-08,701.99,708,701,705.17,576.2242,27825
2015-04-09,707.01,708.24,696,700.37,572.3019,27686
2015-04-10,701.37,702.12,694.22,694.51,567.5134,18557
