Date,Open,High,Low,Close,Adjusted_close,Volume
2015-01-01,1.5581,1.5581,1.5581,1.5581,1.5581,20
2015-01-02,1.558,1.5585,1.5388,1.558,1.558,1284
2015-01-04,1.5299,1.5318,1.5154,1.5248,1.5248,20386
2015-01-05,1.5286,1.532,1.5206,1.5285,1.5285,763
2015-01-06,1.5258,1.5274,1.5158,1.5258,1.5258,778
2015-01-07,1.5136,1.5156,1.5068,1.5138,1.5138,601
2015-01-08,1.5107,1.5119,1.5036,1.5108,1.5108,567
2015-01-09,1.5087,1.517,1.5085,1.5088,1.5088,579
2015-01-11,1.5172,1.5192,1.5098,1.5168,1.5168,15896
2015-01-12,1.5192,1.5192,1.5103,1.519,1.519,607
2015-01-13,1.5174,1.5192,1.508,1.517,1.517,757
2015-01-14,1.5169,1.5266,1.5147,1.517,1.517,800
2015-01-15,1.5234,1.5266,1.5172,1.5234,1.5234,635
2015-01-16,1.5184,1.5234,1.5093,1.5181,1.5181,948
2015-01-18,1.5122,1.5178,1.5106,1.5108,1.5108,19533
2015-01-19,1.5144,1.518,1.512,1.5142,1.5142,415
2015-01-20,1.5092,1.5199,1.5061,1.509,1.509,931
2015-01-21,1.5146,1.518,1.5086,1.5147,1.5147,633
2015-01-22,1.5147,1.5214,1.5071,1.5145,1.5145,959
2015-01-23,1.5006,1.5026,1.4955,1.5013,1.5013,495
2015-01-25,1.5008,1.5102,1.4985,1.5077,1.5077,35096
2015-01-26,1.5002,1.5071,1.4993,1.4996,1.4996,534
2015-01-27,1.5087,1.5222,1.5065,1.5086,1.5086,1052
2015-01-28,1.5189,1.5219,1.5157,1.5188,1.5188,431
2015-01-29,1.514,1.5161,1.5084,1.5142,1.5142,531
2015-01-30,1.508,1.5095,1.4995,1.5079,1.5079,682
2015-02-01,1.5088,1.5093,1.5005,1.5036,1.5036,25797
2015-02-02,1.5084,1.5089,1.5008,1.5087,1.5087,555
2015-02-03,1.5028,1.5117,1.4992,1.5028,1.5028,848
2015-02-04,1.5144,1.525,1.5142,1.5142,1.5142,726
2015-02-05,1.5179,1.5312,1.5172,1.518,1.518,934
2015-02-06,1.5321,1.5352,1.5241,1.5326,1.5326,741
2015-02-08,1.5222,1.5267,1.5199,1.521,1.521,18776
2015-02-09,1.524,1.5266,1.5206,1.5239,1.5239,416
2015-02-10,1.5216,1.5254,1.5202,1.5216,1.5216,362
2015-02-11,1.526,1.53,1.5234,1.5262,1.5262,452
2015-02-12,1.524,1.5388,1.5218,1.5243,1.5243,1121
2015-02-13,1.5391,1.5422,1.5373,1.5392,1.5392,338
2015-02-15,1.5421,1.5439,1.5338,1.5358,1.5358,31965
2015-02-16,1.5403,1.5443,1.537,1.5401,1.5401,493
2015-02-17,1.5357,1.5401,1.5319,1.5356,1.5356,556
2015-02-18,1.5352,1.5451,1.5344,1.5353,1.5353,711
2015-02-19,1.5435,1.5467,1.5408,1.5439,1.5439,403
2015-02-20,1.5423,1.5435,1.5347,1.542,1.542,589
2015-02-22,1.539,1.5474,1.5332,1.5455,1.5455,15183
2015-02-23,1.5387,1.5451,1.5334,1.5389,1.5389,780
2015-02-24,1.5453,1.5466,1.5407,1.5452,1.5452,398
2015-02-25,1.5456,1.5538,1.5456,1.5459,1.5459,550
2015-02-26,1.5528,1.5554,1.5399,1.5529,1.5529,1015
2015-02-27,1.5418,1.5456,1.5387,1.5418,1.5418,467
2015-03-01,1.5414,1.5428,1.5351,1.5362,1.5362,14372
2015-03-02,1.5406,1.5422,1.5354,1.5406,1.5406,458
2015-03-03,1.5361,1.5398,1.5346,1.5359,1.5359,357
2015-03-04,1.5368,1.5373,1.5263,1.5367,1.5367,732
2015-03-05,1.5265,1.5268,1.5225,1.5265,1.5265,304
2015-03-06,1.5248,1.5253,1.506,1.5248,1.5248,1286
2015-03-08,1.5031,1.5137,1.5024,1.5126,1.5126,29167
2015-03-09,1.5058,1.5126,1.5052,1.5058,1.5058,510
2015-03-10,1.5109,1.5109,1.5038,1.5105,1.5105,491
2015-03-11,1.5076,1.5097,1.4935,1.5082,1.5082,1090
2015-03-12,1.4936,1.5029,1.4896,1.4933,1.4933,900
2015-03-13,1.4893,1.4894,1.4715,1.4894,1.4894,1225
2015-03-15,1.4736,1.4853,1.4728,1.4825,1.4825,40162
2015-03-16,1.4755,1.4819,1.475,1.4756,1.4756,484
2015-03-17,1.4825,1.4845,1.473,1.4826,1.4826,796
2015-03-18,1.4751,1.477,1.4637,1.4752,1.4752,923
2015-03-19,1.496,1.501,1.4732,1.4962,1.4962,1873
2015-03-20,1.4764,1.4923,1.4725,1.4762,1.4762,1344
2015-03-22,1.4967,1.4988,1.4838,1.495,1.495,81015
2015-03-23,1.4945,1.4959,1.4842,1.4943,1.4943,800
2015-03-24,1.4956,1.4984,1.4857,1.4952,1.4952,866
2015-03-25,1.4836,1.4954,1.4834,1.4834,1.4834,825
2015-03-26,1.4877,1.4993,1.4815,1.4877,1.4877,1205
2015-03-27,1.4857,1.4923,1.48,1.4858,1.4858,848
2015-03-29,1.4885,1.4886,1.4762,1.4886,1.4886,0
2015-03-30,1.4885,1.4886,1.4762,1.4886,1.4886,849
2015-03-31,1.481,1.4868,1.4758,1.4809,1.4809,757
2015-04-01,1.4834,1.4873,1.4747,1.483,1.483,866
2015-04-02,1.4835,1.487,1.4782,1.4837,1.4837,613
2015-04-03,1.483,1.4946,1.4813,1.4831,1.4831,911
2015-04-05,1.4923,1.4982,1.4903,1.4931,1.4931,0
2015-04-06,1.4923,1.4982,1.4903,1.4931,1.4931,545
2015-04-07,1.489,1.4919,1.4832,1.4891,1.4891,601
2015-04-08,1.4822,1.497,1.4822,1.4824,1.4824,1008
2015-04-09,1.4877,1.4886,1.473,1.4879,1.4879,1069
2015-04-10,1.4717,1.4726,1.459,1.4715,1.4715,943
2015-04-12,1.4641,1.4674,1.4574,1.4641,1.4641,0
2015-04-13,1.4641,1.4674,1.4574,1.4641,1.4641,700
2015-04-14,1.4671,1.4804,1.4607,1.4668,1.4668,1348
2015-04-15,1.4773,1.4808,1.4706,1.4772,1.4772,710
2015-04-16,1.4829,1.4939,1.4815,1.4828,1.4828,850
2015-04-17,1.4931,1.5053,1.4919,1.4922,1.4922,912
2015-04-19,1.4965,1.4984,1.4893,1.4968,1.4968,0
2015-04-20,1.4965,1.4984,1.4893,1.4968,1.4968,624
2015-04-21,1.4911,1.4954,1.4859,1.491,1.491,659
2015-04-22,1.4931,1.5081,1.4917,1.4936,1.4936,1104
2015-04-23,1.5034,1.5059,1.4966,1.5038,1.5038,640
2015-04-24,1.5051,1.5184,1.503,1.5052,1.5052,1032
2015-04-26,1.5175,1.5239,1.511,1.5177,1.5177,0
2015-04-27,1.5175,1.5239,1.511,1.5177,1.5177,866
2015-04-28,1.5225,1.5337,1.5184,1.5224,1.5224,1022
2015-04-29,1.5334,1.5487,1.5329,1.5335,1.5335,1040
2015-04-30,1.5426,1.5494,1.5326,1.5427,1.5427,1108
2015-05-01,1.5356,1.5397,1.5126,1.5355,1.5355,1776
2015-05-03,1.5156,1.5177,1.5092,1.5147,1.5147,0
2015-05-04,1.5156,1.5177,1.5092,1.5147,1.5147,580
2015-05-05,1.5122,1.5209,1.5094,1.5123,1.5123,774
2015-05-06,1.517,1.5291,1.5156,1.5174,1.5174,898
2015-05-07,1.524,1.5253,1.5168,1.5242,1.5242,575
2015-05-08,1.5397,1.5522,1.5358,1.5407,1.5407,1076
2015-05-10,1.5439,1.5596,1.5399,1.5434,1.5434,0
2015-05-11,1.5439,1.5596,1.5399,1.5434,1.5434,1283
2015-05-12,1.558,1.5709,1.556,1.5577,1.5577,964
2015-05-13,1.5668,1.5762,1.5636,1.5671,1.5671,823
2015-05-14,1.5738,1.5813,1.5731,1.574,1.574,539
2015-05-15,1.5773,1.5808,1.5705,1.5772,1.5772,670
2015-05-17,1.5739,1.5746,1.5655,1.5746,1.5746,0
2015-05-18,1.5739,1.5746,1.5655,1.5746,1.5746,599
2015-05-19,1.5664,1.5672,1.5456,1.5664,1.5664,1395
2015-05-20,1.5516,1.5591,1.5477,1.5516,1.5516,750
2015-05-21,1.5543,1.5701,1.5528,1.5543,1.5543,1125
2015-05-22,1.5661,1.5691,1.5487,1.5664,1.5664,1320
2015-05-24,1.5477,1.5509,1.5459,1.5475,1.5475,0
