Date,Open,High,Low,Close,Adjusted_close,Volume
2015-01-02,2.458,2.475,2.451,2.451,0.9498,23400
2015-01-05,2.435,2.438,2.382,2.382,0.9231,10660
2015-01-06,2.3,2.339,2.28,2.28,0.8835,11350
2015-01-07,2.27,2.28,2.268,2.274,0.8812,29901
2015-01-08,2.274,2.296,2.274,2.296,0.8897,8500
2015-01-09,2.369,2.369,2.281,2.281,0.8839,56990
2015-01-12,2.32,2.353,2.28,2.353,0.9118,6520
2015-01-13,2.337,2.376,2.337,2.376,0.9207,460
2015-01-14,2.396,2.433,2.396,2.433,0.9428,8138
2015-01-15,2.433,2.486,2.377,2.468,0.9564,23133
2015-01-16,2.49,2.49,2.49,2.49,0.9649,823
2015-01-19,2.51,2.554,2.49,2.525,0.9785,29278
2015-01-20,2.54,2.56,2.54,2.56,0.992,11222
2015-01-21,2.59,2.59,2.51,2.556,0.9905,42999
2015-01-22,2.553,2.62,2.548,2.6,1.0075,69163
2015-01-23,2.636,2.679,2.59,2.592,1.0044,65767
2015-01-26,2.6,2.643,2.559,2.625,1.0172,102883
2015-01-27,2.625,2.625,2.574,2.605,1.0095,29576
2015-01-28,2.63,2.63,2.58,2.58,0.9998,12965
2015-01-29,2.582,2.63,2.565,2.63,1.0192,9823
2015-01-30,2.634,2.634,2.601,2.601,1.0079,7500
2015-02-02,2.588,2.588,2.532,2.56,0.992,7281
2015-02-03,2.589,2.63,2.589,2.63,1.0192,21375
2015-02-04,2.633,2.633,2.605,2.607,1.0102,23489
2015-02-05,2.584,2.589,2.575,2.575,0.9978,10199
2015-02-06,2.575,2.575,2.555,2.567,0.9947,8000
2015-02-09,2.516,2.516,2.471,2.481,0.9614,31351
2015-02-10,2.526,2.599,2.526,2.596,1.006,31721
2015-02-11,2.595,2.619,2.591,2.6,1.0075,25614
2015-02-12,2.626,2.742,2.626,2.741,1.0622,50090
2015-02-13,2.8,2.83,2.79,2.797,1.0839,51843
2015-02-16,2.815,2.828,2.806,2.81,1.0889,31385
2015-02-17,2.77,2.833,2.752,2.833,1.0978,55608
2015-02-18,2.878,2.904,2.866,2.881,1.1164,39339
2015-02-19,2.87,2.893,2.85,2.876,1.1145,11070
