Date,Open,High,Low,Close,Adjusted_close,Volume
2015-01-02,2851,2851,2794,2804,1278.0214,1257307
2015-01-05,2789,2866,2789,2805,1278.4772,2930935
2015-01-06,2796,2855,2763.7,2834,1291.695,3179228
2015-01-07,2836,2852,2811,2830,1289.8718,1990257
2015-01-08,2855,2951,2854,2950,1344.566,2373849
2015-01-09,2952,2974,2927,2934,1337.2735,1886247
2015-01-12,2949,2972.7,2934,2967,1352.3144,1493436
2015-01-13,2958,2984,2951,2963,1350.4912,4279002
2015-01-14,2935,2992,2917,2932,1336.3619,3664042
2015-01-15,2867,2884,2785,2850,1339.7937,4663951
2015-01-16,2827,2975.3,2823,2892,1359.538,3102424
2015-01-19,2889,2959,2882,2945,1384.4535,1810119
2015-01-20,2936,2969.36,2868.317,2947,1385.3937,2002817
2015-01-21,2958,3007,2952,3006,1413.1297,2875182
2015-01-22,2951,3032,2940,3020,1419.7112,3369946
2015-01-23,3039,3152.58,3016,3091,1453.0885,3277974
2015-01-26,3085,3110,3060,3091,1453.0885,2051568
2015-01-27,3091,3108,3053,3074,1445.0967,1379629
2015-01-28,3093,3109,3050,3097,1455.9091,2023075
2015-01-29,3080,3183,3080,3160,1485.5256,2770009
2015-01-30,3173,3178,3119,3124,1468.6019,2746592
2015-02-02,3124,3149,3096,3130,1471.4225,2122978
2015-02-03,3125,3145,3085,3085,1450.2679,1776144
2015-02-04,3084,3108,3058,3080,1447.9174,2256880
2015-02-05,3056,3076,3010,3021,1420.1813,2561904
2015-02-06,3018,3055,2962,3044,1430.9937,2408990
2015-02-09,3039,3054,3004,3047,1432.404,1485157
2015-02-10,3050,3093,3034,3078,1446.9772,1529233
2015-02-11,3076,3088,3031,3032,1425.3524,2156506
2015-02-12,3042,3080,3035,3066,1441.3359,2341321
2015-02-13,3073,3105,3021,3025,1422.0617,2080784
2015-02-16,3016,3032,2988,2997,1408.8988,1968958
2015-02-17,2997,3067,2997,3063,1439.9256,2151789
2015-02-18,3073,3093,3044,3051,1434.2844,3830295
2015-02-19,3049,3102,3049,3087,1451.2081,1653248
2015-02-20,3090,3110.1,3059,3100,1457.3194,2572255
2015-02-23,3110,3142,3092,3138,1475.1833,1396281
2015-02-24,3150,3157,3124,3154,1482.705,1407939
2015-02-25,3149,3164,3104,3150,1480.8246,1465386
2015-02-26,3142,3168,3078,3128,1470.4823,3161696
2015-02-27,3135,3267.5,3124,3193,1501.039,2314937
2015-03-02,3208,3232,3187,3197,1502.9194,2483599
2015-03-03,3213,3243,3197,3197,1502.9194,2204357
2015-03-04,3204,3226,3142.14,3226,1516.5524,1666158
2015-03-05,3229,3295,3221,3285,1544.2885,2785643
2015-03-06,3273,3291,3215,3220,1513.7318,1527426
2015-03-09,3212,3215.7,3167,3174,1492.107,1714911
2015-03-10,3163,3193,3091,3091,1453.0885,2641969
2015-03-11,3094,3115,3058,3082,1448.8576,2430193
2015-03-12,3088,3110,3073,3085,1450.2679,1981735
2015-03-13,3085,3104,3071,3096,1455.439,1292183
