Date,Open,High,Low,Close,Adjusted_close,Volume
2026-08-03,50.18,50.26,50.05,50.16,50.16,5124500
2026-08-04,50.3,50.62,50.26,50.53,50.53,6289800
2026-08-05,50.45,50.49,50.25,50.31,50.31,7667500
2026-08-06,50.27,50.33,50.08,50.12,50.12,2780600
2026-08-07,50.45,50.46,50.28,50.37,50.37,4720300
2026-08-10,50.25,50.29,50.06,50.14,50.14,4086729
2026-08-11,50.15,50.23,50.065,50.09,50.09,1968929
2026-08-12,50.09,50.105,49.905,49.95,49.95,3565376
2026-08-13,50.13,50.15,49.89,49.98,49.98,2871196
2026-08-14,49.88,49.92,49.735,49.78,49.78,1885702
