Date,Open,High,Low,Close,Volume
2021-08-16,2.437,2.442,2.418,2.4206,51487817
2021-08-17,2.406,2.408,2.375,2.384,60385623
2021-08-18,2.391,2.4126,2.382,2.407,41421215
2021-08-19,2.371,2.3806,2.352,2.3606,67155893
2021-08-20,2.3546,2.369,2.3364,2.367,57616376
2021-08-23,2.388,2.396,2.3724,2.389,54261176
2021-08-24,2.398,2.4006,2.3644,2.377,42397386
2021-08-25,2.38,2.3896,2.3694,2.385,35972174
2021-08-26,2.378,2.386,2.359,2.3654,59028240
2021-08-27,2.36,2.38,2.3544,2.378,33837275
2021-08-30,2.3826,2.384,2.362,2.372,24413406
2021-08-31,2.372,2.4015,2.3625,2.3945,60466632
2021-09-01,2.41,2.4385,2.4,2.4195,83578757
2021-09-02,2.4285,2.4285,2.4015,2.408,35653060
2021-09-03,2.404,2.4155,2.378,2.3875,54666105
2021-09-06,2.394,2.4075,2.388,2.403,36244828
2021-09-07,2.402,2.4095,2.3755,2.3805,42326125
2021-09-08,2.3705,2.378,2.3385,2.366,59636808
2021-09-09,2.346,2.378,2.332,2.367,59427025
2021-09-10,2.376,2.3875,2.338,2.347,48764688
2021-09-13,2.356,2.398,2.3545,2.3935,74352365
2021-09-14,2.394,2.409,2.369,2.3855,75755850
2021-09-15,2.381,2.394,2.3655,2.3775,50436807
2021-09-16,2.3875,2.4165,2.381,2.4115,56532195
2021-09-17,2.42,2.429,2.379,2.3825,84741873
2021-09-20,2.34,2.343,2.273,2.301,125002097
2021-09-21,2.3135,2.348,2.309,2.3185,65199856
2021-09-22,2.34,2.3675,2.34,2.367,70014424
2021-09-23,2.388,2.432,2.3865,2.43,97885785
2021-09-24,2.4175,2.441,2.4085,2.4245,70604278
2021-09-27,2.44,2.483,2.4365,2.48,131876074
2021-09-28,2.484,2.5015,2.428,2.434,107955502
2021-09-29,2.451,2.462,2.43,2.455,55774679
2021-09-30,2.4745,2.479,2.442,2.4605,77856211
2021-10-01,2.42,2.456,2.4015,2.444,90993340
2021-10-04,2.4405,2.4575,2.42,2.425,56066143
2021-10-05,2.434,2.5055,2.4255,2.5015,165173751
2021-10-06,2.491,2.4995,2.4505,2.475,151625901
2021-10-07,2.496,2.527,2.4805,2.513,126788017
2021-10-08,2.512,2.527,2.5075,2.519,74042888
2021-10-11,2.523,2.5315,2.4915,2.497,71545746
2021-10-12,2.473,2.517,2.4635,2.5115,61884458
2021-10-13,2.5105,2.5225,2.486,2.5,74891234
2021-10-14,2.502,2.5255,2.4965,2.524,102628027
2021-10-15,2.54,2.5925,2.532,2.573,184571248
2021-10-18,2.52,2.525,2.478,2.49,131241490
2021-10-19,2.489,2.4965,2.4515,2.457,83129913
2021-10-20,2.45,2.4785,2.444,2.4655,54219203
2021-10-21,2.455,2.4625,2.442,2.4455,50689792
2021-10-22,2.4495,2.4605,2.4425,2.4515,48715696
2021-10-25,2.4615,2.483,2.4555,2.47,61272587
2021-10-26,2.47,2.4855,2.4625,2.4815,55352011
2021-10-27,2.476,2.4795,2.4505,2.4555,55150906
2021-10-28,2.4475,2.4545,2.4255,2.4415,57698585
2021-10-29,2.438,2.4535,2.416,2.453,50320077
2021-11-01,2.46,2.517,2.46,2.4985,77455628
2021-11-02,2.495,2.516,2.4905,2.5125,62309487
2021-11-03,2.517,2.519,2.4845,2.497,74316278
2021-11-04,2.5165,2.518,2.441,2.451,118240894
2021-11-05,2.4655,2.4995,2.4515,2.482,81048241
2021-11-08,2.4835,2.513,2.4775,2.4955,67363975
2021-11-09,2.4865,2.4925,2.4705,2.472,49782584
2021-11-10,2.4795,2.493,2.464,2.475,50183991
2021-11-11,2.477,2.491,2.463,2.4725,36908081
2021-11-12,2.47,2.4735,2.455,2.472,39553995
2021-11-15,2.462,2.488,2.458,2.4845,40834569
2021-11-16,2.49,2.494,2.4735,2.486,47421252
2021-11-17,2.48,2.4885,2.474,2.478,44834563
2021-11-18,2.4815,2.496,2.46,2.466,60538090
2021-11-19,2.475,2.4815,2.36,2.3855,142187213
2021-11-22,2.3395,2.341,2.306,2.328,104411805
2021-11-23,2.3185,2.3375,2.2965,2.302,71580865
2021-11-24,2.305,2.322,2.287,2.305,69055351
2021-11-25,2.311,2.3155,2.283,2.2873,45674458
2021-11-26,2.2,2.212,2.1615,2.165,182031748
2021-11-29,2.193,2.203,2.132,2.146,113748921
2021-11-30,2.105,2.1505,2.083,2.117,135788283
2021-12-01,2.132,2.18,2.1315,2.168,84347175
2021-12-02,2.145,2.162,2.1255,2.148,80251247
2021-12-03,2.1695,2.175,2.1255,2.141,70020840
2021-12-06,2.1615,2.218,2.1595,2.2145,60215261
2021-12-07,2.2305,2.269,2.223,2.259,74411809
2021-12-08,2.25,2.267,2.2255,2.236,51544620
2021-12-09,2.238,2.2555,2.2155,2.2255,65474333
2021-12-10,2.2215,2.2385,2.204,2.211,50769462
2021-12-13,2.218,2.248,2.2,2.205,56710679
2021-12-14,2.2135,2.2385,2.211,2.228,74282188
2021-12-15,2.2305,2.239,2.2035,2.2103,60513269
2021-12-16,2.2305,2.262,2.22,2.243,72511409
2021-12-17,2.228,2.238,2.183,2.2075,98587188
2021-12-20,2.16,2.193,2.127,2.185,72605315
2021-12-21,2.2035,2.23,2.181,2.227,47135229
2021-12-22,2.2295,2.2415,2.215,2.2335,43014355
2021-12-23,2.24,2.255,2.2305,2.2485,41588031
2021-12-27,2.25,2.2685,2.2435,2.2635,33227670
2021-12-28,2.2635,2.292,2.263,2.2865,48414472
2021-12-29,2.288,2.292,2.2615,2.274,43365633
2021-12-30,2.2785,2.2835,2.27,2.275,40655882
2022-01-03,2.2875,2.3475,2.284,2.345,96025315
2022-01-04,2.355,2.404,2.3405,2.3885,106614489
2022-01-05,2.3995,2.425,2.391,2.4185,93692312
2022-01-06,2.3935,2.4465,2.382,2.425,95824613
2022-01-07,2.443,2.461,2.4295,2.4505,103298358
2022-01-10,2.469,2.482,2.4595,2.4725,104354168
2022-01-11,2.475,2.4845,2.4545,2.4785,75651755
2022-01-12,2.5,2.5435,2.489,2.5383,156727038
2022-01-13,2.538,2.559,2.521,2.5565,99342797
2022-01-14,2.542,2.573,2.5205,2.5665,111495356
2022-01-17,2.58,2.5895,2.565,2.5775,72534491
2022-01-18,2.5655,2.5845,2.533,2.5795,97380808
2022-01-19,2.5645,2.5695,2.5235,2.5305,108972164
2022-01-20,2.525,2.55,2.5195,2.55,86002066
2022-01-21,2.553,2.5885,2.52,2.5485,163530199
2022-01-24,2.54,2.5595,2.4465,2.465,116704905
2022-01-25,2.49,2.5,2.4475,2.489,85938812
2022-01-26,2.5035,2.573,2.496,2.5605,120863949
2022-01-27,2.54,2.6365,2.536,2.6055,146333545
2022-01-28,2.608,2.611,2.553,2.599,112580395
2022-01-31,2.67,2.675,2.593,2.6095,130712840
2022-02-01,2.636,2.6695,2.632,2.6645,124055181
2022-02-02,2.686,2.741,2.6765,2.71,179112595
2022-02-03,2.7055,2.7225,2.6665,2.721,162568243
2022-02-04,2.7785,2.785,2.6455,2.6675,207700470
2022-02-07,2.695,2.7205,2.632,2.7155,126454236
2022-02-08,2.72,2.771,2.7195,2.768,153343534
2022-02-09,2.78,2.8465,2.757,2.837,196525796
2022-02-10,2.849,2.918,2.844,2.915,218160567
2022-02-11,2.8765,2.893,2.821,2.846,165414939
2022-02-14,2.76,2.773,2.6755,2.7605,209540750
2022-02-15,2.7655,2.8545,2.7535,2.8365,155845238
2022-02-16,2.859,2.869,2.77,2.7885,121094671
2022-02-17,2.78,2.7855,2.719,2.731,103886678
2022-02-18,2.7335,2.7765,2.713,2.7235,98533472
2022-02-21,2.741,2.7525,2.6455,2.667,93293371
2022-02-22,2.601,2.704,2.588,2.6595,155109047
2022-02-23,2.6725,2.705,2.606,2.618,91744288
2022-02-24,2.4945,2.5285,2.346,2.4165,293379832
2022-02-25,2.426,2.498,2.3385,2.472,217707094
2022-02-28,2.354,2.375,2.2545,2.3085,231962781
2022-03-01,2.29,2.3375,2.11,2.11,272433962
2022-03-02,2.11,2.1595,2.022,2.147,267212968
2022-03-03,2.1505,2.174,2.0775,2.093,156094970
2022-03-04,2.06,2.0625,1.9014,1.9032,275501638
2022-03-07,1.87,1.915,1.65,1.8412,326927742
2022-03-08,1.8122,1.9664,1.8108,1.88,257812411
2022-03-09,1.9586,2.07,1.9426,2.0575,287770154
2022-03-10,2.1,2.106,1.909,1.9196,268201061
2022-03-11,1.9214,2.02,1.852,1.922,218187106
2022-03-14,1.972,2.0185,1.9386,1.9922,147202927
2022-03-15,1.965,2.0375,1.9338,2.011,142191512
2022-03-16,2.08,2.1665,2.0625,2.1483,257415326
2022-03-17,2.1605,2.1735,2.0175,2.0695,174068015
2022-03-18,2.078,2.096,2.027,2.068,139095893
2022-03-21,2.077,2.121,2.065,2.072,101746272
2022-03-22,2.0815,2.12,2.075,2.102,97477787
2022-03-23,2.1135,2.1185,2.0365,2.0475,121328147
