Date,Open,High,Low,Close,Volume
2014-07-29,2.296,2.334,2.214,2.232,326069944
2014-08-01,2.23,2.348,2.01,2.266,2492905385
2014-09-01,2.272,2.504,2.216,2.41,2771834244
2014-10-01,2.394,2.43,2.002,2.336,4107882971
2014-11-03,2.336,2.486,2.114,2.474,3252636858
2014-12-01,2.452,2.586,2.254,2.426,3376152361
2015-01-02,2.45,2.68,2.216,2.586,3588136336
2015-02-02,2.588,2.996,2.472,2.98,2825076050
2015-03-02,3,3.24,2.842,3.182,2527914226
2015-04-01,3.158,3.24,2.964,3.026,2172579722
2015-05-04,3.036,3.376,2.936,3.298,2609262345
2015-06-01,3.3,3.502,3.058,3.288,2395047623
2015-07-01,3.276,3.654,2.924,3.498,2391456091
2015-08-03,3.518,3.546,2.888,3.244,1981534091
2015-09-01,3.218,3.318,3.004,3.15,1934592589
2015-10-01,3.188,3.298,3.084,3.16,1675721403
2015-11-02,3.156,3.27,3.038,3.252,1488244632
2015-12-01,3.274,3.296,2.964,3.108,1300096028
2016-01-04,3.05,3.058,2.484,2.618,2054286775
2016-02-01,2.624,2.66,2.124,2.332,2916346560
2016-03-01,2.322,2.786,2.318,2.436,2526887490
2016-04-01,2.386,2.524,2.148,2.432,2262187662
2016-05-02,2.412,2.456,2.156,2.298,2389900245
2016-06-01,2.308,2.328,1.522,1.708,3826335782
2016-07-01,1.786,2.002,1.557,1.965,3506361645
2016-08-01,2.05,2.11,1.802,2.106,2456681020
2016-09-01,2.132,2.22,1.852,1.972,2102898752
2016-10-03,1.95,2.198,1.911,2.122,1710682798
2016-11-01,2.118,2.286,1.936,2.096,2574563498
2016-12-01,2.08,2.488,2.01,2.414,2528067625
2017-01-02,2.416,2.588,2.156,2.174,2326804678
2017-02-01,2.184,2.26,2.064,2.212,1985119552
2017-03-01,2.22,2.562,2.216,2.54,2773694633
2017-04-03,2.546,2.766,2.39,2.686,2149215551
2017-05-02,2.698,2.898,2.522,2.566,2510005707
2017-06-01,2.556,2.85,2.496,2.76,2444030892
2017-07-03,2.788,2.946,2.786,2.93,1724286666
2017-08-01,2.94,2.946,2.808,2.848,1496915302
2017-09-01,2.85,3.008,2.78,2.992,1253079836
2017-10-02,2.986,3.006,2.834,2.882,1361389881
2017-11-01,2.894,2.902,2.742,2.826,1274485194
2017-12-01,2.83,2.936,2.746,2.762,1222981557
2018-01-02,2.77,3.194,2.714,3.1545,1506536769
2018-02-01,3.178,3.23,2.982,3.102,1936284540
2018-03-01,3.086,3.097,2.894,2.965,1594350051
2018-04-03,2.948,3.2,2.911,3.1625,1144844814
2018-05-02,3.161,3.182,2.381,2.5165,2712375087
2018-06-01,2.6,2.66,2.39,2.4965,2216233515
2018-07-02,2.4575,2.626,2.384,2.621,1248413682
2018-08-01,2.635,2.659,2.111,2.1205,1657274268
2018-09-03,2.13,2.47,2.129,2.211,1979152934
2018-10-01,2.189,2.242,1.884,1.958,2928160049
2018-11-01,1.949,2.093,1.862,2.04,2038942415
2018-12-03,2.0955,2.123,1.881,1.935,1763219676
2019-01-02,1.9275,2.074,1.8825,1.988,2003613802
2019-02-01,1.995,2.189,1.928,2.174,2377595638
2019-03-01,2.183,2.262,2.101,2.1695,2125387040
2019-04-01,2.1865,2.355,2.178,2.33,1888276088
2019-05-02,2.33,2.359,1.803,1.835,2642139428
2019-06-03,1.8155,1.929,1.804,1.887,1632200022
2019-07-01,1.9,2.08,1.857,1.961,2013674795
2019-08-01,1.9605,2.0325,1.811,1.9835,2184414527
2019-09-02,2,2.188,1.9785,2.1755,2034825441
2019-10-01,2.1805,2.29,2.062,2.249,2110150031
2019-11-01,2.25,2.3895,2.2375,2.3035,1678022294
2019-12-02,2.3065,2.403,2.168,2.353,1235504812
2020-01-02,2.3675,2.384,2.2385,2.2455,1549587952
2020-02-03,2.2505,2.6325,2.1615,2.198,2831343048
2020-03-02,2.239,2.239,1.306,1.473,5305913633
2020-04-01,1.435,1.5465,1.317,1.418,2696606684
2020-05-04,1.3775,1.58,1.342,1.552,2262126151
2020-06-01,1.585,1.836,1.5515,1.703,3220493650
2020-07-01,1.715,1.934,1.661,1.7135,2147679929
2020-08-03,1.706,1.9,1.6775,1.801,1867341814
2020-09-01,1.815,1.824,1.56,1.6055,1954579372
2020-10-01,1.62,1.69,1.3785,1.418,1651151119
2020-11-02,1.427,1.965,1.411,1.9305,2822206192
2020-12-01,1.955,2.027,1.836,1.9135,1827727170
2021-01-04,1.92,1.989,1.7815,1.806,1524637752
2021-02-01,1.822,2.182,1.81,2.127,2271335440
2021-03-01,2.1565,2.354,2.146,2.3085,2037371858
2021-04-01,2.32,2.338,2.195,2.322,1149907494
2021-05-03,2.321,2.437,2.297,2.419,1599291246
2021-06-01,2.426,2.488,2.304,2.327,1329259755
2021-07-01,2.335,2.38,2.125,2.333,1288788819
2021-08-02,2.345,2.458,2.293,2.3945,1191615969
2021-09-01,2.41,2.5015,2.273,2.4605,1564285392
2021-10-01,2.42,2.5925,2.4015,2.453,1808001013
2021-11-01,2.46,2.519,2.083,2.117,1715270272
2021-12-01,2.132,2.292,2.1255,2.275,1269646067
2022-01-03,2.2875,2.675,2.284,2.6095,2284580375
2022-02-01,2.636,2.918,2.2545,2.3085,3305432783
2022-03-01,2.29,2.3375,1.65,2.0905,4172821024
2022-04-01,2.094,2.1195,1.8765,1.945,1778446587
2022-05-02,1.936,2.082,1.833,2.0285,2369369648
2022-06-01,2.048,2.055,1.728,1.788,2808143116
2022-07-01,1.76,1.814,1.584,1.7195,3209105366
2022-08-01,1.7365,1.868,1.66,1.723,2285314742
2022-09-01,1.7115,1.939,1.635,1.698,2720441371
2022-10-03,1.664,1.938,1.654,1.932,1973387401
2022-11-01,1.925,2.218,1.925,2.131,2242879263
2022-12-01,2.1345,2.14,1.996,2.082,1472259294
2023-01-02,2.1195,2.423,2.09,2.417,2594543541
2023-02-01,2.41,2.599,2.329,2.576,3150975567
2023-03-01,2.584,2.603,2.082,2.3735,4202469233
2023-04-03,2.39,2.525,2.284,2.383,1603819916
2023-05-02,2.381,2.485,2.1325,2.1355,1998034502
2023-06-01,2.182,2.427,2.175,2.409,1583422546
2023-07-03,2.397,2.642,2.318,2.634,1716894554
2023-08-01,2.635,2.645,2.328,2.4765,2051030688
2023-09-01,2.468,2.545,2.366,2.449,1760921924
2023-10-02,2.4475,2.475,2.314,2.4545,1630507868
2023-11-01,2.461,2.675,2.461,2.6425,2274786638
2023-12-01,2.6255,2.739,2.592,2.6405,1382514462
2024-01-02,2.6935,2.9,2.649,2.864,1882008437
2024-02-01,2.84,2.983,2.768,2.9455,2165606684
2024-03-01,2.973,3.382,2.942,3.355,2150029632
2024-04-02,3.3995,3.613,3.227,3.5365,1805770104
2024-05-02,3.5715,3.841,3.437,3.61,1976023444
2024-06-03,3.634,3.655,3.258,3.4675,1680651659
2024-07-01,3.56,3.836,3.515,3.7505,1581350208
2024-08-01,3.77,3.782,3.13,3.7675,1606561493
2024-09-02,3.78,3.889,3.645,3.8355,1398658455
2024-10-01,3.85,4,3.658,3.934,1794970245
2024-11-01,3.9665,4.144,3.515,3.624,1874859127
2024-12-02,3.612,3.99,3.576,3.8585,1056257347
2025-01-02,3.94,4.27,3.742,4.194,1547663770
2025-02-03,4.1785,4.799,4.028,4.732,1867788196
2025-03-03,4.7305,4.999,4.613,4.7415,1973255996
2025-04-01,4.776,4.8175,3.474,4.6625,2306308839
2025-05-02,4.7395,4.982,4.678,4.887,1533017513
2025-06-02,4.9015,5.04,4.689,4.8815,1308954780
2025-07-01,4.888,5.5,4.825,5.321,1316078953
2025-08-01,5.298,5.685,4.971,5.3675,1189830555
2025-09-01,5.41,5.626,5.266,5.613,1090544888
2025-10-01,5.67,5.768,5.292,5.565,1279659153
2025-11-03,5.626,6.011,5.376,5.579,1150114887
2025-12-01,5.585,5.949,5.523,5.937,802923610
2026-01-02,5.939,6.1,5.675,5.951,1001716630
2026-02-02,5.85,6.159,5.602,5.819,1225073170
2026-03-02,5.586,5.675,4.802,5.137,1719138767
2026-04-01,5.36,5.934,5.212,5.772,1079755563
2026-05-04,5.784,6.015,5.47,5.816,1024791799
2026-06-01,5.797,6.249,5.4185,5.975,1503350709
2026-07-01,5.957,6.61,5.918,6.5625,1190167671
2026-08-03,6.573,6.942,6.573,6.925,429588714
