Date,Open,High,Low,Close,Adj Close,Volume
2025-08-19,5.511000,5.617000,5.507000,5.605000,5.239917,50523071
2025-08-20,5.596000,5.618000,5.556000,5.573000,5.210001,33837654
2025-08-21,5.573000,5.612000,5.543000,5.609000,5.243657,35576241
2025-08-22,5.593000,5.685000,5.581000,5.642000,5.274507,45276103
2025-08-25,5.619000,5.682000,5.614000,5.635000,5.267963,41235663
2025-08-26,5.569000,5.569000,5.478000,5.528000,5.167933,161287035
2025-08-27,5.528000,5.545000,5.351000,5.388000,5.037052,93174903
2025-08-28,5.401000,5.434000,5.361000,5.409000,5.056684,39917654
2025-08-29,5.380000,5.393000,5.339000,5.375000,5.024898,49958032
2025-09-01,5.403000,5.432000,5.363000,5.400000,5.048270,24151065
2025-09-02,5.405000,5.415000,5.275000,5.313000,4.966937,53962867
2025-09-03,5.328000,5.343000,5.274000,5.318000,4.971611,41420866
2025-09-04,5.334000,5.383000,5.302000,5.363000,5.013680,33852902
2025-09-05,5.382000,5.402000,5.266000,5.291000,4.946369,42482994
2025-09-08,5.322000,5.351000,5.308000,5.349000,5.000592,26221138
2025-09-09,5.358000,5.434000,5.346000,5.424000,5.070706,52351679
2025-09-10,5.435000,5.452000,5.381000,5.438000,5.083795,49911508
2025-09-11,5.449000,5.499000,5.420000,5.473000,5.116515,40671321
2025-09-12,5.489000,5.494000,5.434000,5.474000,5.117450,34919179
2025-09-15,5.506000,5.626000,5.504000,5.613000,5.247396,55442404
2025-09-16,5.605000,5.614000,5.475000,5.484000,5.126798,53220101
2025-09-17,5.512000,5.522000,5.384000,5.412000,5.059488,49340003
2025-09-18,5.457000,5.469000,5.387000,5.443000,5.088469,40896710
2025-09-19,5.453000,5.509000,5.441000,5.469000,5.112775,80792621
2025-09-22,5.466000,5.473000,5.402000,5.452000,5.096883,32412217
2025-09-23,5.469000,5.480000,5.402000,5.451000,5.095948,37454817
2025-09-24,5.440000,5.450000,5.384000,5.417000,5.064162,37815162
2025-09-25,5.378000,5.439000,5.363000,5.439000,5.084729,46674625
2025-09-26,5.465000,5.560000,5.459000,5.560000,5.197848,55509501
2025-09-29,5.573000,5.581000,5.516000,5.556000,5.194109,42405228
2025-09-30,5.548000,5.620000,5.524000,5.614000,5.248331,49626995
2025-10-01,5.602000,5.699000,5.558000,5.694000,5.323120,55069910
2025-10-02,5.721000,5.736000,5.579000,5.579000,5.215611,73444464
2025-10-03,5.615000,5.643000,5.600000,5.609000,5.243657,46652876
2025-10-06,5.612000,5.618000,5.488000,5.522000,5.162323,55962918
2025-10-07,5.525000,5.589000,5.510000,5.510000,5.151105,33282841
2025-10-08,5.502000,5.569000,5.502000,5.542000,5.181020,40154880
2025-10-09,5.542000,5.565000,5.508000,5.508000,5.149235,35864943
2025-10-10,5.511000,5.563000,5.430000,5.430000,5.076315,48222876
2025-10-13,5.470000,5.502000,5.451000,5.480000,5.123059,38242104
2025-10-14,5.400000,5.475000,5.346000,5.471000,5.114645,58968702
2025-10-15,5.490000,5.503000,5.384000,5.384000,5.033311,44190749
2025-10-16,5.409000,5.470000,5.377000,5.470000,5.113710,36885509
2025-10-17,5.342000,5.423000,5.292000,5.348000,4.999657,73071951
2025-10-20,5.431000,5.505000,5.416000,5.462000,5.106231,42693819
2025-10-21,5.484000,5.535000,5.475000,5.484000,5.126798,30245676
2025-10-22,5.490000,5.500000,5.416000,5.449000,5.094078,31669731
2025-10-23,5.454000,5.484000,5.420000,5.450000,5.095013,28423497
