Date,Open,High,Low,Close,Adjusted_close,Volume
2015-01-02,870.0007,874.5007,859.5007,864.5007,262.3632,7643306
2015-01-05,860.0007,870.5007,844.0007,853.5007,259.0249,15802756
2015-01-06,853.5007,861.0007,839.8607,854.0007,259.1766,18523645
2015-01-07,860.0007,863.5007,853.0007,859.5007,260.8458,16098288
2015-01-08,868.0007,886.5007,865.5007,882.0007,267.6742,20458977
2015-01-09,882.0007,885.0007,856.0007,862.0007,261.6045,15340743
2015-01-12,862.5007,873.5007,858.5007,868.5007,263.5771,10444826
2015-01-13,850.0007,868.5435,849.8307,862.5007,261.7562,20192510
2015-01-14,845.5007,857.8582,844.9007,852.5007,258.7214,25906009
2015-01-15,858.5007,862.5007,841.5007,853.0007,258.8731,30508178
2015-01-16,850.0007,863.5007,832.1326,861.0007,261.301,17625266
2015-01-19,860.0007,873.5007,860.0007,869.5007,263.8806,14314616
2015-01-20,873.5007,885.0007,869.5007,882.5007,267.8259,12686746
2015-01-21,884.5007,893.0007,880.5007,892.0007,270.709,16597967
2015-01-22,892.0007,901.5008,876.5007,899.0008,272.8334,20481103
2015-01-23,901.0008,904.5008,895.5008,902.0008,273.7439,14729905
2015-01-26,900.0008,907.5008,897.0008,903.0008,274.0474,12475747
2015-01-27,900.0008,903.0008,878.0007,879.0007,266.7637,19248477
2015-01-28,883.5007,884.5007,858.5007,882.5007,267.8259,18713969
2015-01-29,880.5007,890.0007,878.0007,887.5007,269.3434,15793824
2015-01-30,890.0007,898.5008,884.0007,891.5007,270.5573,18180682
2015-02-02,886.0007,889.6507,871.0007,884.0007,268.2812,20348993
2015-02-03,887.5007,899.5008,884.0007,894.0008,271.316,17820925
2015-02-04,892.5007,900.0008,885.5007,899.5008,272.9852,21928476
2015-02-05,893.0007,922.0008,888.0007,918.0008,278.5997,22313526
2015-02-06,917.5008,925.4508,908.0008,912.0008,276.7788,22539524
2015-02-09,905.5008,921.5726,896.5008,902.0008,273.7439,22682628
2015-02-10,904.5008,919.5008,903.0008,918.0008,278.5997,16070561
2015-02-11,914.5008,919.5008,901.5008,905.0008,274.6544,14067609
2015-02-12,900.5008,915.7155,897.0008,905.0008,274.6544,24592993
2015-02-13,880.0007,950.0808,873.0007,944.5008,286.642,65404119
2015-02-16,935.0008,943.5008,929.5508,936.5008,284.2141,18432287
2015-02-17,932.5008,941.5008,916.3829,922.5008,279.9654,26520673
2015-02-18,923.0008,936.5008,915.1008,934.5008,283.6072,20794912
2015-02-19,950.0008,970.0008,938.2508,962.0008,291.953,34290815
2015-02-20,955.0008,964.0008,953.0008,956.0008,290.1321,38375811
2015-02-23,960.5008,961.7808,947.0008,950.0008,288.3112,35343973
2015-02-24,950.0008,950.0008,930.5008,936.5008,284.2141,26028649
2015-02-25,937.5008,945.753,933.0008,939.0008,284.9729,13082394
2015-02-26,937.5008,947.3908,936.5008,943.5008,286.3385,14195977
2015-02-27,942.0008,958.5008,937.0008,949.0008,288.0077,23347204
2015-03-02,947.0008,950.0008,930.5008,934.5008,283.6072,23892715
2015-03-03,934.0008,948.5008,929.5008,937.0008,284.3659,24437576
2015-03-04,936.5008,951.4258,936.5008,950.0008,288.3112,23279030
2015-03-05,955.0008,988.5008,952.6258,985.0008,298.9332,27804682
2015-03-06,982.5008,998.1008,982.0758,987.0008,299.5402,27845295
2015-03-09,983.0008,1001.2508,982.0008,995.5008,302.1198,27093789
2015-03-10,990.5008,1000.2508,973.0008,973.0008,295.2914,18845776
2015-03-11,973.5008,979.8758,970.5008,976.0008,296.2018,15063415
2015-03-12,980.0008,1002.0008,967.0008,970.0008,294.3809,18941350
2015-03-13,974.0008,977.5008,962.0008,969.5008,294.2292,21039873
2015-03-16,972.5008,973.0008,960.5008,970.5008,294.5327,15228827
2015-03-17,970.0008,976.0508,921.0827,966.5008,293.3187,17977268
2015-03-18,965.0008,986.0008,964.5758,984.0008,298.6297,13821120
2015-03-19,987.5008,994.5008,981.0008,982.5008,298.1745,11139821
2015-03-20,982.5008,990.0008,975.0008,987.5008,299.6919,15439328
2015-03-23,987.0008,993.5008,978.0008,987.0008,299.5402,11432800
2015-03-24,986.5008,999.0008,981.0008,988.5008,299.9954,18524682
2015-03-25,988.0008,991.6943,976.5008,981.0008,297.7193,11317850
2015-03-26,972.5008,980.0008,958.6656,962.0008,291.953,22222011
2015-03-27,960.5008,970.5008,944.5008,947.5008,287.5525,20860276
2015-03-30,956.5008,969.0008,950.0008,961.5008,291.8013,13202394
2015-03-31,959.0008,972.0008,952.5008,953.0008,289.2217,17010943
2015-04-01,938.5008,956.8758,935.2393,950.0008,288.3112,16915902
2015-04-02,947.5008,951.2508,939.3124,943.5008,286.3385,14553251
2015-04-07,949.5008,954.5008,946.5008,952.0008,288.9182,13549049
2015-04-08,950.0008,956.7508,943.5008,944.0008,286.4903,12222926
2015-04-09,951.0008,953.5008,941.5008,950.0008,288.3112,14232519
2015-04-10,952.5008,976.5008,951.7008,975.0008,295.8983,13901393
2015-04-13,972.5008,975.1258,959.0008,969.0008,294.0774,10966547
2015-04-14,964.5008,976.0008,964.5008,973.5008,295.4431,10608466
2015-04-15,976.5008,989.0508,973.5008,986.5008,299.3884,14288640
2015-04-16,991.0008,991.0008,971.0008,980.0008,297.4158,16021660
2015-04-17,979.0008,1003.5008,971.0008,978.5008,296.9605,20290031
2015-04-20,978.5008,990.0008,976.5008,982.0008,298.0227,11951246
2015-04-21,983.0008,1014.0009,983.0008,1007.0008,305.6099,17927071
2015-04-22,1044.0009,1061.0009,1035.0009,1048.0009,318.0528,43671497
2015-04-23,1053.0009,1056.0009,1031.0009,1035.0009,318.3915,23386091
2015-04-24,1038.0009,1051.0009,1038.0009,1050.0009,323.0058,26792295
2015-04-27,1049.0009,1058.0009,1036.0009,1054.0009,324.2363,18775492
2015-04-28,1048.0009,1049.0009,1033.0009,1038.0009,319.3143,22127236
2015-04-29,1043.0009,1051.0009,1028.6609,1030.0009,316.8533,22069803
2015-04-30,1030.0009,1047.0009,1023.0009,1046.0009,321.7753,22070578
2015-05-01,1044.0009,1045.0009,1030.6609,1043.0009,320.8525,8375501
2015-05-05,1060.0009,1061.0009,1035.0009,1035.0009,318.3915,21972349
2015-05-06,1031.0009,1040.3409,1016.0009,1023.0009,314.7,34453884
2015-05-07,1020.0009,1025.0009,994.5008,1017.0009,312.8542,28881085
2015-05-08,1030.0009,1039.0809,1016.0009,1030.0009,316.8533,18557261
2015-05-11,1023.0009,1030.3409,1013.6609,1020.0009,313.7771,12527290
2015-05-12,1018.0009,1023.0009,999.3308,1005.0008,309.1627,12272520
2015-05-13,1005.0008,1014.0009,1000.0008,1005.0008,309.1627,12331127
2015-05-14,1006.0008,1015.0009,1000.0008,1013.0009,311.6237,7262431
2015-05-15,1014.0009,1020.0009,1006.0008,1013.0009,311.6237,9857123
2015-05-18,1012.0008,1020.0009,1002.0008,1010.0008,310.7008,13050541
2015-05-19,1012.0008,1021.0009,1003.0008,1009.0008,310.3932,17801328
