date,tenor,discount,coupon,avg_discount,avg_coupon,maturity_date,cusip
"2015-01-02","13WK",0.02,0.02,0.02,0.02,"2015-04-02","912796DU0"
"2015-01-05","13WK",0.03,0.03,0.03,0.03,"2015-04-09","912796FC8"
"2015-01-06","13WK",0.03,0.03,0.03,0.03,"2015-04-09","912796FC8"
"2015-01-07","13WK",0.03,0.03,0.03,0.03,"2015-04-09","912796FC8"
"2015-01-08","13WK",0.03,0.03,0.03,0.03,"2015-04-09","912796FC8"
"2015-01-09","13WK",0.02,0.02,0.03,0.03,"2015-04-09","912796FC8"
"2015-01-12","13WK",0.03,0.03,0.03,0.03,"2015-04-16","912796FD6"
"2015-01-13","13WK",0.03,0.03,0.03,0.03,"2015-04-16","912796FD6"
"2015-01-14","13WK",0.04,0.04,0.03,0.03,"2015-04-16","912796FD6"
"2015-01-15","13WK",0.03,0.03,0.03,0.03,"2015-04-16","912796FD6"
"2015-01-16","13WK",0.03,0.03,0.03,0.03,"2015-04-16","912796FD6"
"2015-01-20","13WK",0.03,0.03,0.03,0.03,"2015-04-23","912796FE4"
"2015-01-21","13WK",0.03,0.03,0.03,0.03,"2015-04-23","912796FE4"
"2015-01-22","13WK",0.03,0.03,0.03,0.03,"2015-04-23","912796FE4"
"2015-01-23","13WK",0.02,0.02,0.03,0.03,"2015-04-23","912796FE4"
"2015-01-26","13WK",0.03,0.03,0.03,0.03,"2015-04-30","912796DY2"
"2015-01-27","13WK",0.02,0.02,0.03,0.03,"2015-04-30","912796DY2"
"2015-01-28","13WK",0.02,0.02,0.02,0.02,"2015-04-30","912796DY2"
"2015-01-29","13WK",0.03,0.03,0.03,0.03,"2015-04-30","912796DY2"
"2015-01-30","13WK",0.02,0.02,0.02,0.02,"2015-04-30","912796DY2"
"2015-02-02","13WK",0.02,0.02,0.02,0.02,"2015-05-07","912796FF1"
"2015-02-03","13WK",0.02,0.02,0.02,0.02,"2015-05-07","912796FF1"
"2015-02-04","13WK",0.01,0.01,0.02,0.02,"2015-05-07","912796FF1"
"2015-02-05","13WK",0.02,0.02,0.02,0.02,"2015-05-07","912796FF1"
"2015-02-06","13WK",0.02,0.02,0.02,0.02,"2015-05-07","912796FF1"
"2015-02-09","13WK",0.01,0.01,0.01,0.01,"2015-05-14","912796FH7"
"2015-02-10","13WK",0.01,0.01,0.01,0.01,"2015-05-14","912796FH7"
"2015-02-11","13WK",0.01,0.01,0.01,0.01,"2015-05-14","912796FH7"
"2015-02-12","13WK",0.02,0.02,0.01,0.01,"2015-05-14","912796FH7"
"2015-02-13","13WK",0.01,0.01,0.01,0.01,"2015-05-14","912796FH7"
"2015-02-17","13WK",0.02,0.02,0.02,0.02,"2015-05-21","912796FJ3"
"2015-02-18","13WK",0.02,0.02,0.02,0.02,"2015-05-21","912796FJ3"
"2015-02-19","13WK",0.02,0.02,0.02,0.02,"2015-05-21","912796FJ3"
"2015-02-20","13WK",0.02,0.02,0.02,0.02,"2015-05-21","912796FJ3"
"2015-02-23","13WK",0.02,0.02,0.02,0.02,"2015-05-28","912796EC9"
"2015-02-24","13WK",0.02,0.02,0.02,0.02,"2015-05-28","912796EC9"
"2015-02-25","13WK",0.02,0.02,0.02,0.02,"2015-05-28","912796EC9"
"2015-02-26","13WK",0.03,0.03,0.02,0.02,"2015-05-28","912796EC9"
"2015-02-27","13WK",0.02,0.02,0.02,0.02,"2015-05-28","912796EC9"
"2015-03-02","13WK",0.02,0.02,0.02,0.02,"2015-06-04","912796FK0"
"2015-03-03","13WK",0.02,0.02,0.02,0.02,"2015-06-04","912796FK0"
"2015-03-04","13WK",0.01,0.01,0.02,0.02,"2015-06-04","912796FK0"
"2015-03-05","13WK",0.02,0.02,0.02,0.02,"2015-06-04","912796FK0"
"2015-03-06","13WK",0.01,0.01,0.02,0.02,"2015-06-04","912796FK0"
"2015-03-09","13WK",0.02,0.02,0.02,0.02,"2015-06-11","912796FQ7"
"2015-03-10","13WK",0.02,0.02,0.02,0.02,"2015-06-11","912796FQ7"
"2015-03-11","13WK",0.03,0.03,0.02,0.02,"2015-06-11","912796FQ7"
"2015-03-12","13WK",0.03,0.03,0.03,0.03,"2015-06-11","912796FQ7"
"2015-03-13","13WK",0.03,0.03,0.03,0.03,"2015-06-11","912796FQ7"
"2015-03-16","13WK",0.05,0.05,0.05,0.05,"2015-06-18","912796FR5"
"2015-03-17","13WK",0.05,0.05,0.05,0.05,"2015-06-18","912796FR5"
"2015-03-18","13WK",0.03,0.03,0.04,0.04,"2015-06-18","912796FR5"
"2015-03-19","13WK",0.03,0.03,0.04,0.04,"2015-06-18","912796FR5"
"2015-03-20","13WK",0.01,0.01,0.03,0.03,"2015-06-18","912796FR5"
"2015-03-23","13WK",0.03,0.03,0.03,0.03,"2015-06-25","912796EJ4"
"2015-03-24","13WK",0.02,0.02,0.03,0.03,"2015-06-25","912796EJ4"
"2015-03-25","13WK",0.04,0.04,0.03,0.03,"2015-06-25","912796EJ4"
"2015-03-26","13WK",0.03,0.03,0.03,0.03,"2015-06-25","912796EJ4"
"2015-03-27","13WK",0.04,0.04,0.03,0.03,"2015-06-25","912796EJ4"
"2015-03-30","13WK",0.04,0.04,0.04,0.04,"2015-07-02","912796FS3"
"2015-03-31","13WK",0.03,0.03,0.04,0.04,"2015-07-02","912796FS3"
"2015-04-01","13WK",0.03,0.03,0.03,0.03,"2015-07-02","912796FS3"
"2015-04-02","13WK",0.02,0.02,0.03,0.03,"2015-07-02","912796FS3"
"2015-04-03","13WK",0.02,0.02,0.02,0.02,"2015-07-02","912796FS3"
"2015-04-06","13WK",0.03,0.03,0.03,0.03,"2015-07-09","912796FT1"
